Tarih,TP_AUITHULKE_MALE
2018-02-01,1160.205
2018-03-01,975.384
2018-04-01,1410.779
2018-05-01,329.114
2018-06-01,0.0
2018-07-01,450.474
2018-08-01,0.0
2018-09-01,723.336
2018-10-01,282.786
2018-11-01,522.868
2018-12-01,0.0
2019-01-01,688.008
2019-02-01,903.946
2019-03-01,492.03
2019-04-01,524.67
2019-05-01,734.355
2019-06-01,0.0
2019-07-01,566.422
2019-08-01,0.0
2019-09-01,571.302
2019-10-01,412.345
2019-11-01,985.653
2019-12-01,825.022
2020-01-01,495.754
2020-02-01,0.0
2020-03-01,1037.724
2020-04-01,0.0
2020-05-01,780.859
2020-06-01,0.0
2020-07-01,0.0
2020-08-01,0.0
2020-09-01,0.0
2020-10-01,0.0
2020-11-01,0.0
2020-12-01,0.0
2021-01-01,0.0
2021-02-01,0.0
2021-03-01,0.0
2021-04-01,0.0
2021-05-01,0.0
2021-06-01,0.0
2021-07-01,0.0
2021-08-01,0.0
2021-09-01,0.0
2021-10-01,0.0
2021-11-01,0.0
2021-12-01,0.0
2022-01-01,0.0
2022-02-01,5.75
2022-03-01,0.0
2022-04-01,0.0
2022-05-01,0.0
2022-06-01,0.0
2022-07-01,0.0
2022-08-01,23.2
2022-09-01,0.0
2022-10-01,157.64
2022-11-01,1.2
2022-12-01,170.701
2023-01-01,1146.333
2023-02-01,0.0
2023-03-01,1144.37
2023-04-01,254.737
2023-05-01,3929.634
2023-06-01,3043.355
2023-07-01,2702.424
2023-08-01,2527.872
2023-09-01,459.342
2023-10-01,1959.954
2023-11-01,2550.403
2023-12-01,353.96
2024-01-01,1030.539
2024-02-01,33.38
2024-03-01,2221.532
2024-04-01,1.62
2024-05-01,2684.278
2024-06-01,3191.881
2024-07-01,2374.617
2024-08-01,268.296
2024-09-01,2531.37
2024-10-01,3225.027
2024-11-01,1302.147
2024-12-01,439.819
2025-01-01,3378.002
2025-02-01,7680.585
2025-03-01,13187.563
2025-04-01,10139.001
2025-05-01,444.231
2025-06-01,0.0
2025-07-01,6422.795
2025-08-01,5634.521
