Tarih,TP_MK_F_SINAI
2001-07-04,85.43
2001-07-05,95.06
2001-07-06,87.98
2001-07-08,82.82
2001-07-09,87.62
2001-07-10,82.63
2001-07-11,97.32
2001-07-12,75.5
2001-07-13,76.12
2001-07-16,73.61
2001-07-17,74.45
2001-07-18,78.35
2001-07-19,79.45
2001-07-20,80.3
2001-07-23,80.39
2001-07-24,84.51
2001-07-25,82.39
2001-07-26,80.68
2001-07-27,82.5
2001-07-30,82.77
2001-07-31,82.54
2001-08-01,84.97
2001-08-02,70.47
2001-08-03,83.69
2001-08-05,93.12
2001-08-06,90.79
2001-08-07,82.82
2001-08-08,81.58
2001-08-09,81.62
2001-08-10,79.97
2001-08-11,97.01
2001-08-13,77.95
2001-08-14,77.74
2001-08-15,77.89
2001-08-16,80.25
2001-08-17,83.29
2001-08-20,82.56
2001-08-21,84.28
2001-08-22,82.48
2001-08-23,83.66
2001-08-24,84.57
2001-08-27,88.71
2001-08-28,89.13
2001-08-29,87.37
2001-08-30,
2001-08-31,85.08
2001-09-01,77.86
2001-09-02,67.01
2001-09-03,
2001-09-04,65.37
2001-09-05,94.02
2001-09-06,85.84
2001-09-07,84.2
2001-09-08,81.62
2001-09-10,84.1
2001-09-11,84.41
2001-09-12,
2001-09-13,76.42
2001-09-14,72.69
2001-09-17,64.49
2001-09-18,70.08
2001-09-19,71.81
2001-09-20,70.58
2001-09-21,67.91
2001-09-24,69.03
2001-09-25,69.78
2001-09-26,68.72
2001-09-27,67.09
2001-09-28,69.66
2001-10-01,71.79
2001-10-02,72.0
2001-10-03,71.63
2001-10-04,72.73
2001-10-05,71.54
2001-10-07,82.63
2001-10-08,69.8
2001-10-09,84.1
2001-10-10,73.86
2001-10-11,79.25
2001-10-12,78.39
2001-10-15,80.23
2001-10-16,81.88
2001-10-17,82.67
2001-10-18,82.53
2001-10-19,82.18
2001-10-22,84.2
2001-10-23,88.08
2001-10-24,88.92
2001-10-25,87.02
2001-10-26,89.96
2001-10-29,
2001-10-30,91.36
2001-10-31,90.22
2001-11-01,83.46
2001-11-02,91.28
2001-11-04,65.46
2001-11-05,90.13
2001-11-06,95.62
2001-11-07,77.85
2001-11-08,97.01
2001-11-09,84.41
2001-11-10,79.25
2001-11-12,94.89
2001-11-13,95.96
2001-11-14,96.04
2001-11-15,99.3
2001-11-16,101.22
2001-11-19,106.5
2001-11-20,107.21
2001-11-21,102.28
2001-11-22,103.68
2001-11-23,102.64
2001-11-26,103.68
2001-11-27,104.63
2001-11-28,96.9
2001-11-29,95.31
2001-11-30,96.34
2001-12-01,80.83
2001-12-02,66.14
2001-12-03,70.03
2001-12-04,69.6
2001-12-05,101.12
2001-12-06,84.67
2001-12-07,107.97
2001-12-09,
2001-12-10,108.86
2001-12-11,106.32
2001-12-12,107.06
2001-12-13,108.81
2001-12-14,107.29
2001-12-17,
2001-12-18,
2001-12-19,107.16
2001-12-20,106.96
2001-12-21,106.4
2001-12-24,107.72
2001-12-25,108.12
2001-12-26,110.61
2001-12-27,111.46
2001-12-28,114.11
2001-12-31,
2002-01-01,
2002-01-02,112.93
2002-01-03,96.55
2002-01-04,92.96
2002-01-05,93.44
2002-01-07,123.41
2002-01-08,100.48
2002-01-09,121.13
2002-01-10,116.48
2002-01-11,113.34
2002-01-14,114.11
2002-01-15,110.56
2002-01-16,109.88
2002-01-17,110.11
2002-01-18,110.56
2002-01-21,109.14
2002-01-22,107.48
2002-01-23,108.86
2002-01-24,109.1
2002-01-25,107.34
2002-01-28,107.31
2002-01-29,106.61
2002-01-30,103.23
2002-01-31,108.53
2002-02-01,110.73
2002-02-04,110.91
2002-02-05,108.43
2002-02-06,104.63
2002-02-07,102.19
2002-02-08,103.72
2002-02-09,92.95
2002-02-10,87.38
2002-02-11,98.16
2002-02-12,98.25
2002-02-13,100.9
2002-02-14,99.81
2002-02-15,99.34
2002-02-18,95.54
2002-02-19,95.25
2002-02-20,95.67
2002-02-21,95.84
2002-02-22,
2002-02-25,
2002-02-26,96.12
2002-02-27,94.03
2002-02-28,93.01
2002-03-01,117.41
2002-03-04,98.75
2002-03-05,97.96
2002-03-06,96.8
2002-03-07,85.37
2002-03-08,97.86
2002-03-09,92.1
2002-03-10,86.56
2002-03-11,96.67
2002-03-12,124.94
2002-03-13,90.75
2002-03-14,90.57
2002-03-15,91.05
2002-03-18,90.46
2002-03-19,90.69
2002-03-20,90.69
2002-03-21,92.23
2002-03-22,95.69
2002-03-25,95.38
2002-03-26,96.48
2002-03-27,95.96
2002-03-28,97.74
2002-03-29,95.29
2002-04-01,
2002-04-02,93.26
2002-04-03,92.26
2002-04-04,91.09
2002-04-05,94.02
2002-04-06,85.59
2002-04-07,88.94
2002-04-08,93.64
2002-04-09,92.44
2002-04-10,87.88
2002-04-11,103.87
2002-04-12,125.92
2002-04-15,98.06
2002-04-16,99.47
2002-04-17,96.85
2002-04-18,97.07
2002-04-19,94.71
2002-04-22,94.79
2002-04-23,
2002-04-24,94.74
2002-04-25,95.55
2002-04-26,95.68
2002-04-29,95.29
2002-04-30,94.67
2002-05-01,93.44
2002-05-02,108.43
2002-05-03,93.22
2002-05-04,94.02
2002-05-06,87.89
2002-05-07,89.64
2002-05-08,102.46
2002-05-09,97.45
2002-05-10,94.85
2002-05-11,108.71
2002-05-12,
2002-05-13,95.08
2002-05-14,95.38
2002-05-15,94.32
2002-05-16,94.04
2002-05-17,91.75
2002-05-20,87.72
2002-05-21,90.69
2002-05-22,90.54
2002-05-23,90.45
2002-05-24,91.02
2002-05-27,92.78
2002-05-28,91.93
2002-05-29,90.32
2002-05-30,90.1
2002-05-31,86.6
2002-06-02,104.63
2002-06-03,96.8
2002-06-04,85.59
2002-06-05,92.54
2002-06-06,88.95
2002-06-07,86.44
2002-06-08,100.26
2002-06-09,94.74
2002-06-10,84.61
2002-06-11,113.07
2002-06-12,86.05
2002-06-13,87.07
2002-06-14,84.98
2002-06-17,84.6
2002-06-18,83.51
2002-06-19,83.23
2002-06-20,85.59
2002-06-21,83.81
2002-06-24,83.78
2002-06-25,84.16
2002-06-26,82.79
2002-06-27,84.61
2002-06-28,88.07
2002-07-01,123.41
2002-07-02,88.59
2002-07-03,85.37
2002-07-04,88.94
2002-07-05,94.09
2002-07-06,86.44
2002-07-08,101.41
2002-07-09,87.56
2002-07-10,86.57
2002-07-11,118.39
2002-07-12,91.35
2002-07-15,92.2
2002-07-16,93.26
2002-07-17,99.07
2002-07-18,99.45
2002-07-19,99.27
2002-07-22,97.52
2002-07-23,98.32
2002-07-24,95.55
2002-07-25,96.77
2002-07-26,95.99
2002-07-29,97.55
2002-07-30,100.51
2002-07-31,98.82
2002-08-01,123.17
2002-08-02,97.63
2002-08-03,97.86
2002-08-04,93.64
2002-08-05,102.46
2002-08-06,100.26
2002-08-07,101.41
2002-08-08,101.44
2002-08-09,101.2
2002-08-10,86.99
2002-08-11,125.93
2002-08-12,99.49
2002-08-13,99.02
2002-08-14,96.99
2002-08-15,95.49
2002-08-16,95.07
2002-08-19,95.88
2002-08-20,96.3
2002-08-21,95.66
2002-08-22,94.46
2002-08-23,93.29
2002-08-26,90.74
2002-08-27,92.15
2002-08-28,92.6
2002-08-29,94.17
2002-08-30,
2002-09-01,121.13
2002-09-02,92.95
2002-09-03,92.1
2002-09-04,92.44
2002-09-05,93.74
2002-09-06,94.74
2002-09-07,87.56
2002-09-08,101.2
2002-09-09,93.57
2002-09-10,87.68
2002-09-11,89.28
2002-09-12,90.86
2002-09-13,89.99
2002-09-16,90.04
2002-09-17,90.44
2002-09-18,91.03
2002-09-19,90.3
2002-09-20,90.38
2002-09-23,91.17
2002-09-24,89.5
2002-09-25,87.77
2002-09-26,87.77
2002-09-27,85.96
2002-09-30,84.35
2002-10-01,84.56
2002-10-02,87.38
2002-10-03,86.56
2002-10-04,93.63
2002-10-05,94.85
2002-10-06,84.61
2002-10-07,86.57
2002-10-08,86.99
2002-10-09,87.68
2002-10-10,90.09
2002-10-11,90.57
2002-10-12,121.42
2002-10-14,88.86
2002-10-15,88.31
2002-10-16,90.23
2002-10-17,92.15
2002-10-18,92.52
2002-10-21,94.31
2002-10-22,96.46
2002-10-23,95.44
2002-10-24,97.41
2002-10-25,98.37
2002-10-28,99.05
2002-10-29,
2002-10-30,97.01
2002-10-31,99.77
2002-11-01,97.92
2002-11-02,98.16
2002-11-03,96.67
2002-11-04,103.87
2002-11-05,108.71
2002-11-06,113.07
2002-11-07,118.39
2002-11-08,125.93
2002-11-09,89.28
2002-11-10,90.57
2002-11-11,119.89
2002-11-12,116.29
2002-11-13,114.55
2002-11-14,123.82
2002-11-15,121.32
2002-11-18,132.16
2002-11-19,132.72
2002-11-20,126.68
2002-11-21,126.42
2002-11-22,129.2
2002-11-25,122.92
2002-11-26,122.49
2002-11-27,119.64
2002-11-28,123.22
2002-11-29,123.46
2002-12-02,98.25
2002-12-03,92.48
2002-12-04,125.92
2002-12-05,
2002-12-06,
2002-12-07,91.35
2002-12-08,99.49
2002-12-09,120.64
2002-12-10,121.42
2002-12-11,116.29
2002-12-12,122.02
2002-12-13,123.24
2002-12-16,123.06
2002-12-17,115.2
2002-12-18,110.12
2002-12-19,108.7
2002-12-20,107.85
2002-12-23,103.98
2002-12-24,96.5
2002-12-25,99.96
2002-12-26,102.1
2002-12-27,98.7
2002-12-30,98.14
2002-12-31,98.19
2003-01-01,
2003-01-02,100.59
2003-01-03,101.4
2003-01-04,97.71
2003-01-05,120.44
2003-01-06,99.91
2003-01-07,95.66
2003-01-08,106.89
2003-01-09,96.05
2003-01-10,98.32
2003-01-12,139.68
2003-01-13,98.36
2003-01-14,100.77
2003-01-15,100.25
2003-01-16,100.63
2003-01-17,99.44
2003-01-20,98.55
2003-01-21,103.63
2003-01-22,101.6
2003-01-23,103.09
2003-01-24,104.25
2003-01-27,105.73
2003-01-28,105.49
2003-01-29,104.14
2003-01-30,105.68
2003-01-31,105.23
2003-02-01,100.59
2003-02-03,106.88
2003-02-04,100.34
2003-02-05,102.01
2003-02-06,119.62
2003-02-07,107.76
2003-02-09,116.04
2003-02-10,
2003-02-11,
2003-02-12,
2003-02-13,
2003-02-14,
2003-02-17,107.26
2003-02-18,112.09
2003-02-19,114.25
2003-02-20,114.68
2003-02-21,112.17
2003-02-24,112.52
2003-02-25,108.25
2003-02-26,109.61
2003-02-27,110.89
2003-02-28,109.44
2003-03-01,101.4
2003-03-02,106.88
2003-03-03,99.02
2003-03-04,100.78
2003-03-05,102.97
2003-03-06,105.34
2003-03-07,107.16
2003-03-09,115.32
2003-03-10,106.92
2003-03-11,145.13
2003-03-12,145.02
2003-03-13,103.91
2003-03-14,104.39
2003-03-17,96.24
2003-03-18,103.81
2003-03-19,99.0
2003-03-20,98.75
2003-03-21,92.35
2003-03-24,92.95
2003-03-25,92.76
2003-03-26,97.07
2003-03-27,96.99
2003-03-28,96.77
2003-03-31,97.35
2003-04-01,97.71
2003-04-02,103.93
2003-04-03,103.41
2003-04-04,105.96
2003-04-06,116.63
2003-04-07,107.93
2003-04-08,110.69
2003-04-09,106.49
2003-04-10,107.59
2003-04-11,145.51
2003-04-12,147.75
2003-04-14,112.57
2003-04-15,116.07
2003-04-16,116.17
2003-04-17,118.81
2003-04-18,116.64
2003-04-21,119.87
2003-04-22,119.97
2003-04-23,
2003-04-24,118.54
2003-04-25,118.55
2003-04-28,120.64
2003-04-29,119.08
2003-04-30,120.96
2003-05-01,120.44
2003-05-02,102.01
2003-05-03,102.97
2003-05-05,117.59
2003-05-06,115.31
2003-05-07,112.76
2003-05-08,112.58
2003-05-09,112.74
2003-05-11,145.01
2003-05-12,112.26
2003-05-13,112.51
2003-05-14,109.46
2003-05-15,107.73
2003-05-16,108.35
2003-05-19,
2003-05-20,108.43
2003-05-21,110.4
2003-05-22,112.37
2003-05-23,114.39
2003-05-26,117.22
2003-05-27,116.64
2003-05-28,117.19
2003-05-29,120.16
2003-05-30,118.55
2003-06-01,99.91
2003-06-02,119.62
2003-06-03,105.34
2003-06-04,116.63
2003-06-05,115.54
2003-06-06,115.05
2003-06-08,112.74
2003-06-09,112.6
2003-06-10,141.6
2003-06-11,110.44
2003-06-12,109.64
2003-06-13,110.49
2003-06-16,112.38
2003-06-17,114.54
2003-06-18,115.19
2003-06-19,113.52
2003-06-20,112.51
2003-06-23,110.34
2003-06-24,110.92
2003-06-25,109.25
2003-06-26,110.16
2003-06-27,111.25
2003-06-30,109.77
2003-07-01,95.66
2003-07-02,106.97
2003-07-03,105.68
2003-07-04,107.93
2003-07-05,112.76
2003-07-07,104.0
2003-07-08,104.98
2003-07-09,104.22
2003-07-10,105.29
2003-07-11,105.18
2003-07-14,107.24
2003-07-15,108.28
2003-07-16,108.83
2003-07-17,108.08
2003-07-18,108.09
2003-07-21,108.94
2003-07-22,107.38
2003-07-23,105.32
2003-07-24,105.28
2003-07-25,105.96
2003-07-28,107.17
2003-07-29,106.09
2003-07-30,106.3
2003-07-31,106.66
2003-08-01,106.89
2003-08-04,110.69
2003-08-05,113.53
2003-08-06,112.74
2003-08-07,104.98
2003-08-08,114.0
2003-08-09,113.87
2003-08-10,139.77
2003-08-11,113.82
2003-08-12,149.92
2003-08-13,116.87
2003-08-14,115.5
2003-08-15,115.52
2003-08-18,115.79
2003-08-19,114.34
2003-08-20,115.35
2003-08-21,114.63
2003-08-22,115.81
2003-08-25,117.54
2003-08-26,116.17
2003-08-27,114.46
2003-08-28,114.41
2003-08-29,115.68
2003-09-01,115.94
2003-09-02,116.04
2003-09-03,115.32
2003-09-04,106.49
2003-09-05,112.74
2003-09-06,112.6
2003-09-07,104.22
2003-09-08,113.87
2003-09-09,114.33
2003-09-10,119.07
2003-09-11,119.41
2003-09-12,150.49
2003-09-15,123.43
2003-09-16,123.33
2003-09-17,125.83
2003-09-18,125.59
2003-09-19,129.1
2003-09-22,132.32
2003-09-23,131.9
2003-09-24,133.02
2003-09-25,132.17
2003-09-26,132.02
2003-09-29,129.64
2003-09-30,125.5
2003-10-01,124.87
2003-10-02,127.98
2003-10-03,135.1
2003-10-04,107.59
2003-10-06,141.6
2003-10-07,105.29
2003-10-08,139.77
2003-10-09,119.07
2003-10-10,139.31
2003-10-11,141.19
2003-10-12,148.24
2003-10-13,141.56
2003-10-14,137.53
2003-10-15,139.43
2003-10-16,141.75
2003-10-17,138.99
2003-10-20,139.31
2003-10-21,139.93
2003-10-22,141.26
2003-10-23,139.05
2003-10-24,137.08
2003-10-27,133.76
2003-10-28,134.82
2003-10-29,
2003-10-30,135.27
2003-10-31,141.58
2003-11-02,
2003-11-03,145.13
2003-11-04,109.13
2003-11-05,145.01
2003-11-06,142.22
2003-11-07,105.18
2003-11-08,113.82
2003-11-09,119.41
2003-11-10,141.19
2003-11-11,139.5
2003-11-12,138.54
2003-11-13,142.22
2003-11-14,142.28
2003-11-17,141.56
2003-11-18,140.36
2003-11-19,140.47
2003-11-20,132.38
2003-11-21,
2003-11-24,
2003-11-25,
2003-11-26,
2003-11-27,
2003-11-28,
2003-12-01,139.68
2003-12-02,
2003-12-03,104.52
2003-12-04,147.75
2003-12-05,112.26
2003-12-06,109.64
2003-12-08,149.92
2003-12-09,150.49
2003-12-10,148.24
2003-12-11,147.54
2003-12-12,148.43
2003-12-15,153.21
2003-12-16,153.07
2003-12-17,152.06
2003-12-18,153.3
2003-12-19,156.67
2003-12-22,161.27
2003-12-23,161.9
2003-12-24,161.19
2003-12-25,158.92
2003-12-26,156.48
2003-12-29,158.61
2003-12-30,160.17
2003-12-31,162.54
2004-01-01,
2004-01-02,165.22
2004-01-03,165.56
2004-01-04,182.22
2004-01-05,169.11
2004-01-06,168.41
2004-01-07,156.24
2004-01-08,170.72
2004-01-09,170.34
2004-01-10,197.2
2004-01-11,211.6
2004-01-12,202.61
2004-01-13,170.16
2004-01-14,170.78
2004-01-15,166.39
2004-01-16,165.25
2004-01-19,159.16
2004-01-20,162.22
2004-01-21,163.91
2004-01-22,165.75
2004-01-23,
2004-01-26,162.86
2004-01-27,164.23
2004-01-28,158.89
2004-01-29,157.7
2004-01-30,153.49
2004-02-01,165.22
2004-02-02,
2004-02-03,166.3
2004-02-04,183.11
2004-02-05,152.96
2004-02-06,153.14
2004-02-07,158.6
2004-02-08,172.91
2004-02-09,185.64
2004-02-10,154.2
2004-02-11,155.06
2004-02-12,159.92
2004-02-13,163.7
2004-02-16,166.47
2004-02-17,163.82
2004-02-18,161.67
2004-02-19,162.69
2004-02-20,159.52
2004-02-23,159.99
2004-02-24,161.32
2004-02-25,162.91
2004-02-26,166.04
2004-02-27,164.89
2004-03-01,165.56
2004-03-02,166.3
2004-03-03,168.13
2004-03-04,168.61
2004-03-05,161.95
2004-03-06,154.09
2004-03-08,172.36
2004-03-09,173.73
2004-03-10,172.42
2004-03-11,171.89
2004-03-12,172.73
2004-03-15,173.32
2004-03-16,172.76
2004-03-17,173.07
2004-03-18,172.9
2004-03-19,174.67
2004-03-22,179.57
2004-03-23,180.16
2004-03-24,182.63
2004-03-25,181.67
2004-03-26,183.98
2004-03-29,184.67
2004-03-30,183.37
2004-03-31,180.65
2004-04-01,182.22
2004-04-02,
2004-04-03,168.61
2004-04-05,185.65
2004-04-06,184.48
2004-04-07,185.08
2004-04-08,177.99
2004-04-09,178.74
2004-04-10,196.52
2004-04-11,214.75
2004-04-12,177.54
2004-04-13,174.81
2004-04-14,177.74
2004-04-15,173.52
2004-04-16,175.76
2004-04-19,180.69
2004-04-20,179.14
2004-04-21,177.36
2004-04-22,177.97
2004-04-23,
2004-04-26,176.81
2004-04-27,168.07
2004-04-28,170.62
2004-04-29,165.63
2004-04-30,166.32
2004-05-01,169.11
2004-05-02,152.96
2004-05-03,168.03
2004-05-04,160.02
2004-05-05,163.72
2004-05-06,165.01
2004-05-07,157.44
2004-05-08,170.17
2004-05-10,198.51
2004-05-11,154.52
2004-05-12,155.73
2004-05-13,154.23
2004-05-14,151.4
2004-05-17,149.79
2004-05-18,146.9
2004-05-19,
2004-05-20,148.72
2004-05-21,149.63
2004-05-24,154.48
2004-05-25,155.27
2004-05-26,156.24
2004-05-27,156.57
2004-05-28,159.2
2004-05-31,156.62
2004-06-01,168.41
2004-06-02,152.32
2004-06-03,154.09
