Tarih,TP_MK_F_HIZMET
2001-06-07,66.72
2001-06-08,55.54
2001-06-09,53.47
2001-06-11,66.28
2001-06-12,82.0
2001-06-13,65.68
2001-06-14,66.89
2001-06-15,68.21
2001-06-18,66.75
2001-06-19,64.21
2001-06-20,62.27
2001-06-21,62.11
2001-06-22,62.97
2001-06-25,63.16
2001-06-26,63.68
2001-06-27,65.09
2001-06-28,64.61
2001-06-29,65.11
2001-07-02,66.21
2001-07-03,63.76
2001-07-04,63.08
2001-07-05,74.91
2001-07-06,66.72
2001-07-08,52.86
2001-07-09,54.28
2001-07-10,57.58
2001-07-11,70.07
2001-07-12,52.28
2001-07-13,52.27
2001-07-16,49.62
2001-07-17,49.65
2001-07-18,50.57
2001-07-19,49.73
2001-07-20,51.85
2001-07-23,52.19
2001-07-24,55.75
2001-07-25,52.83
2001-07-26,51.35
2001-07-27,53.06
2001-07-30,53.48
2001-07-31,53.96
2001-08-01,55.11
2001-08-02,65.88
2001-08-03,54.49
2001-08-05,73.1
2001-08-06,66.61
2001-08-07,52.86
2001-08-08,51.82
2001-08-09,51.38
2001-08-10,50.53
2001-08-11,68.01
2001-08-13,49.39
2001-08-14,49.01
2001-08-15,48.44
2001-08-16,49.9
2001-08-17,51.7
2001-08-20,50.97
2001-08-21,52.91
2001-08-22,52.46
2001-08-23,52.5
2001-08-24,53.2
2001-08-27,56.13
2001-08-28,57.35
2001-08-29,55.64
2001-08-30,
2001-08-31,54.21
2001-09-01,75.99
2001-09-02,62.16
2001-09-03,
2001-09-04,55.96
2001-09-05,74.72
2001-09-06,53.47
2001-09-07,59.63
2001-09-08,51.38
2001-09-10,52.08
2001-09-11,52.33
2001-09-12,
2001-09-13,46.69
2001-09-14,43.34
2001-09-17,38.86
2001-09-18,42.45
2001-09-19,43.41
2001-09-20,42.72
2001-09-21,40.84
2001-09-24,41.38
2001-09-25,42.8
2001-09-26,42.7
2001-09-27,41.37
2001-09-28,42.82
2001-10-01,44.04
2001-10-02,44.11
2001-10-03,44.64
2001-10-04,45.78
2001-10-05,44.62
2001-10-07,57.58
2001-10-08,43.92
2001-10-09,52.08
2001-10-10,47.26
2001-10-11,52.07
2001-10-12,51.77
2001-10-15,53.92
2001-10-16,54.15
2001-10-17,56.9
2001-10-18,55.2
2001-10-19,54.58
2001-10-22,56.46
2001-10-23,61.01
2001-10-24,61.64
2001-10-25,60.4
2001-10-26,62.75
2001-10-29,
2001-10-30,62.17
2001-10-31,63.7
2001-11-01,84.11
2001-11-02,67.49
2001-11-04,54.8
2001-11-05,71.57
2001-11-06,68.28
2001-11-07,54.96
2001-11-08,68.01
2001-11-09,52.33
2001-11-10,52.07
2001-11-12,67.99
2001-11-13,69.7
2001-11-14,71.56
2001-11-15,72.62
2001-11-16,75.2
2001-11-19,76.44
2001-11-20,76.68
2001-11-21,74.1
2001-11-22,76.87
2001-11-23,75.58
2001-11-26,76.24
2001-11-27,77.46
2001-11-28,71.11
2001-11-29,72.59
2001-11-30,73.74
2001-12-01,79.88
2001-12-02,59.08
2001-12-03,63.56
2001-12-04,57.23
2001-12-05,78.85
2001-12-06,64.43
2001-12-07,85.61
2001-12-09,
2001-12-10,85.22
2001-12-11,83.03
2001-12-12,84.24
2001-12-13,87.04
2001-12-14,84.51
2001-12-17,
2001-12-18,
2001-12-19,84.69
2001-12-20,85.23
2001-12-21,84.62
2001-12-24,85.54
2001-12-25,86.62
2001-12-26,90.49
2001-12-27,91.39
2001-12-28,91.77
2001-12-31,
2002-01-01,
2002-01-02,91.31
2002-01-03,72.14
2002-01-04,70.37
2002-01-05,69.09
2002-01-07,95.79
2002-01-08,72.36
2002-01-09,93.23
2002-01-10,89.15
2002-01-11,87.85
2002-01-14,87.57
2002-01-15,84.04
2002-01-16,83.99
2002-01-17,84.18
2002-01-18,84.5
2002-01-21,81.97
2002-01-22,82.08
2002-01-23,83.85
2002-01-24,83.54
2002-01-25,82.1
2002-01-28,81.14
2002-01-29,80.21
2002-01-30,78.32
2002-01-31,81.79
2002-02-01,83.9
2002-02-04,84.58
2002-02-05,80.08
2002-02-06,77.35
2002-02-07,74.75
2002-02-08,74.46
2002-02-09,65.52
2002-02-10,63.2
2002-02-11,72.0
2002-02-12,71.77
2002-02-13,73.48
2002-02-14,72.93
2002-02-15,73.01
2002-02-18,69.94
2002-02-19,69.97
2002-02-20,70.58
2002-02-21,70.99
2002-02-22,
2002-02-25,
2002-02-26,70.6
2002-02-27,69.85
2002-02-28,69.3
2002-03-01,93.74
2002-03-04,75.13
2002-03-05,74.52
2002-03-06,73.21
2002-03-07,54.27
2002-03-08,73.99
2002-03-09,65.0
2002-03-10,62.14
2002-03-11,73.55
2002-03-12,82.76
2002-03-13,66.03
2002-03-14,64.95
2002-03-15,65.07
2002-03-18,64.46
2002-03-19,64.78
2002-03-20,65.1
2002-03-21,65.78
2002-03-22,68.92
2002-03-25,70.54
2002-03-26,72.64
2002-03-27,72.53
2002-03-28,74.66
2002-03-29,72.48
2002-04-01,
2002-04-02,71.66
2002-04-03,71.76
2002-04-04,70.5
2002-04-05,72.38
2002-04-06,61.03
2002-04-07,56.51
2002-04-08,72.15
2002-04-09,64.34
2002-04-10,61.99
2002-04-11,77.19
2002-04-12,83.92
2002-04-15,73.85
2002-04-16,74.53
2002-04-17,72.88
2002-04-18,73.23
2002-04-19,71.01
2002-04-22,70.78
2002-04-23,
2002-04-24,71.19
2002-04-25,71.97
2002-04-26,72.47
2002-04-29,71.12
2002-04-30,70.32
2002-05-01,69.09
2002-05-02,80.08
2002-05-03,68.22
2002-05-04,72.38
2002-05-06,63.0
2002-05-07,57.55
2002-05-08,73.6
2002-05-09,70.55
2002-05-10,69.25
2002-05-11,80.33
2002-05-12,
2002-05-13,68.63
2002-05-14,68.96
2002-05-15,68.01
2002-05-16,67.59
2002-05-17,66.59
2002-05-20,63.5
2002-05-21,64.11
2002-05-22,63.9
2002-05-23,63.87
2002-05-24,64.7
2002-05-27,65.43
2002-05-28,64.63
2002-05-29,63.61
2002-05-30,63.17
2002-05-31,60.81
2002-06-02,77.35
2002-06-03,73.21
2002-06-04,61.03
2002-06-05,67.34
2002-06-06,63.76
2002-06-07,61.73
2002-06-08,72.54
2002-06-09,65.45
2002-06-10,60.19
2002-06-11,82.25
2002-06-12,59.82
2002-06-13,61.4
2002-06-14,58.63
2002-06-17,57.96
2002-06-18,56.4
2002-06-19,56.79
2002-06-20,56.09
2002-06-21,53.79
2002-06-24,54.49
2002-06-25,55.03
2002-06-26,54.69
2002-06-27,57.01
2002-06-28,58.12
2002-07-01,95.79
2002-07-02,55.43
2002-07-03,54.27
2002-07-04,56.51
2002-07-05,68.4
2002-07-06,61.73
2002-07-08,73.37
2002-07-09,54.82
2002-07-10,61.14
2002-07-11,83.85
2002-07-12,59.83
2002-07-15,63.7
2002-07-16,63.95
2002-07-17,67.79
2002-07-18,70.02
2002-07-19,70.37
2002-07-22,68.22
2002-07-23,69.95
2002-07-24,67.47
2002-07-25,68.69
2002-07-26,67.18
2002-07-29,69.18
2002-07-30,72.49
2002-07-31,71.7
2002-08-01,98.28
2002-08-02,71.16
2002-08-03,73.99
2002-08-04,72.15
2002-08-05,73.6
2002-08-06,72.54
2002-08-07,73.37
2002-08-08,73.06
2002-08-09,73.24
2002-08-10,61.49
2002-08-11,85.8
2002-08-12,71.45
2002-08-13,71.38
2002-08-14,70.36
2002-08-15,68.41
2002-08-16,67.99
2002-08-19,67.78
2002-08-20,67.57
2002-08-21,66.57
2002-08-22,65.8
2002-08-23,66.22
2002-08-26,64.71
2002-08-27,66.03
2002-08-28,65.35
2002-08-29,66.79
2002-08-30,
2002-09-01,93.23
2002-09-02,65.52
2002-09-03,65.0
2002-09-04,64.34
2002-09-05,64.93
2002-09-06,65.45
2002-09-07,54.82
2002-09-08,73.24
2002-09-09,64.43
2002-09-10,62.2
2002-09-11,61.72
2002-09-12,63.79
2002-09-13,62.61
2002-09-16,62.5
2002-09-17,63.21
2002-09-18,63.91
2002-09-19,63.53
2002-09-20,64.02
2002-09-23,64.7
2002-09-24,63.28
2002-09-25,62.7
2002-09-26,62.54
2002-09-27,62.63
2002-09-30,62.17
2002-10-01,61.75
2002-10-02,63.2
2002-10-03,62.14
2002-10-04,70.61
2002-10-05,69.25
2002-10-06,60.19
2002-10-07,61.14
2002-10-08,61.49
2002-10-09,62.2
2002-10-10,63.4
2002-10-11,64.7
2002-10-12,81.78
2002-10-14,63.47
2002-10-15,63.53
2002-10-16,65.12
2002-10-17,67.6
2002-10-18,67.89
2002-10-21,70.31
2002-10-22,72.19
2002-10-23,71.14
2002-10-24,72.41
2002-10-25,73.44
2002-10-28,73.13
2002-10-29,
2002-10-30,71.01
2002-10-31,71.99
2002-11-01,70.43
2002-11-02,72.0
2002-11-03,73.55
2002-11-04,77.19
2002-11-05,80.33
2002-11-06,82.25
2002-11-07,83.85
2002-11-08,85.8
2002-11-09,61.72
2002-11-10,64.7
2002-11-11,82.21
2002-11-12,79.0
2002-11-13,77.33
2002-11-14,82.14
2002-11-15,78.91
2002-11-18,86.64
2002-11-19,83.48
2002-11-20,79.78
2002-11-21,82.59
2002-11-22,83.09
2002-11-25,79.62
2002-11-26,80.47
2002-11-27,78.44
2002-11-28,83.1
2002-11-29,83.33
2002-12-02,71.77
2002-12-03,68.37
2002-12-04,83.92
2002-12-05,
2002-12-06,
2002-12-07,59.83
2002-12-08,71.45
2002-12-09,81.65
2002-12-10,81.78
2002-12-11,79.0
2002-12-12,80.89
2002-12-13,81.44
2002-12-16,81.53
2002-12-17,77.07
2002-12-18,74.33
2002-12-19,73.62
2002-12-20,74.47
2002-12-23,71.94
2002-12-24,68.16
2002-12-25,70.46
2002-12-26,73.55
2002-12-27,70.92
2002-12-30,68.61
2002-12-31,68.48
2003-01-01,
2003-01-02,70.28
2003-01-03,70.07
2003-01-04,63.51
2003-01-05,72.85
2003-01-06,69.31
2003-01-07,66.05
2003-01-08,69.86
2003-01-09,66.64
2003-01-10,68.21
2003-01-12,87.55
2003-01-13,67.61
2003-01-14,69.38
2003-01-15,67.92
2003-01-16,67.99
2003-01-17,68.06
2003-01-20,67.49
2003-01-21,71.07
2003-01-22,69.92
2003-01-23,70.86
2003-01-24,71.14
2003-01-27,72.24
2003-01-28,71.11
2003-01-29,69.83
2003-01-30,71.31
2003-01-31,71.7
2003-02-01,70.28
2003-02-03,72.51
2003-02-04,65.09
2003-02-05,69.47
2003-02-06,74.33
2003-02-07,70.02
2003-02-09,74.1
2003-02-10,
2003-02-11,
2003-02-12,
2003-02-13,
2003-02-14,
2003-02-17,69.75
2003-02-18,72.58
2003-02-19,74.31
2003-02-20,73.85
2003-02-21,71.58
2003-02-24,72.63
2003-02-25,69.08
2003-02-26,70.21
2003-02-27,72.29
2003-02-28,71.65
2003-03-01,70.07
2003-03-02,72.51
2003-03-03,64.42
2003-03-04,65.94
2003-03-05,66.95
2003-03-06,67.31
2003-03-07,70.45
2003-03-09,73.0
2003-03-10,68.82
2003-03-11,86.08
2003-03-12,88.2
2003-03-13,67.24
2003-03-14,67.57
2003-03-17,62.39
2003-03-18,66.91
2003-03-19,62.99
2003-03-20,62.66
2003-03-21,60.3
2003-03-24,61.1
2003-03-25,61.21
2003-03-26,61.7
2003-03-27,62.63
2003-03-28,62.47
2003-03-31,63.03
2003-04-01,63.51
2003-04-02,71.09
2003-04-03,66.61
2003-04-04,69.13
2003-04-06,72.84
2003-04-07,70.44
2003-04-08,71.14
2003-04-09,68.97
2003-04-10,70.41
2003-04-11,86.99
2003-04-12,88.94
2003-04-14,73.06
2003-04-15,74.7
2003-04-16,73.98
2003-04-17,74.93
2003-04-18,74.06
2003-04-21,75.13
2003-04-22,74.14
2003-04-23,
2003-04-24,72.74
2003-04-25,72.75
2003-04-28,72.45
2003-04-29,71.97
2003-04-30,73.76
2003-05-01,72.85
2003-05-02,69.47
2003-05-03,66.95
2003-05-05,72.52
2003-05-06,71.95
2003-05-07,70.14
2003-05-08,72.44
2003-05-09,69.31
2003-05-11,88.4
2003-05-12,68.65
2003-05-13,68.28
2003-05-14,67.3
2003-05-15,66.43
2003-05-16,66.48
2003-05-19,
2003-05-20,66.8
2003-05-21,67.28
2003-05-22,67.75
2003-05-23,68.42
2003-05-26,69.8
2003-05-27,69.05
2003-05-28,70.53
2003-05-29,73.39
2003-05-30,72.83
2003-06-01,69.31
2003-06-02,74.33
2003-06-03,67.31
2003-06-04,72.84
2003-06-05,71.37
2003-06-06,71.4
2003-06-08,72.48
2003-06-09,68.75
2003-06-10,84.65
2003-06-11,66.89
2003-06-12,66.7
2003-06-13,67.16
2003-06-16,69.31
2003-06-17,71.35
2003-06-18,71.68
2003-06-19,70.84
2003-06-20,70.63
2003-06-23,69.36
2003-06-24,70.24
2003-06-25,69.73
2003-06-26,70.7
2003-06-27,71.62
2003-06-30,71.15
2003-07-01,66.05
2003-07-02,70.5
2003-07-03,68.66
2003-07-04,70.44
2003-07-05,70.14
2003-07-07,66.49
2003-07-08,66.58
2003-07-09,65.99
2003-07-10,66.25
2003-07-11,65.74
2003-07-14,66.52
2003-07-15,67.49
2003-07-16,67.43
2003-07-17,67.46
2003-07-18,67.81
2003-07-21,68.53
2003-07-22,68.16
2003-07-23,67.28
2003-07-24,67.24
2003-07-25,68.12
2003-07-28,69.0
2003-07-29,68.55
2003-07-30,69.02
2003-07-31,69.61
2003-08-01,69.86
2003-08-04,71.14
2003-08-05,70.65
2003-08-06,72.48
2003-08-07,66.58
2003-08-08,73.93
2003-08-09,71.43
2003-08-10,84.6
2003-08-11,73.79
2003-08-12,89.03
2003-08-13,76.32
2003-08-14,74.76
2003-08-15,74.22
2003-08-18,74.4
2003-08-19,72.47
2003-08-20,73.9
2003-08-21,73.77
2003-08-22,74.92
2003-08-25,74.48
2003-08-26,73.83
2003-08-27,73.18
2003-08-28,72.84
2003-08-29,73.86
2003-09-01,74.16
2003-09-02,74.1
2003-09-03,73.0
2003-09-04,68.97
2003-09-05,69.31
2003-09-06,68.75
2003-09-07,65.99
2003-09-08,71.43
2003-09-09,70.79
2003-09-10,72.79
2003-09-11,72.74
2003-09-12,89.27
2003-09-15,75.26
2003-09-16,75.61
2003-09-17,77.54
2003-09-18,77.37
2003-09-19,78.9
2003-09-22,81.88
2003-09-23,79.12
2003-09-24,79.05
2003-09-25,78.09
2003-09-26,77.75
2003-09-29,76.59
2003-09-30,74.96
2003-10-01,74.95
2003-10-02,76.96
2003-10-03,80.54
2003-10-04,70.41
2003-10-06,84.65
2003-10-07,66.25
2003-10-08,84.6
2003-10-09,72.79
2003-10-10,84.69
2003-10-11,85.63
2003-10-12,87.88
2003-10-13,84.44
2003-10-14,82.8
2003-10-15,83.91
2003-10-16,85.13
2003-10-17,85.0
2003-10-20,85.52
2003-10-21,85.03
2003-10-22,85.08
2003-10-23,83.44
2003-10-24,83.27
2003-10-27,81.24
2003-10-28,82.1
2003-10-29,
2003-10-30,82.1
2003-10-31,85.31
2003-11-02,
2003-11-03,86.08
2003-11-04,71.53
2003-11-05,88.4
2003-11-06,85.99
2003-11-07,65.74
2003-11-08,73.79
2003-11-09,72.74
2003-11-10,85.63
2003-11-11,85.34
2003-11-12,85.33
2003-11-13,87.06
2003-11-14,87.83
2003-11-17,89.08
2003-11-18,89.01
2003-11-19,88.13
2003-11-20,82.6
2003-11-21,
2003-11-24,
2003-11-25,
2003-11-26,
2003-11-27,
2003-11-28,
2003-12-01,87.55
2003-12-02,
2003-12-03,67.66
2003-12-04,88.94
2003-12-05,68.65
2003-12-06,66.7
2003-12-08,89.03
2003-12-09,89.27
2003-12-10,87.88
2003-12-11,87.38
2003-12-12,88.35
2003-12-15,90.76
2003-12-16,91.75
2003-12-17,92.05
2003-12-18,93.4
2003-12-19,95.41
2003-12-22,98.68
2003-12-23,100.47
2003-12-24,99.0
2003-12-25,97.72
2003-12-26,96.34
2003-12-29,97.53
2003-12-30,97.4
2003-12-31,98.95
2004-01-01,
2004-01-02,100.25
2004-01-03,103.0
2004-01-04,112.11
2004-01-05,101.85
2004-01-06,103.85
2004-01-07,103.52
2004-01-08,103.38
2004-01-09,104.16
2004-01-10,112.72
2004-01-11,133.13
2004-01-12,131.81
2004-01-13,103.49
2004-01-14,102.44
2004-01-15,100.91
2004-01-16,100.73
2004-01-19,97.32
2004-01-20,99.22
2004-01-21,100.79
2004-01-22,99.75
2004-01-23,
2004-01-26,99.25
2004-01-27,99.43
2004-01-28,95.8
2004-01-29,95.45
2004-01-30,94.7
2004-02-01,100.25
2004-02-02,
2004-02-03,103.62
2004-02-04,113.83
2004-02-05,94.22
2004-02-06,95.78
2004-02-07,105.18
2004-02-08,103.85
2004-02-09,103.03
2004-02-10,96.09
2004-02-11,96.85
2004-02-12,99.71
2004-02-13,100.44
2004-02-16,102.99
2004-02-17,103.63
2004-02-18,103.18
2004-02-19,105.03
2004-02-20,101.88
2004-02-23,101.14
2004-02-24,100.04
2004-02-25,101.54
2004-02-26,102.49
2004-02-27,102.48
2004-03-01,103.0
2004-03-02,103.62
2004-03-03,104.43
2004-03-04,104.02
2004-03-05,97.03
2004-03-06,97.19
2004-03-08,103.57
2004-03-09,105.79
2004-03-10,104.65
2004-03-11,104.97
2004-03-12,104.28
2004-03-15,105.2
2004-03-16,104.19
2004-03-17,104.06
2004-03-18,103.65
2004-03-19,105.84
2004-03-22,109.53
2004-03-23,108.95
2004-03-24,109.69
2004-03-25,108.85
2004-03-26,113.59
2004-03-29,114.67
2004-03-30,112.67
2004-03-31,111.03
2004-04-01,112.11
2004-04-02,
2004-04-03,104.02
2004-04-05,114.07
2004-04-06,112.55
2004-04-07,112.32
2004-04-08,109.21
2004-04-09,110.29
2004-04-10,113.68
2004-04-11,132.56
2004-04-12,108.28
2004-04-13,107.17
2004-04-14,107.68
2004-04-15,105.41
2004-04-16,106.64
2004-04-19,108.84
2004-04-20,108.97
2004-04-21,106.46
2004-04-22,105.08
2004-04-23,
2004-04-26,103.75
2004-04-27,96.73
2004-04-28,97.26
2004-04-29,95.55
2004-04-30,96.43
2004-05-01,101.85
2004-05-02,94.22
2004-05-03,103.98
2004-05-04,95.86
2004-05-05,96.53
2004-05-06,96.92
2004-05-07,94.21
2004-05-08,101.86
2004-05-10,114.16
2004-05-11,95.01
2004-05-12,96.26
2004-05-13,96.41
2004-05-14,94.96
2004-05-17,94.49
2004-05-18,93.12
2004-05-19,
2004-05-20,92.87
2004-05-21,93.91
2004-05-24,94.76
2004-05-25,96.72
2004-05-26,96.55
2004-05-27,95.74
2004-05-28,96.95
2004-05-31,96.58
2004-06-01,103.85
2004-06-02,93.67
