Tarih,TP_MK_F_MALI
2000-06-12,213.46
2000-06-13,207.77
2000-06-14,201.86
2000-06-15,198.52
2000-06-16,189.72
2000-06-19,192.89
2000-06-20,195.05
2000-06-21,193.2
2000-06-22,197.21
2000-06-23,199.43
2000-06-26,194.03
2000-06-27,194.82
2000-06-28,197.47
2000-06-29,191.37
2000-06-30,193.49
2000-07-01,208.4189
2000-07-02,220.82
2000-07-03,235.05
2000-07-04,228.54
2000-07-05,190.72
2000-07-06,220.86
2000-07-07,191.59
2000-07-08,181.4
2000-07-09,174.53
2000-07-10,194.68
2000-07-11,192.66
2000-07-12,139.03
2000-07-13,182.6
2000-07-14,177.04
2000-07-17,170.5
2000-07-18,169.52
2000-07-19,170.02
2000-07-20,175.57
2000-07-21,178.14
2000-07-24,182.76
2000-07-25,185.61
2000-07-26,184.16
2000-07-27,182.65
2000-07-28,186.07
2000-07-31,188.81
2000-08-01,188.96
2000-08-02,216.44
2000-08-03,188.09
2000-08-04,186.01
2000-08-05,203.74
2000-08-06,226.45
2000-08-07,181.4
2000-08-08,179.47
2000-08-09,174.96
2000-08-10,172.07
2000-08-11,185.67
2000-08-12,123.53
2000-08-14,183.82
2000-08-15,182.95
2000-08-16,176.75
2000-08-17,173.59
2000-08-18,175.59
2000-08-21,176.6
2000-08-22,167.69
2000-08-23,176.53
2000-08-24,180.66
2000-08-25,178.17
2000-08-28,177.1
2000-08-29,178.81
2000-08-30,
2000-08-31,178.43
2000-09-01,178.0
2000-09-02,207.33
2000-09-03,251.51
2000-09-04,179.9
2000-09-05,241.55
2000-09-06,181.08
2000-09-07,174.53
2000-09-08,174.96
2000-09-10,166.82
2000-09-11,183.85
2000-09-12,152.91
2000-09-13,160.03
2000-09-14,156.49
2000-09-15,153.16
2000-09-18,146.67
2000-09-19,143.24
2000-09-20,144.99
2000-09-21,152.42
2000-09-22,147.18
2000-09-25,150.74
2000-09-26,152.01
2000-09-27,152.02
2000-09-28,154.21
2000-09-29,151.57
2000-10-01,
2000-10-02,212.69
2000-10-03,154.16
2000-10-04,154.8
2000-10-05,160.7
2000-10-06,163.94
2000-10-07,194.68
2000-10-08,172.07
2000-10-09,166.82
2000-10-10,168.75
2000-10-11,181.4
2000-10-12,179.84
2000-10-13,172.43
2000-10-16,184.63
2000-10-17,188.68
2000-10-18,184.94
2000-10-19,184.61
2000-10-20,190.81
2000-10-23,181.64
2000-10-24,180.36
2000-10-25,185.05
2000-10-26,180.85
2000-10-27,183.62
2000-10-30,181.05
2000-10-31,185.34
2000-11-01,215.73
2000-11-02,210.03
2000-11-03,200.66
2000-11-04,226.19
2000-11-05,241.1
2000-11-06,198.91
2000-11-07,191.72
2000-11-08,185.67
2000-11-09,183.85
2000-11-10,181.4
2000-11-12,131.33
2000-11-13,183.87
2000-11-14,174.3
2000-11-15,179.16
2000-11-16,179.98
2000-11-17,176.91
2000-11-20,168.45
2000-11-21,162.37
2000-11-22,148.65
2000-11-23,155.08
2000-11-24,148.21
2000-11-27,145.47
2000-11-28,129.02
2000-11-29,125.24
2000-11-30,128.47
2000-12-01,221.87
2000-12-04,232.85
2000-12-05,107.97
2000-12-06,213.46
2000-12-07,183.31
2000-12-08,123.53
2000-12-09,152.91
2000-12-10,179.84
2000-12-11,131.33
2000-12-12,129.77
2000-12-13,119.95
2000-12-14,121.9
2000-12-15,133.01
2000-12-18,126.87
2000-12-19,126.76
2000-12-20,125.13
2000-12-21,125.42
2000-12-22,127.94
2000-12-25,
2000-12-26,
2000-12-27,
2000-12-28,
2000-12-29,
2001-01-01,
2001-01-02,127.15
2001-01-03,128.55
2001-01-04,134.88
2001-01-05,139.57
2001-01-06,163.52
2001-01-08,138.95
2001-01-09,145.97
2001-01-10,155.75
2001-01-11,157.19
2001-01-12,152.88
2001-01-15,147.78
2001-01-16,144.38
2001-01-17,150.13
2001-01-18,157.02
2001-01-19,157.56
2001-01-22,161.58
2001-01-23,152.61
2001-01-24,160.91
2001-01-25,155.95
2001-01-26,156.42
2001-01-29,150.75
2001-01-30,150.7
2001-01-31,149.71
2001-02-01,152.19
2001-02-02,152.42
2001-02-03,128.78
2001-02-04,107.17
2001-02-05,145.73
2001-02-06,141.41
2001-02-07,159.65
2001-02-08,142.13
2001-02-09,133.55
2001-02-10,100.71
2001-02-11,121.98
2001-02-12,131.16
2001-02-13,129.85
2001-02-14,139.52
2001-02-15,143.15
2001-02-16,143.6
2001-02-19,130.61
2001-02-20,126.57
2001-02-21,111.91
2001-02-22,113.84
2001-02-23,110.63
2001-02-26,122.22
2001-02-27,120.37
2001-02-28,115.09
2001-03-01,125.86
2001-03-02,128.78
2001-03-04,106.61
2001-03-05,173.55
2001-03-06,
2001-03-07,158.01
2001-03-08,139.39
2001-03-09,
2001-03-10,100.04
2001-03-12,125.17
2001-03-13,108.66
2001-03-14,113.14
2001-03-15,109.79
2001-03-16,117.09
2001-03-19,117.16
2001-03-20,118.7
2001-03-21,120.16
2001-03-22,112.0
2001-03-23,112.43
2001-03-26,112.82
2001-03-27,107.43
2001-03-28,99.99
2001-03-29,98.97
2001-03-30,101.8
2001-04-01,134.88
2001-04-02,107.17
2001-04-03,106.61
2001-04-04,106.82
2001-04-05,187.06
2001-04-06,115.76
2001-04-07,155.54
2001-04-09,114.4
2001-04-10,114.88
2001-04-11,117.13
2001-04-12,121.59
2001-04-13,125.63
2001-04-16,125.92
2001-04-17,123.64
2001-04-18,123.36
2001-04-19,126.69
2001-04-20,130.46
2001-04-23,
2001-04-24,134.31
2001-04-25,139.46
2001-04-26,143.14
2001-04-27,163.21
2001-04-30,176.92
2001-05-01,171.51
2001-05-02,168.77
2001-05-03,
2001-05-04,187.06
2001-05-06,167.93
2001-05-07,159.05
2001-05-08,175.27
2001-05-09,131.6
2001-05-10,175.46
2001-05-11,124.18
2001-05-12,152.4
2001-05-14,168.65
2001-05-15,169.63
2001-05-16,172.28
2001-05-17,179.99
2001-05-18,178.63
2001-05-21,181.93
2001-05-22,186.21
2001-05-23,177.13
2001-05-24,171.02
2001-05-25,169.96
2001-05-28,167.64
2001-05-29,158.45
2001-05-30,158.06
2001-05-31,145.15
2001-06-01,163.52
2001-06-02,141.41
2001-06-03,
2001-06-04,115.76
2001-06-05,167.93
2001-06-06,162.99
2001-06-07,175.44
2001-06-08,141.86
2001-06-09,130.63
2001-06-11,174.35
2001-06-12,160.47
2001-06-13,169.7
2001-06-14,170.43
2001-06-15,175.78
2001-06-18,171.07
2001-06-19,163.52
2001-06-20,156.86
2001-06-21,156.14
2001-06-22,157.94
2001-06-25,158.56
2001-06-26,158.93
2001-06-27,162.06
2001-06-28,160.54
2001-06-29,161.6
2001-07-02,142.18
2001-07-03,158.01
2001-07-04,155.54
2001-07-05,178.99
2001-07-06,175.44
2001-07-08,137.01
2001-07-09,133.9
2001-07-10,143.3
2001-07-11,130.18
2001-07-12,126.57
2001-07-13,126.67
2001-07-16,120.09
2001-07-17,122.01
2001-07-18,129.74
2001-07-19,131.2
2001-07-20,135.02
2001-07-23,134.69
2001-07-24,143.97
2001-07-25,139.36
2001-07-26,133.57
2001-07-27,138.05
2001-07-30,138.54
2001-07-31,138.48
2001-08-01,143.36
2001-08-02,143.12
2001-08-03,139.39
2001-08-05,175.27
2001-08-06,179.91
2001-08-07,137.01
2001-08-08,131.67
2001-08-09,130.95
2001-08-10,126.1
2001-08-11,127.67
2001-08-13,125.14
2001-08-14,123.58
2001-08-15,123.11
2001-08-16,128.7
2001-08-17,135.14
2001-08-20,131.22
2001-08-21,134.17
2001-08-22,131.07
2001-08-23,131.95
2001-08-24,131.26
2001-08-27,138.3
2001-08-28,140.24
2001-08-29,137.78
2001-08-30,
2001-08-31,133.26
2001-09-01,145.97
2001-09-02,133.55
2001-09-03,
2001-09-04,114.4
2001-09-05,177.08
2001-09-06,130.63
2001-09-07,146.21
2001-09-08,130.95
2001-09-10,128.28
2001-09-11,130.56
2001-09-12,
2001-09-13,116.7
2001-09-14,109.5
2001-09-17,96.22
2001-09-18,104.42
2001-09-19,105.91
2001-09-20,103.76
2001-09-21,98.46
2001-09-24,99.4
2001-09-25,101.49
2001-09-26,99.58
2001-09-27,95.51
2001-09-28,98.98
2001-10-01,100.68
2001-10-02,100.71
2001-10-03,100.04
2001-10-04,100.88
2001-10-05,97.21
2001-10-07,143.3
2001-10-08,93.25
2001-10-09,128.28
2001-10-10,97.88
2001-10-11,107.22
2001-10-12,104.26
2001-10-15,107.8
2001-10-16,110.63
2001-10-17,112.05
2001-10-18,111.08
2001-10-19,109.64
2001-10-22,112.55
2001-10-23,123.04
2001-10-24,123.25
2001-10-25,119.81
2001-10-26,124.53
2001-10-29,
2001-10-30,123.99
2001-10-31,121.44
2001-11-01,157.19
2001-11-02,121.98
2001-11-04,117.13
2001-11-05,165.48
2001-11-06,129.21
2001-11-07,132.19
2001-11-08,127.67
2001-11-09,130.56
2001-11-10,107.22
2001-11-12,124.89
2001-11-13,128.39
2001-11-14,129.66
2001-11-15,138.17
2001-11-16,145.75
2001-11-19,154.9
2001-11-20,159.4
2001-11-21,151.84
2001-11-22,154.57
2001-11-23,151.45
2001-11-26,154.37
2001-11-27,157.16
2001-11-28,143.12
2001-11-29,140.05
2001-11-30,141.65
2001-12-01,152.88
2001-12-02,131.16
2001-12-03,125.17
2001-12-04,121.59
2001-12-05,152.4
2001-12-06,165.33
2001-12-07,165.6
2001-12-09,
2001-12-10,169.38
2001-12-11,164.03
2001-12-12,165.07
2001-12-13,170.98
2001-12-14,165.54
2001-12-17,
2001-12-18,
2001-12-19,168.06
2001-12-20,166.5
2001-12-21,164.91
2001-12-24,166.98
2001-12-25,166.95
2001-12-26,172.83
2001-12-27,173.57
2001-12-28,183.72
2001-12-31,
2002-01-01,
2002-01-02,183.14
2002-01-03,151.75
2002-01-04,161.85
2002-01-05,160.56
2002-01-07,198.8
2002-01-08,125.92
2002-01-09,198.37
2002-01-10,190.39
2002-01-11,186.01
2002-01-14,185.05
2002-01-15,178.36
2002-01-16,174.06
2002-01-17,171.05
2002-01-18,171.61
2002-01-21,168.18
2002-01-22,167.94
2002-01-23,170.49
2002-01-24,174.01
2002-01-25,170.95
2002-01-28,169.06
2002-01-29,169.1
2002-01-30,164.41
2002-01-31,173.65
2002-02-01,180.94
2002-02-04,177.1
2002-02-05,171.85
2002-02-06,164.21
2002-02-07,159.97
2002-02-08,131.92
2002-02-09,111.39
2002-02-10,108.99
2002-02-11,154.46
2002-02-12,154.5
2002-02-13,159.82
2002-02-14,156.86
2002-02-15,153.99
2002-02-18,149.26
2002-02-19,151.26
2002-02-20,150.54
2002-02-21,149.2
2002-02-22,
2002-02-25,
2002-02-26,149.1
2002-02-27,147.34
2002-02-28,145.14
2002-03-01,188.26
2002-03-04,157.46
2002-03-05,158.18
2002-03-06,155.49
2002-03-07,110.19
2002-03-08,157.31
2002-03-09,110.43
2002-03-10,107.33
2002-03-11,155.94
2002-03-12,166.17
2002-03-13,146.18
2002-03-14,144.55
2002-03-15,144.42
2002-03-18,144.63
2002-03-19,145.85
2002-03-20,148.92
2002-03-21,151.57
2002-03-22,162.5
2002-03-25,163.21
2002-03-26,163.8
2002-03-27,165.24
2002-03-28,170.03
2002-03-29,164.45
2002-04-01,
2002-04-02,164.47
2002-04-03,164.2
2002-04-04,162.09
2002-04-05,166.93
2002-04-06,141.92
2002-04-07,113.07
2002-04-08,169.52
2002-04-09,110.52
2002-04-10,106.8
2002-04-11,133.28
2002-04-12,168.31
2002-04-15,178.01
2002-04-16,179.97
2002-04-17,174.49
2002-04-18,173.57
2002-04-19,167.19
2002-04-22,166.32
2002-04-23,
2002-04-24,165.22
2002-04-25,166.89
2002-04-26,167.95
2002-04-29,162.67
2002-04-30,163.29
2002-05-01,160.56
2002-05-02,171.85
2002-05-03,159.87
2002-05-04,166.93
2002-05-06,144.01
2002-05-07,112.93
2002-05-08,131.52
2002-05-09,168.97
2002-05-10,164.51
2002-05-11,142.62
2002-05-12,
2002-05-13,163.31
2002-05-14,164.2
2002-05-15,163.69
2002-05-16,161.19
2002-05-17,155.48
2002-05-20,146.75
2002-05-21,151.46
2002-05-22,151.62
2002-05-23,150.59
2002-05-24,151.52
2002-05-27,153.06
2002-05-28,152.09
2002-05-29,149.95
2002-05-30,148.52
2002-05-31,143.04
2002-06-02,164.21
2002-06-03,155.49
2002-06-04,141.92
2002-06-05,159.36
2002-06-06,146.59
2002-06-07,140.8
2002-06-08,126.68
2002-06-09,114.04
2002-06-10,136.55
2002-06-11,151.66
2002-06-12,131.95
2002-06-13,134.81
2002-06-14,128.15
2002-06-17,125.74
2002-06-18,124.51
2002-06-19,121.92
2002-06-20,125.74
2002-06-21,122.28
2002-06-24,120.92
2002-06-25,116.41
2002-06-26,111.4
2002-06-27,114.36
2002-06-28,119.88
2002-07-01,198.8
2002-07-02,118.3
2002-07-03,110.19
2002-07-04,113.07
2002-07-05,164.51
2002-07-06,140.8
2002-07-08,127.84
2002-07-09,109.02
2002-07-10,105.54
2002-07-11,159.46
2002-07-12,109.93
2002-07-15,112.39
2002-07-16,114.76
2002-07-17,122.36
2002-07-18,127.5
2002-07-19,127.24
2002-07-22,122.59
2002-07-23,123.78
2002-07-24,118.14
2002-07-25,119.74
2002-07-26,116.94
2002-07-29,120.32
2002-07-30,124.47
2002-07-31,122.96
2002-08-01,199.61
2002-08-02,151.09
2002-08-03,157.31
2002-08-04,169.52
2002-08-05,131.52
2002-08-06,126.68
2002-08-07,127.84
2002-08-08,127.25
2002-08-09,125.57
2002-08-10,106.01
2002-08-11,177.92
2002-08-12,124.21
2002-08-13,124.16
2002-08-14,122.65
2002-08-15,118.98
2002-08-16,117.87
2002-08-19,117.75
2002-08-20,117.79
2002-08-21,116.2
2002-08-22,114.92
2002-08-23,112.33
2002-08-26,109.32
2002-08-27,110.32
2002-08-28,110.57
2002-08-29,114.35
2002-08-30,
2002-09-01,198.37
2002-09-02,111.39
2002-09-03,110.43
2002-09-04,110.52
2002-09-05,110.86
2002-09-06,114.04
2002-09-07,109.02
2002-09-08,125.57
2002-09-09,113.44
2002-09-10,105.26
2002-09-11,106.69
2002-09-12,111.63
2002-09-13,107.81
2002-09-16,108.44
2002-09-17,110.0
2002-09-18,111.13
2002-09-19,110.61
2002-09-20,110.3
2002-09-23,112.35
2002-09-24,109.09
2002-09-25,107.78
2002-09-26,108.4
2002-09-27,105.87
2002-09-30,105.56
2002-10-01,105.1
2002-10-02,108.99
2002-10-03,107.33
2002-10-04,168.44
2002-10-05,164.51
2002-10-06,136.55
2002-10-07,105.54
2002-10-08,106.01
2002-10-09,105.26
2002-10-10,109.53
2002-10-11,110.63
2002-10-12,161.18
2002-10-14,108.85
2002-10-15,108.56
2002-10-16,110.61
2002-10-17,113.48
2002-10-18,113.24
2002-10-21,118.21
2002-10-22,122.25
2002-10-23,121.21
2002-10-24,125.47
2002-10-25,126.7
2002-10-28,127.23
2002-10-29,
2002-10-30,124.0
2002-10-31,126.53
2002-11-01,123.36
2002-11-02,154.46
2002-11-03,155.94
2002-11-04,133.28
2002-11-05,142.62
2002-11-06,151.66
2002-11-07,159.46
2002-11-08,177.92
2002-11-09,106.69
2002-11-10,110.63
2002-11-11,168.06
2002-11-12,160.75
2002-11-13,159.85
2002-11-14,174.01
2002-11-15,170.53
2002-11-18,183.81
2002-11-19,177.91
2002-11-20,170.45
2002-11-21,173.23
2002-11-22,177.14
2002-11-25,167.33
2002-11-26,167.33
2002-11-27,158.42
2002-11-28,164.15
2002-11-29,163.74
2002-12-02,154.5
2002-12-03,147.55
2002-12-04,168.31
2002-12-05,
2002-12-06,
2002-12-07,109.93
2002-12-08,124.21
2002-12-09,160.09
2002-12-10,161.18
2002-12-11,160.75
2002-12-12,160.81
2002-12-13,163.73
2002-12-16,160.63
2002-12-17,150.58
2002-12-18,143.53
2002-12-19,141.13
2002-12-20,139.82
2002-12-23,135.93
2002-12-24,125.25
2002-12-25,129.84
2002-12-26,134.09
2002-12-27,130.39
2002-12-30,126.69
2002-12-31,127.93
2003-01-01,
2003-01-02,131.74
2003-01-03,131.56
2003-01-04,113.54
2003-01-05,135.03
2003-01-06,129.52
2003-01-07,123.78
2003-01-08,126.47
2003-01-09,123.1
2003-01-10,126.82
2003-01-12,210.4
2003-01-13,126.45
2003-01-14,129.17
2003-01-15,127.83
2003-01-16,128.45
2003-01-17,127.41
2003-01-20,125.35
2003-01-21,132.69
2003-01-22,129.22
2003-01-23,130.24
2003-01-24,130.86
2003-01-27,133.68
2003-01-28,132.78
2003-01-29,130.77
2003-01-30,133.23
2003-01-31,133.55
2003-02-01,131.74
2003-02-03,136.94
2003-02-04,114.95
2003-02-05,130.59
2003-02-06,135.5
2003-02-07,130.22
2003-02-09,142.51
2003-02-10,
2003-02-11,
2003-02-12,
2003-02-13,
2003-02-14,
2003-02-17,134.84
2003-02-18,142.73
2003-02-19,149.35
2003-02-20,149.81
2003-02-21,144.58
2003-02-24,147.47
2003-02-25,141.32
2003-02-26,142.37
2003-02-27,144.62
2003-02-28,143.0
2003-03-01,131.56
2003-03-02,136.94
2003-03-03,129.55
2003-03-04,127.91
2003-03-05,131.68
2003-03-06,136.52
2003-03-07,129.36
2003-03-09,141.84
2003-03-10,137.68
2003-03-11,216.37
2003-03-12,217.89
2003-03-13,132.3
2003-03-14,132.51
2003-03-17,120.26
2003-03-18,128.15
2003-03-19,120.25
2003-03-20,118.49
2003-03-21,108.25
2003-03-24,107.92
2003-03-25,106.8
2003-03-26,112.85
2003-03-27,112.21
2003-03-28,112.27
2003-03-31,113.49
2003-04-01,113.54
2003-04-02,134.01
2003-04-03,117.9
2003-04-04,122.94
2003-04-06,132.46
2003-04-07,126.73
2003-04-08,132.21
2003-04-09,122.49
2003-04-10,124.58
2003-04-11,220.87
2003-04-12,223.84
2003-04-14,130.67
2003-04-15,134.0
2003-04-16,132.32
2003-04-17,133.4
2003-04-18,131.72
2003-04-21,135.29
2003-04-22,135.52
2003-04-23,
2003-04-24,132.35
2003-04-25,132.19
2003-04-28,133.59
2003-04-29,131.8
2003-04-30,136.2
2003-05-01,135.03
2003-05-02,130.59
2003-05-03,131.68
2003-05-05,133.58
2003-05-06,130.0
2003-05-07,125.47
2003-05-08,137.56
2003-05-09,125.04
2003-05-11,221.21
2003-05-12,125.36
2003-05-13,126.54
2003-05-14,124.49
2003-05-15,121.08
2003-05-16,121.25
2003-05-19,
2003-05-20,119.84
2003-05-21,121.8
2003-05-22,124.52
2003-05-23,127.96
2003-05-26,132.81
2003-05-27,131.21
2003-05-28,132.62
2003-05-29,135.86
2003-05-30,134.19
2003-06-01,129.52
2003-06-02,135.5
2003-06-03,136.52
2003-06-04,132.46
2003-06-05,130.52
2003-06-06,130.26
2003-06-08,138.58
2003-06-09,126.31
2003-06-10,201.82
2003-06-11,124.05
2003-06-12,122.68
2003-06-13,123.91
2003-06-16,128.13
2003-06-17,133.12
2003-06-18,134.67
2003-06-19,132.51
2003-06-20,130.9
2003-06-23,128.3
2003-06-24,129.87
2003-06-25,127.25
2003-06-26,131.09
2003-06-27,132.44
2003-06-30,131.83
2003-07-01,123.78
2003-07-02,135.85
2003-07-03,136.52
2003-07-04,126.73
2003-07-05,125.47
2003-07-07,124.19
2003-07-08,125.73
2003-07-09,125.85
2003-07-10,126.93
2003-07-11,126.94
2003-07-14,129.09
2003-07-15,130.08
2003-07-16,130.95
2003-07-17,131.32
2003-07-18,130.63
2003-07-21,132.06
2003-07-22,129.17
2003-07-23,125.64
2003-07-24,124.86
2003-07-25,126.14
2003-07-28,126.19
2003-07-29,125.15
2003-07-30,125.6
2003-07-31,126.22
2003-08-01,126.47
2003-08-04,132.21
2003-08-05,126.05
2003-08-06,138.58
2003-08-07,125.73
2003-08-08,141.42
2003-08-09,142.98
2003-08-10,204.71
2003-08-11,141.17
2003-08-12,228.5
2003-08-13,147.84
2003-08-14,144.91
2003-08-15,144.27
2003-08-18,144.33
2003-08-19,141.34
2003-08-20,143.35
2003-08-21,141.26
2003-08-22,144.15
2003-08-25,146.3
2003-08-26,143.7
2003-08-27,140.02
2003-08-28,139.62
2003-08-29,140.87
2003-09-01,141.38
2003-09-02,142.51
2003-09-03,141.84
2003-09-04,122.49
2003-09-05,125.04
2003-09-06,126.31
2003-09-07,125.85
2003-09-08,142.98
2003-09-09,145.31
2003-09-10,157.28
2003-09-11,155.14
2003-09-12,230.89
2003-09-15,160.39
2003-09-16,159.8
2003-09-17,166.38
2003-09-18,167.92
2003-09-19,174.45
2003-09-22,181.31
2003-09-23,175.8
2003-09-24,179.02
2003-09-25,177.39
2003-09-26,177.33
2003-09-29,174.18
2003-09-30,167.92
2003-10-01,167.55
2003-10-02,173.18
2003-10-03,186.24
2003-10-04,124.58
2003-10-06,201.82
2003-10-07,126.93
2003-10-08,204.71
2003-10-09,157.28
2003-10-10,198.13
2003-10-11,211.02
2003-10-12,227.99
2003-10-13,201.73
2003-10-14,196.53
2003-10-15,203.54
2003-10-16,208.82
2003-10-17,203.12
2003-10-20,202.98
2003-10-21,203.69
2003-10-22,203.77
2003-10-23,198.0
2003-10-24,195.0
2003-10-27,191.15
2003-10-28,193.83
2003-10-29,
2003-10-30,196.81
2003-10-31,208.82
2003-11-02,
2003-11-03,216.37
2003-11-04,125.71
2003-11-05,221.21
2003-11-06,213.75
2003-11-07,126.94
2003-11-08,141.17
2003-11-09,155.14
2003-11-10,211.02
2003-11-11,208.6
2003-11-12,207.09
2003-11-13,215.39
2003-11-14,215.97
2003-11-17,214.93
2003-11-18,212.6
2003-11-19,213.13
2003-11-20,194.81
2003-11-21,
2003-11-24,
2003-11-25,
2003-11-26,
2003-11-27,
2003-11-28,
2003-12-01,210.4
2003-12-02,
2003-12-03,132.35
2003-12-04,223.84
2003-12-05,125.36
2003-12-06,122.68
2003-12-08,228.5
2003-12-09,230.89
2003-12-10,227.99
2003-12-11,225.14
2003-12-12,226.96
2003-12-15,240.96
2003-12-16,239.68
2003-12-17,237.35
2003-12-18,239.42
2003-12-19,247.54
2003-12-22,250.81
2003-12-23,250.77
2003-12-24,249.28
2003-12-25,245.29
2003-12-26,242.19
2003-12-29,245.35
2003-12-30,248.82
2003-12-31,254.54
2004-01-01,
2004-01-02,260.74
2004-01-03,259.03
2004-01-04,275.19
2004-01-05,268.99
2004-01-06,272.55
2004-01-07,249.1
2004-01-08,274.67
2004-01-09,272.29
2004-01-10,300.46
2004-01-11,308.25
2004-01-12,308.61
2004-01-13,270.24
2004-01-14,267.5
2004-01-15,255.15
2004-01-16,252.93
2004-01-19,242.84
2004-01-20,249.03
2004-01-21,256.41
2004-01-22,253.35
2004-01-23,
2004-01-26,249.07
2004-01-27,251.12
2004-01-28,240.64
2004-01-29,237.73
2004-01-30,234.28
2004-02-01,260.74
2004-02-02,
2004-02-03,261.11
2004-02-04,275.93
2004-02-05,233.99
2004-02-06,223.88
2004-02-07,254.29
2004-02-08,272.3
2004-02-09,286.37
2004-02-10,240.76
2004-02-11,248.23
2004-02-12,262.65
2004-02-13,269.04
2004-02-16,276.92
2004-02-17,269.19
2004-02-18,262.81
2004-02-19,265.16
2004-02-20,255.14
2004-02-23,255.03
2004-02-24,255.93
2004-02-25,255.94
2004-02-26,260.26
2004-02-27,258.47
2004-03-01,259.03
2004-03-02,261.11
2004-03-03,263.31
2004-03-04,262.87
2004-03-05,239.91
2004-03-06,225.36
2004-03-08,270.1
2004-03-09,271.1
2004-03-10,266.99
2004-03-11,266.44
2004-03-12,266.52
2004-03-15,266.14
2004-03-16,265.48
2004-03-17,263.93
2004-03-18,264.38
2004-03-19,269.43
2004-03-22,278.76
2004-03-23,274.37
2004-03-24,278.56
2004-03-25,275.86
2004-03-26,283.16
2004-03-29,290.44
2004-03-30,281.21
2004-03-31,271.42
2004-04-01,275.19
2004-04-02,
2004-04-03,262.87
2004-04-05,276.27
2004-04-06,273.58
2004-04-07,271.12
2004-04-08,258.29
2004-04-09,261.68
2004-04-10,299.07
2004-04-11,323.55
2004-04-12,257.29
2004-04-13,252.43
2004-04-14,255.2
2004-04-15,247.42
2004-04-16,251.91
2004-04-19,262.41
2004-04-20,265.07
2004-04-21,261.4
2004-04-22,259.61
2004-04-23,
2004-04-26,255.79
2004-04-27,239.27
2004-04-28,243.54
2004-04-29,237.82
2004-04-30,238.39
2004-05-01,268.99
2004-05-02,233.99
2004-05-03,259.06
2004-05-04,245.34
2004-05-05,249.7
2004-05-06,250.24
2004-05-07,237.58
2004-05-08,267.14
2004-05-10,300.19
2004-05-11,229.58
2004-05-12,233.71
2004-05-13,228.68
2004-05-14,222.64
2004-05-17,218.43
2004-05-18,214.71
2004-05-19,
2004-05-20,218.22
2004-05-21,220.02
2004-05-24,226.69
2004-05-25,226.95
2004-05-26,228.77
2004-05-27,228.34
2004-05-28,233.94
2004-05-31,228.67
2004-06-01,272.55
2004-06-02,232.16
2004-06-03,225.36
