Tarih,TP_MK_G_BILESIK
2000-07-01,172.9157
2000-07-02,178.8171
2000-07-03,188.15
2000-07-04,184.79
2000-07-05,157.04
2000-07-06,177.81
2000-07-07,157.88
2000-07-08,148.13
2000-07-09,140.36
2000-07-10,160.07
2000-07-11,159.33
2000-07-12,112.38
2000-07-13,151.45
2000-07-14,147.55
2000-07-17,142.19
2000-07-18,140.19
2000-07-19,140.6
2000-07-20,144.45
2000-07-21,146.13
2000-07-24,149.2
2000-07-25,151.18
2000-07-26,150.15
2000-07-27,149.04
2000-07-28,151.86
2000-07-31,153.31
2000-08-01,153.59
2000-08-02,175.2404
2000-08-03,154.08
2000-08-04,152.63
2000-08-05,189.8
2000-08-06,182.98
2000-08-07,148.13
2000-08-08,146.16
2000-08-09,143.46
2000-08-10,140.74
2000-08-11,150.57
2000-08-12,99.8
2000-08-14,148.47
2000-08-15,147.98
2000-08-16,143.49
2000-08-17,141.55
2000-08-18,142.86
2000-08-21,143.78
2000-08-22,136.68
2000-08-23,143.41
2000-08-24,146.53
2000-08-25,144.64
2000-08-28,143.6
2000-08-29,144.16
2000-08-30,
2000-08-31,144.08
2000-09-01,143.77
2000-09-02,168.5051
2000-09-03,200.08
2000-09-04,144.62
2000-09-05,196.69
2000-09-06,145.57
2000-09-07,140.36
2000-09-08,143.46
2000-09-10,134.82
2000-09-11,149.32
2000-09-12,124.06
2000-09-13,130.16
2000-09-14,127.45
2000-09-15,125.56
2000-09-18,120.4
2000-09-19,117.81
2000-09-20,118.87
2000-09-21,123.83
2000-09-22,119.77
2000-09-25,122.47
2000-09-26,123.07
2000-09-27,123.44
2000-09-28,125.26
2000-09-29,123.0
2000-10-01,
2000-10-02,172.8307
2000-10-03,125.45
2000-10-04,125.99
2000-10-05,129.95
2000-10-06,132.51
2000-10-07,160.07
2000-10-08,140.74
2000-10-09,134.82
2000-10-10,137.17
2000-10-11,145.65
2000-10-12,144.1
2000-10-13,138.44
2000-10-16,147.54
2000-10-17,150.91
2000-10-18,148.68
2000-10-19,147.63
2000-10-20,153.14
2000-10-23,146.52
2000-10-24,145.07
2000-10-25,148.74
2000-10-26,145.84
2000-10-27,146.91
2000-10-30,145.54
2000-10-31,148.51
2000-11-01,178.4843
2000-11-02,170.3044
2000-11-03,160.72
2000-11-04,181.07
2000-11-05,195.85
2000-11-06,160.06
2000-11-07,155.27
2000-11-08,150.57
2000-11-09,149.32
2000-11-10,145.65
2000-11-12,105.6
2000-11-13,149.57
2000-11-14,142.28
2000-11-15,145.17
2000-11-16,145.18
2000-11-17,142.59
2000-11-20,135.61
2000-11-21,131.06
2000-11-22,119.96
2000-11-23,125.31
2000-11-24,120.43
2000-11-27,119.16
2000-11-28,105.9
2000-11-29,103.61
2000-11-30,105.82
2000-12-01,184.8845
2000-12-04,184.83
2000-12-05,88.59
2000-12-06,174.63
2000-12-07,151.88
2000-12-08,99.8
2000-12-09,124.06
2000-12-10,144.1
2000-12-11,105.6
2000-12-12,104.12
2000-12-13,95.28
2000-12-14,98.04
2000-12-15,107.53
2000-12-18,101.82
2000-12-19,101.12
2000-12-20,99.56
2000-12-21,100.56
2000-12-22,103.29
2000-12-25,
2000-12-26,
2000-12-27,
2000-12-28,
2000-12-29,
2001-01-01,
2001-01-02,102.9
2001-01-03,103.37
2001-01-04,108.28
2001-01-05,111.41
2001-01-06,125.37
2001-01-08,111.3
2001-01-09,115.98
2001-01-10,123.22
2001-01-11,125.46
2001-01-12,121.12
2001-01-15,116.68
2001-01-16,114.25
2001-01-17,117.66
2001-01-18,122.6
2001-01-19,122.32
2001-01-22,125.27
2001-01-23,118.01
2001-01-24,123.88
2001-01-25,119.13
2001-01-26,119.98
2001-01-29,115.25
2001-01-30,115.12
2001-01-31,114.62
2001-02-01,116.43
2001-02-02,116.61
2001-02-03,104.01
2001-02-04,86.92
2001-02-05,111.7
2001-02-06,108.24
2001-02-07,123.76
2001-02-08,112.58
2001-02-09,102.49
2001-02-10,85.99
2001-02-11,109.89
2001-02-12,100.48
2001-02-13,99.18
2001-02-14,106.06
2001-02-15,108.57
2001-02-16,108.87
2001-02-19,98.79
2001-02-20,95.64
2001-02-21,84.73
2001-02-22,87.25
2001-02-23,88.28
2001-02-26,98.38
2001-02-27,96.46
2001-02-28,93.47
2001-03-01,101.5
2001-03-02,104.01
2001-03-04,86.49
2001-03-05,137.1
2001-03-06,
2001-03-07,122.52
2001-03-08,110.93
2001-03-09,
2001-03-10,85.55
2001-03-12,101.42
2001-03-13,89.5
2001-03-14,93.13
2001-03-15,89.97
2001-03-16,96.35
2001-03-19,96.0
2001-03-20,96.82
2001-03-21,98.11
2001-03-22,91.49
2001-03-23,91.68
2001-03-26,91.95
2001-03-27,87.7
2001-03-28,81.36
2001-03-29,80.71
2001-03-30,83.01
2001-04-01,108.28
2001-04-02,86.92
2001-04-03,86.49
2001-04-04,86.32
2001-04-05,145.46
2001-04-06,92.34
2001-04-07,121.0
2001-04-09,91.94
2001-04-10,91.76
2001-04-11,92.95
2001-04-12,97.6
2001-04-13,100.14
2001-04-16,100.41
2001-04-17,99.06
2001-04-18,99.16
2001-04-19,101.95
2001-04-20,105.35
2001-04-23,
2001-04-24,108.28
2001-04-25,111.73
2001-04-26,114.49
2001-04-27,129.78
2001-04-30,138.55
2001-05-01,135.41
2001-05-02,133.28
2001-05-03,
2001-05-04,145.46
2001-05-06,127.05
2001-05-07,124.03
2001-05-08,136.5
2001-05-09,107.68
2001-05-10,137.11
2001-05-11,111.25
2001-05-12,130.39
2001-05-14,131.32
2001-05-15,132.22
2001-05-16,133.84
2001-05-17,138.55
2001-05-18,137.23
2001-05-21,139.57
2001-05-22,142.97
2001-05-23,136.14
2001-05-24,132.02
2001-05-25,131.06
2001-05-28,129.73
2001-05-29,122.87
2001-05-30,122.34
2001-05-31,112.73
2001-06-01,125.37
2001-06-02,108.24
2001-06-03,
2001-06-04,92.34
2001-06-05,127.05
2001-06-06,123.68
2001-06-07,131.98
2001-06-08,112.78
2001-06-09,107.68
2001-06-11,131.55
2001-06-12,136.37
2001-06-13,128.54
2001-06-14,129.32
2001-06-15,133.61
2001-06-18,130.22
2001-06-19,124.44
2001-06-20,120.03
2001-06-21,119.8
2001-06-22,120.96
2001-06-25,121.61
2001-06-26,122.43
2001-06-27,125.09
2001-06-28,124.69
2001-06-29,125.37
2001-07-02,108.68
2001-07-03,122.52
2001-07-04,121.0
2001-07-05,139.59
2001-07-06,131.98
2001-07-08,108.98
2001-07-09,110.12
2001-07-10,112.9
2001-07-11,117.03
2001-07-12,101.03
2001-07-13,101.27
2001-07-16,96.64
2001-07-17,98.03
2001-07-18,103.55
2001-07-19,104.52
2001-07-20,106.99
2001-07-23,106.84
2001-07-24,113.73
2001-07-25,109.89
2001-07-26,106.19
2001-07-27,109.49
2001-07-30,109.95
2001-07-31,109.92
2001-08-01,113.51
2001-08-02,109.04
2001-08-03,110.93
2001-08-05,136.5
2001-08-06,135.31
2001-08-07,108.98
2001-08-08,105.8
2001-08-09,105.33
2001-08-10,102.17
2001-08-11,115.04
2001-08-13,100.51
2001-08-14,99.71
2001-08-15,99.51
2001-08-16,103.29
2001-08-17,107.98
2001-08-20,105.8
2001-08-21,108.44
2001-08-22,106.09
2001-08-23,107.06
2001-08-24,107.35
2001-08-27,113.24
2001-08-28,114.52
2001-08-29,112.23
2001-08-30,
2001-08-31,108.69
2001-09-01,115.98
2001-09-02,102.49
2001-09-03,
2001-09-04,91.94
2001-09-05,138.13
2001-09-06,107.68
2001-09-07,115.44
2001-09-08,105.33
2001-09-10,105.38
2001-09-11,106.56
2001-09-12,
2001-09-13,95.55
2001-09-14,89.98
2001-09-17,79.31
2001-09-18,86.37
2001-09-19,88.13
2001-09-20,86.35
2001-09-21,82.29
2001-09-24,83.46
2001-09-25,85.03
2001-09-26,83.56
2001-09-27,80.79
2001-09-28,83.94
2001-10-01,86.04
2001-10-02,85.99
2001-10-03,85.55
2001-10-04,86.7
2001-10-05,84.27
2001-10-07,112.9
2001-10-08,81.63
2001-10-09,105.38
2001-10-10,86.24
2001-10-11,94.15
2001-10-12,92.38
2001-10-15,95.29
2001-10-16,97.25
2001-10-17,98.86
2001-10-18,97.95
2001-10-19,97.02
2001-10-22,99.63
2001-10-23,107.2
2001-10-24,107.77
2001-10-25,105.05
2001-10-26,109.27
2001-10-29,
2001-10-30,109.56
2001-10-31,108.14
2001-11-01,125.46
2001-11-02,109.89
2001-11-04,92.95
2001-11-05,130.3
2001-11-06,115.37
2001-11-07,105.01
2001-11-08,115.04
2001-11-09,106.56
2001-11-10,94.15
2001-11-12,112.58
2001-11-13,115.15
2001-11-14,116.24
2001-11-15,121.89
2001-11-16,126.85
2001-11-19,133.82
2001-11-20,136.08
2001-11-21,129.58
2001-11-22,132.2
2001-11-23,129.91
2001-11-26,131.82
2001-11-27,133.7
2001-11-28,122.39
2001-11-29,120.69
2001-11-30,122.19
2001-12-01,121.12
2001-12-02,100.48
2001-12-03,101.42
2001-12-04,97.6
2001-12-05,130.39
2001-12-06,125.4
2001-12-07,141.32
2001-12-09,
2001-12-10,143.22
2001-12-11,139.09
2001-12-12,140.24
2001-12-13,144.45
2001-12-14,140.78
2001-12-17,
2001-12-18,
2001-12-19,141.81
2001-12-20,141.23
2001-12-21,139.96
2001-12-24,141.61
2001-12-25,142.01
2001-12-26,146.86
2001-12-27,147.74
2001-12-28,153.61
2001-12-31,
2002-01-01,
2002-01-02,152.58
2002-01-03,125.83
2002-01-04,128.24
2002-01-05,127.81
2002-01-07,165.35
2002-01-08,117.51
2002-01-09,163.2
2002-01-10,156.5
2002-01-11,152.61
2002-01-14,152.57
2002-01-15,147.12
2002-01-16,145.0
2002-01-17,143.89
2002-01-18,144.5
2002-01-21,141.6
2002-01-22,140.62
2002-01-23,142.79
2002-01-24,144.39
2002-01-25,141.79
2002-01-28,140.84
2002-01-29,140.28
2002-01-30,136.12
2002-01-31,143.6
2002-02-01,148.36
2002-02-04,146.89
2002-02-05,142.39
2002-02-06,136.59
2002-02-07,132.9
2002-02-08,122.22
2002-02-09,105.62
2002-02-10,101.85
2002-02-11,128.39
2002-02-12,128.1
2002-02-13,132.02
2002-02-14,129.98
2002-02-15,128.49
2002-02-18,123.99
2002-02-19,124.74
2002-02-20,124.7
2002-02-21,124.21
2002-02-22,
2002-02-25,
2002-02-26,124.2
2002-02-27,122.36
2002-02-28,120.7
2002-03-01,157.26
2002-03-04,130.08
2002-03-05,129.85
2002-03-06,127.84
2002-03-07,99.01
2002-03-08,129.35
2002-03-09,104.75
2002-03-10,100.46
2002-03-11,128.17
2002-03-12,148.04
2002-03-13,119.38
2002-03-14,118.33
2002-03-15,118.48
2002-03-18,118.08
2002-03-19,118.75
2002-03-20,120.08
2002-03-21,122.2
2002-03-22,129.41
2002-03-25,129.95
2002-03-26,131.34
2002-03-27,131.6
2002-03-28,135.12
2002-03-29,130.93
2002-04-01,
2002-04-02,129.71
2002-04-03,129.05
2002-04-04,127.32
2002-04-05,131.86
2002-04-06,114.62
2002-04-07,102.53
2002-04-08,132.74
2002-04-09,104.8
2002-04-10,100.76
2002-04-11,123.38
2002-04-12,149.68
2002-04-15,138.85
2002-04-16,140.64
2002-04-17,136.57
2002-04-18,136.4
2002-04-19,131.97
2002-04-22,131.41
2002-04-23,
2002-04-24,131.02
2002-04-25,132.34
2002-04-26,133.07
2002-04-29,130.15
2002-04-30,129.93
2002-05-01,127.81
2002-05-02,142.39
2002-05-03,127.11
2002-05-04,131.86
2002-05-06,117.04
2002-05-07,103.03
2002-05-08,121.16
2002-05-09,133.66
2002-05-10,130.13
2002-05-11,130.34
2002-05-12,
2002-05-13,129.57
2002-05-14,130.2
2002-05-15,129.24
2002-05-16,127.9
2002-05-17,124.1
2002-05-20,117.7
2002-05-21,121.28
2002-05-22,121.0
2002-05-23,120.53
2002-05-24,121.38
2002-05-27,123.03
2002-05-28,122.03
2002-05-29,120.23
2002-05-30,119.44
2002-05-31,115.54
2002-06-02,136.59
2002-06-03,127.84
2002-06-04,114.62
2002-06-05,126.36
2002-06-06,118.8
2002-06-07,114.56
2002-06-08,117.71
2002-06-09,107.88
2002-06-10,111.55
2002-06-11,136.69
2002-06-12,110.09
2002-06-13,112.11
2002-06-14,107.47
2002-06-17,106.01
2002-06-18,104.57
2002-06-19,103.45
2002-06-20,106.1
2002-06-21,103.12
2002-06-24,102.66
2002-06-25,101.04
2002-06-26,98.25
2002-06-27,100.96
2002-06-28,105.3
2002-07-01,165.35
2002-07-02,104.26
2002-07-03,99.01
2002-07-04,102.53
2002-07-05,129.5
2002-07-06,114.56
2002-07-08,118.91
2002-07-09,99.77
2002-07-10,99.28
2002-07-11,142.82
2002-07-12,103.2
2002-07-15,105.65
2002-07-16,107.26
2002-07-17,114.4
2002-07-18,117.43
2002-07-19,117.28
2002-07-22,113.84
2002-07-23,115.06
2002-07-24,110.34
2002-07-25,111.88
2002-07-26,110.04
2002-07-29,112.85
2002-07-30,116.96
2002-07-31,115.3
2002-08-01,166.1
2002-08-02,126.43
2002-08-03,129.35
2002-08-04,132.74
2002-08-05,121.16
2002-08-06,117.71
2002-08-07,118.91
2002-08-08,118.5
2002-08-09,117.62
2002-08-10,99.79
2002-08-11,154.45
2002-08-12,115.66
2002-08-13,115.31
2002-08-14,113.45
2002-08-15,110.7
2002-08-16,109.9
2002-08-19,110.17
2002-08-20,110.3
2002-08-21,108.97
2002-08-22,107.7
2002-08-23,106.25
2002-08-26,103.38
2002-08-27,104.95
2002-08-28,105.16
2002-08-29,107.93
2002-08-30,
2002-09-01,163.2
2002-09-02,105.62
2002-09-03,104.75
2002-09-04,104.8
2002-09-05,105.79
2002-09-06,107.88
2002-09-07,99.77
2002-09-08,117.62
2002-09-09,106.86
2002-09-10,100.09
2002-09-11,101.39
2002-09-12,104.69
2002-09-13,102.44
2002-09-16,102.69
2002-09-17,103.69
2002-09-18,104.67
2002-09-19,104.05
2002-09-20,104.15
2002-09-23,105.63
2002-09-24,102.97
2002-09-25,101.41
2002-09-26,101.59
2002-09-27,99.66
2002-09-30,98.64
2002-10-01,98.52
2002-10-02,101.85
2002-10-03,100.46
2002-10-04,131.93
2002-10-05,130.13
2002-10-06,111.55
2002-10-07,99.28
2002-10-08,99.79
2002-10-09,100.09
2002-10-10,103.34
2002-10-11,104.43
2002-10-12,143.99
2002-10-14,102.53
2002-10-15,102.13
2002-10-16,104.37
2002-10-17,107.24
2002-10-18,107.37
2002-10-21,110.96
2002-10-22,114.18
2002-10-23,112.88
2002-10-24,115.94
2002-10-25,117.19
2002-10-28,117.58
2002-10-29,
2002-10-30,114.62
2002-10-31,117.25
2002-11-01,114.52
2002-11-02,128.39
2002-11-03,128.17
2002-11-04,123.38
2002-11-05,130.34
2002-11-06,136.69
2002-11-07,142.82
2002-11-08,154.45
2002-11-09,101.39
2002-11-10,104.43
2002-11-11,146.37
2002-11-12,141.06
2002-11-13,139.51
2002-11-14,151.01
2002-11-15,147.51
2002-11-18,160.07
2002-11-19,156.58
2002-11-20,149.5
2002-11-21,151.36
2002-11-22,154.71
2002-11-25,146.66
2002-11-26,146.67
2002-11-27,141.15
2002-11-28,146.51
2002-11-29,146.64
2002-12-02,128.1
2002-12-03,121.45
2002-12-04,149.68
2002-12-05,
2002-12-06,
2002-12-07,103.2
2002-12-08,115.66
2002-12-09,143.1
2002-12-10,143.99
2002-12-11,141.06
2002-12-12,143.66
2002-12-13,145.55
2002-12-16,144.15
2002-12-17,135.25
2002-12-18,129.38
2002-12-19,127.54
2002-12-20,126.85
2002-12-23,122.85
2002-12-24,114.19
2002-12-25,118.3
2002-12-26,121.87
2002-12-27,117.96
2002-12-30,115.46
2002-12-31,115.91
2003-01-01,
2003-01-02,119.09
2003-01-03,119.31
2003-01-04,107.85
2003-01-05,130.5
2003-01-06,117.66
2003-01-07,112.43
2003-01-08,120.86
2003-01-09,112.25
2003-01-10,115.34
2003-01-12,179.13
2003-01-13,115.02
2003-01-14,117.76
2003-01-15,116.66
2003-01-16,117.08
2003-01-17,116.01
2003-01-20,114.69
2003-01-21,121.26
2003-01-22,118.42
2003-01-23,119.73
2003-01-24,120.67
2003-01-27,122.8
2003-01-28,121.94
2003-01-29,119.9
2003-01-30,121.97
2003-01-31,122.0
2003-02-01,119.09
2003-02-03,124.61
2003-02-04,110.14
2003-02-05,119.03
2003-02-06,131.84
2003-02-07,122.78
2003-02-09,133.78
2003-02-10,
2003-02-11,
2003-02-12,
2003-02-13,
2003-02-14,
2003-02-17,123.11
2003-02-18,129.51
2003-02-19,133.85
2003-02-20,134.17
2003-02-21,130.0
2003-02-24,131.61
2003-02-25,126.07
2003-02-26,127.41
2003-02-27,129.52
2003-02-28,127.88
2003-03-01,119.31
2003-03-02,124.61
2003-03-03,115.63
2003-03-04,115.96
2003-03-05,118.7
2003-03-06,121.96
2003-03-07,122.32
2003-03-09,132.83
2003-03-10,123.61
2003-03-11,184.09
2003-03-12,184.98
2003-03-13,119.46
2003-03-14,119.83
2003-03-17,109.76
2003-03-18,117.67
2003-03-19,111.23
2003-03-20,110.22
2003-03-21,102.25
2003-03-24,102.74
2003-03-25,102.28
2003-03-26,106.94
2003-03-27,106.95
2003-03-28,106.75
2003-03-31,107.66
2003-04-01,107.85
2003-04-02,121.72
2003-04-03,113.15
2003-04-04,117.35
2003-04-06,128.7
2003-04-07,120.2
2003-04-08,125.7
2003-04-09,117.15
2003-04-10,118.94
2003-04-11,186.58
2003-04-12,189.18
2003-04-14,124.68
2003-04-15,128.3
2003-04-16,127.63
2003-04-17,129.65
2003-04-18,127.63
2003-04-21,130.86
2003-04-22,130.66
2003-04-23,
2003-04-24,128.27
2003-04-25,128.23
2003-04-28,129.64
2003-04-29,128.07
2003-04-30,131.57
2003-05-01,130.5
2003-05-02,119.03
2003-05-03,118.7
2003-05-05,128.46
2003-05-06,126.81
2003-05-07,122.08
2003-05-08,129.41
2003-05-09,121.61
2003-05-11,186.84
2003-05-12,121.34
2003-05-13,121.84
2003-05-14,119.34
2003-05-15,116.81
2003-05-16,117.2
2003-05-19,
2003-05-20,116.75
2003-05-21,118.69
2003-05-22,120.92
2003-05-23,123.51
2003-05-26,127.47
2003-05-27,126.29
2003-05-28,127.8
2003-05-29,131.59
2003-05-30,130.31
2003-06-01,117.66
2003-06-02,131.84
2003-06-03,121.96
2003-06-04,128.7
2003-06-05,125.98
2003-06-06,126.66
2003-06-08,129.89
2003-06-09,123.02
2003-06-10,175.34
2003-06-11,120.42
2003-06-12,119.37
2003-06-13,120.44
2003-06-16,123.76
2003-06-17,127.6
2003-06-18,128.7
2003-06-19,126.67
2003-06-20,125.37
2003-06-23,122.82
2003-06-24,124.01
2003-06-25,121.92
2003-06-26,124.34
2003-06-27,125.74
2003-06-30,124.64
2003-07-01,112.43
2003-07-02,123.66
2003-07-03,122.5
2003-07-04,120.2
2003-07-05,122.08
2003-07-07,117.46
2003-07-08,118.51
2003-07-09,118.19
2003-07-10,119.29
2003-07-11,119.04
2003-07-14,121.24
2003-07-15,122.5
2003-07-16,123.18
2003-07-17,122.96
2003-07-18,122.74
2003-07-21,123.97
2003-07-22,121.85
2003-07-23,119.07
2003-07-24,118.63
2003-07-25,119.74
2003-07-28,120.52
2003-07-29,119.51
2003-07-30,119.88
2003-07-31,120.45
2003-08-01,120.86
2003-08-04,125.7
2003-08-05,122.86
2003-08-06,129.89
2003-08-07,118.51
2003-08-08,132.27
2003-08-09,132.18
2003-08-10,175.7
2003-08-11,131.96
2003-08-12,192.28
2003-08-13,137.24
2003-08-14,134.82
2003-08-15,134.42
2003-08-18,134.6
2003-08-19,131.93
2003-08-20,133.77
2003-08-21,132.53
2003-08-22,134.79
2003-08-25,136.46
2003-08-26,134.46
2003-08-27,131.78
2003-08-28,131.56
2003-08-29,132.84
2003-09-01,133.2
2003-09-02,133.78
2003-09-03,132.83
2003-09-04,117.15
2003-09-05,121.61
2003-09-06,123.02
2003-09-07,118.19
2003-09-08,132.18
2003-09-09,133.29
2003-09-10,141.56
2003-09-11,140.72
2003-09-12,193.68
2003-09-15,145.64
2003-09-16,145.36
2003-09-17,150.12
2003-09-18,150.69
2003-09-19,155.74
2003-09-22,161.17
2003-09-23,157.64
2003-09-24,159.53
2003-09-25,158.09
2003-09-26,157.94
2003-09-29,155.11
2003-09-30,149.97
2003-10-01,149.28
2003-10-02,153.87
2003-10-03,164.1
2003-10-04,118.94
2003-10-06,175.34
2003-10-07,119.29
2003-10-08,175.7
2003-10-09,141.56
2003-10-10,172.64
2003-10-11,179.46
2003-10-12,190.76
2003-10-13,175.3
2003-10-14,170.58
2003-10-15,175.01
2003-10-16,178.82
2003-10-17,174.87
2003-10-20,175.17
2003-10-21,175.62
2003-10-22,176.29
2003-10-23,172.16
2003-10-24,169.77
2003-10-27,165.77
2003-10-28,167.75
2003-10-29,
2003-10-30,169.16
2003-10-31,178.7
2003-11-02,
2003-11-03,184.09
2003-11-04,120.77
2003-11-05,186.84
2003-11-06,181.51
2003-11-07,119.04
2003-11-08,131.96
2003-11-09,140.72
2003-11-10,179.46
2003-11-11,177.4
2003-11-12,176.26
2003-11-13,182.28
2003-11-14,182.88
2003-11-17,182.38
2003-11-18,180.75
2003-11-19,180.83
2003-11-20,167.11
2003-11-21,
2003-11-24,
2003-11-25,
2003-11-26,
2003-11-27,
2003-11-28,
2003-12-01,179.13
2003-12-02,
2003-12-03,119.86
2003-12-04,189.18
2003-12-05,121.34
2003-12-06,119.37
2003-12-08,192.28
2003-12-09,193.68
2003-12-10,190.76
2003-12-11,189.01
2003-12-12,190.57
2003-12-15,199.71
2003-12-16,199.16
2003-12-17,197.55
2003-12-18,199.45
2003-12-19,205.3
2003-12-22,209.98
2003-12-23,210.55
2003-12-24,209.04
2003-12-25,205.72
2003-12-26,202.91
2003-12-29,205.59
2003-12-30,207.92
2003-12-31,211.88
2004-01-01,
2004-01-02,216.38
2004-01-03,216.07
2004-01-04,233.56
2004-01-05,222.31
2004-01-06,224.14
2004-01-07,210.54
2004-01-08,225.93
2004-01-09,224.84
2004-01-10,254.63
2004-01-11,268.18
2004-01-12,264.15
2004-01-13,223.5
2004-01-14,222.25
2004-01-15,214.26
2004-01-16,212.71
2004-01-19,204.63
2004-01-20,209.32
2004-01-21,213.62
2004-01-22,212.97
2004-01-23,
2004-01-26,209.5
2004-01-27,211.09
2004-01-28,203.0
2004-01-29,200.81
2004-01-30,197.04
2004-02-01,216.38
2004-02-02,
2004-02-03,217.55
2004-02-04,235.06
2004-02-05,196.55
2004-02-06,194.49
2004-02-07,214.32
2004-02-08,227.91
2004-02-09,241.03
2004-02-10,200.71
2004-02-11,204.71
2004-02-12,214.39
2004-02-13,219.36
2004-02-16,224.99
2004-02-17,220.41
2004-02-18,216.12
2004-02-19,218.22
2004-02-20,211.28
2004-02-23,211.2
2004-02-24,212.01
2004-02-25,213.13
2004-02-26,216.66
2004-02-27,215.33
2004-03-01,216.07
2004-03-02,217.55
2004-03-03,219.61
2004-03-04,219.46
2004-03-05,204.65
2004-03-06,196.05
2004-03-08,226.77
2004-03-09,226.0
2004-03-10,223.22
2004-03-11,222.69
2004-03-12,222.75
2004-03-15,222.86
2004-03-16,222.08
2004-03-17,221.48
2004-03-18,221.44
2004-03-19,224.98
2004-03-22,232.51
2004-03-23,230.59
2004-03-24,233.82
2004-03-25,232.06
2004-03-26,237.67
2004-03-29,241.48
2004-03-30,237.07
2004-03-31,230.83
2004-04-01,233.56
2004-04-02,
2004-04-03,219.46
2004-04-05,236.4
2004-04-06,234.02
2004-04-07,232.92
2004-04-08,222.99
2004-04-09,225.07
2004-04-10,253.96
2004-04-11,275.69
2004-04-12,221.98
2004-04-13,218.25
2004-04-14,220.91
2004-04-15,214.92
2004-04-16,218.38
2004-04-19,226.09
2004-04-20,227.56
2004-04-21,224.24
2004-04-22,223.25
2004-04-23,
2004-04-26,220.44
2004-04-27,206.91
2004-04-28,210.35
2004-04-29,204.85
2004-04-30,205.75
2004-05-01,222.31
2004-05-02,196.55
2004-05-03,217.46
2004-05-04,206.0
2004-05-05,209.75
2004-05-06,210.88
2004-05-07,200.99
2004-05-08,223.77
2004-05-10,255.53
2004-05-11,196.49
2004-05-12,199.16
2004-05-13,196.11
2004-05-14,191.6
2004-05-17,189.1
2004-05-18,186.17
2004-05-19,
2004-05-20,188.7
2004-05-21,190.23
2004-05-24,195.84
2004-05-25,196.9
2004-05-26,198.04
2004-05-27,197.73
2004-05-28,201.87
2004-05-31,198.38
