Tarih,TP_MK_ISL_HC
2000-05-15,292979.8
2000-05-16,263677.0
2000-05-17,353447.6
2000-05-18,330135.0
2000-05-19,
2000-05-22,310192.7
2000-05-23,316108.7
2000-05-24,357780.7
2000-05-25,527108.8
2000-05-26,337649.9
2000-05-29,374388.4
2000-05-30,280999.6
2000-05-31,378284.1
2000-06-01,542039.9
2000-06-02,599968.8
2000-06-03,404964.4
2000-06-04,656870.0
2000-06-05,404137.8
2000-06-06,399420.3
2000-06-07,268827.1
2000-06-08,381651.9
2000-06-09,435645.52
2000-06-10,642862.71
2000-06-11,490535.31
2000-06-12,293288.5
2000-06-13,316609.1
2000-06-14,431273.6
2000-06-15,416538.1
2000-06-16,296384.3
2000-06-19,282222.5
2000-06-20,296019.5
2000-06-21,254340.0
2000-06-22,246115.9
2000-06-23,267030.5
2000-06-26,264118.7
2000-06-27,250092.6
2000-06-28,277186.5
2000-06-29,282350.4
2000-06-30,169104.3
2000-07-01,329377.59
2000-07-02,661744.297
2000-07-03,499237.7
2000-07-04,549875.3
2000-07-05,375106.5
2000-07-06,343828.5
2000-07-07,248943.7
2000-07-08,204250.1
2000-07-09,516873.39
2000-07-10,322894.2
2000-07-11,585616.9
2000-07-12,622042.87
2000-07-13,289432.1
2000-07-14,182852.6
2000-07-17,238285.6
2000-07-18,233980.1
2000-07-19,408502.4
2000-07-20,336374.0
2000-07-21,419763.9
2000-07-24,409204.3
2000-07-25,293444.4
2000-07-26,304101.3
2000-07-27,278588.7
2000-07-28,315097.6
2000-07-31,257696.7
2000-08-01,247554.2
2000-08-02,422500.006
2000-08-03,225724.4
2000-08-04,322239.3
2000-08-05,317536.4
2000-08-06,381651.9
2000-08-07,204250.1
2000-08-08,220985.0
2000-08-09,219074.62
2000-08-10,225401.5
2000-08-11,583598.76
2000-08-12,514338.8
2000-08-14,352144.45
2000-08-15,316849.91
2000-08-16,234074.91
2000-08-17,220693.86
2000-08-18,302801.61
2000-08-21,286710.46
2000-08-22,360509.33
2000-08-23,388669.61
2000-08-24,309987.04
2000-08-25,323588.68
2000-08-28,224996.9
2000-08-29,352851.74
2000-08-30,
2000-08-31,403001.74
2000-09-01,265855.74
2000-09-02,413959.387
2000-09-03,920901.0
2000-09-04,263532.0
2000-09-05,480096.3
2000-09-06,435645.52
2000-09-07,516873.39
2000-09-08,219074.62
2000-09-10,437602.28
2000-09-11,415090.93
2000-09-12,449918.59
2000-09-13,427573.37
2000-09-14,345138.37
2000-09-15,263306.74
2000-09-18,259826.86
2000-09-19,239553.75
2000-09-20,387785.84
2000-09-21,486611.07
2000-09-22,314137.45
2000-09-25,351533.07
2000-09-26,320854.09
2000-09-27,255105.43
2000-09-28,268992.06
2000-09-29,183534.24
2000-10-01,
2000-10-02,519220.004
2000-10-03,263191.7
2000-10-04,354915.71
2000-10-05,441399.12
2000-10-06,642862.71
2000-10-07,322894.2
2000-10-08,225401.5
2000-10-09,437602.28
2000-10-10,684737.71
2000-10-11,759668.46
2000-10-12,631571.8
2000-10-13,530224.03
2000-10-16,707508.68
2000-10-17,511769.69
2000-10-18,664150.63
2000-10-19,469292.18
2000-10-20,619888.97
2000-10-23,316876.42
2000-10-24,409650.18
2000-10-25,475836.41
2000-10-26,342138.28
2000-10-27,373326.03
2000-10-30,320478.3
2000-10-31,417292.82
2000-11-01,767331.635
2000-11-02,521676.29
2000-11-03,832873.81
2000-11-04,365553.8
2000-11-05,445485.8
2000-11-06,490535.31
2000-11-07,363619.36
2000-11-08,583598.76
2000-11-09,415090.93
2000-11-10,759668.46
2000-11-12,361413.57
2000-11-13,286478.78
2000-11-14,530836.62
2000-11-15,432311.09
2000-11-16,284289.21
2000-11-17,299364.1
2000-11-20,275699.36
2000-11-21,327658.66
2000-11-22,545621.98
2000-11-23,310854.28
2000-11-24,264734.46
2000-11-27,270012.1
2000-11-28,354655.27
2000-11-29,658258.92
2000-11-30,453592.88
2000-12-01,806534.58
2000-12-04,1432146.8
2000-12-05,400499.49
2000-12-06,293288.5
2000-12-07,301638.7
2000-12-08,514338.8
2000-12-09,449918.59
2000-12-10,631571.8
2000-12-11,361413.57
2000-12-12,253350.03
2000-12-13,371063.19
2000-12-14,347953.45
2000-12-15,436548.71
2000-12-18,166625.01
2000-12-19,189051.42
2000-12-20,191541.5
2000-12-21,188044.84
2000-12-22,194125.0
2000-12-25,
2000-12-26,
2000-12-27,
2000-12-28,
2000-12-29,
2001-01-01,
2001-01-02,105586.72
2001-01-03,144811.54
2001-01-04,384101.26
2001-01-05,324213.31
2001-01-06,403674.26
2001-01-08,370224.4
2001-01-09,452933.53
2001-01-10,777101.04
2001-01-11,529650.71
2001-01-12,294973.61
2001-01-15,251428.81
2001-01-16,303144.22
2001-01-17,425883.65
2001-01-18,490599.77
2001-01-19,592680.48
2001-01-22,403942.86
2001-01-23,309469.13
2001-01-24,515018.16
2001-01-25,249420.14
2001-01-26,232776.9
2001-01-29,223111.49
2001-01-30,195287.15
2001-01-31,186746.8
2001-02-01,215159.48
2001-02-02,225175.68
2001-02-03,331790.75
2001-02-04,183492.54
2001-02-05,200468.96
2001-02-06,227418.45
2001-02-07,298574.77
2001-02-08,217748.8
2001-02-09,241966.5
2001-02-10,174991.75
2001-02-11,516228.59
2001-02-12,146277.98
2001-02-13,230708.38
2001-02-14,354121.5
2001-02-15,246663.17
2001-02-16,339765.57
2001-02-19,600276.45
2001-02-20,546053.64
2001-02-21,317328.04
2001-02-22,708060.36
2001-02-23,455345.16
2001-02-26,341913.94
2001-02-27,263630.59
2001-02-28,174865.5
2001-03-01,278228.65
2001-03-02,331790.75
2001-03-04,190730.49
2001-03-05,1064132.19
2001-03-06,
2001-03-07,216939.28
2001-03-08,185518.91
2001-03-09,
2001-03-10,175338.12
2001-03-12,224920.46
2001-03-13,281258.68
2001-03-14,290584.54
2001-03-15,233722.64
2001-03-16,301017.06
2001-03-19,221002.54
2001-03-20,272460.58
2001-03-21,268906.0
2001-03-22,216454.71
2001-03-23,119648.34
2001-03-26,120523.1
2001-03-27,144410.82
2001-03-28,160936.7
2001-03-29,180679.32
2001-03-30,328930.37
2001-04-01,384101.26
2001-04-02,183492.54
2001-04-03,190730.49
2001-04-04,269056.61
2001-04-05,1054928.56
2001-04-06,275401.8
2001-04-07,227558.59
2001-04-09,289769.78
2001-04-10,218457.02
2001-04-11,252721.04
2001-04-12,451979.02
2001-04-13,356600.16
2001-04-16,365905.19
2001-04-17,374654.98
2001-04-18,342802.53
2001-04-19,374892.34
2001-04-20,454425.67
2001-04-23,
2001-04-24,580676.18
2001-04-25,578637.74
2001-04-26,770856.67
2001-04-27,1104192.04
2001-04-30,969933.48
2001-05-01,788965.1
2001-05-02,505628.23
2001-05-03,
2001-05-04,1054928.56
2001-05-06,290328.78
2001-05-07,178066.21
2001-05-08,701767.32
2001-05-09,163528.62
2001-05-10,602298.3
2001-05-11,585106.08
2001-05-12,811129.1
2001-05-14,354040.34
2001-05-15,389824.72
2001-05-16,786478.93
2001-05-17,615081.86
2001-05-18,569910.63
2001-05-21,484073.46
2001-05-22,735590.57
2001-05-23,450309.48
2001-05-24,382864.47
2001-05-25,290848.99
2001-05-28,297851.0
2001-05-29,403234.44
2001-05-30,334999.76
2001-05-31,604497.31
2001-06-01,403674.26
2001-06-02,227418.45
2001-06-03,
2001-06-04,275401.8
2001-06-05,290328.78
2001-06-06,366886.28
2001-06-07,425940.92
2001-06-08,202082.13
2001-06-09,201203.96
2001-06-11,285698.8
2001-06-12,1042151.91
2001-06-13,279811.48
2001-06-14,338048.65
2001-06-15,440272.84
2001-06-18,407795.34
2001-06-19,302045.79
2001-06-20,229676.89
2001-06-21,265044.8
2001-06-22,187559.99
2001-06-25,161002.88
2001-06-26,309376.86
2001-06-27,303820.96
2001-06-28,274335.64
2001-06-29,236714.54
2001-07-02,231535.07
2001-07-03,216939.28
2001-07-04,227558.59
2001-07-05,540524.62
2001-07-06,425940.92
2001-07-08,197088.49
2001-07-09,254906.4
2001-07-10,329392.06
2001-07-11,556401.25
2001-07-12,620405.51
2001-07-13,391791.92
2001-07-16,258184.14
2001-07-17,231647.27
2001-07-18,515529.42
2001-07-19,413667.99
2001-07-20,400349.99
2001-07-23,328838.01
2001-07-24,445691.84
2001-07-25,315340.7
2001-07-26,321579.11
2001-07-27,240791.49
2001-07-30,182617.89
2001-07-31,177146.65
2001-08-01,360035.35
2001-08-02,305336.69
2001-08-03,185518.91
2001-08-05,701767.32
2001-08-06,557777.5
2001-08-07,197088.49
2001-08-08,146327.66
2001-08-09,181374.94
2001-08-10,216402.1
2001-08-11,376608.493
2001-08-13,148498.55
2001-08-14,153111.25
2001-08-15,237654.57
2001-08-16,244090.71
2001-08-17,402806.92
2001-08-20,133577.45
2001-08-21,308766.92
2001-08-22,199134.28
2001-08-23,238496.45
2001-08-24,500075.13
2001-08-27,406955.74
2001-08-28,333773.78
2001-08-29,279526.75
2001-08-30,
2001-08-31,152942.19
2001-09-01,452933.53
2001-09-02,241966.5
2001-09-03,
2001-09-04,289769.78
2001-09-05,406432.6
2001-09-06,201203.96
2001-09-07,310685.94
2001-09-08,181374.94
2001-09-10,330487.79
2001-09-11,266085.45
2001-09-12,
2001-09-13,223052.01
2001-09-14,168265.35
2001-09-17,261176.99
2001-09-18,244370.5
2001-09-19,182699.46
2001-09-20,151126.83
2001-09-21,174028.64
2001-09-24,128100.29
2001-09-25,186755.02
2001-09-26,105326.75
2001-09-27,124840.15
2001-09-28,140442.43
2001-10-01,175976.19
2001-10-02,174991.75
2001-10-03,175338.12
2001-10-04,210763.67
2001-10-05,182869.09
2001-10-07,329392.06
2001-10-08,151612.11
2001-10-09,330487.79
2001-10-10,287947.26
2001-10-11,553482.82
2001-10-12,583195.71
2001-10-15,346247.58
2001-10-16,444598.09
2001-10-17,461466.38
2001-10-18,483897.14
2001-10-19,308511.9
2001-10-22,473925.51
2001-10-23,664156.9
2001-10-24,497140.72
2001-10-25,287966.63
2001-10-26,535413.25
2001-10-29,
2001-10-30,457096.41
2001-10-31,378323.57
2001-11-01,529650.71
2001-11-02,516228.59
2001-11-04,252721.04
2001-11-05,452387.42
2001-11-06,623328.75
2001-11-07,387161.53
2001-11-08,376608.493
2001-11-09,266085.45
2001-11-10,553482.82
2001-11-12,301160.09
2001-11-13,412235.19
2001-11-14,526206.45
2001-11-15,818911.29
2001-11-16,782971.29
2001-11-19,1018273.8
2001-11-20,995231.6
2001-11-21,551644.85
2001-11-22,507461.07
2001-11-23,390931.13
2001-11-26,494940.33
2001-11-27,567782.07
2001-11-28,575180.28
2001-11-29,585888.93
2001-11-30,607044.09
2001-12-01,294973.61
2001-12-02,146277.98
2001-12-03,224920.46
2001-12-04,451979.02
2001-12-05,811129.1
2001-12-06,321007.74
2001-12-07,906594.96
2001-12-09,
2001-12-10,605155.2
2001-12-11,474488.88
2001-12-12,448623.3
2001-12-13,689999.71
2001-12-14,280753.74
2001-12-17,
2001-12-18,
2001-12-19,362930.95
2001-12-20,361020.09
2001-12-21,267703.29
2001-12-24,256647.46
2001-12-25,392725.36
2001-12-26,473120.51
2001-12-27,662251.56
2001-12-28,726154.85
2001-12-31,
2002-01-01,
2002-01-02,582646.83
2002-01-03,319396.26
2002-01-04,156439.89
2002-01-05,192456.33
2002-01-07,1154388.71
2002-01-08,593271.31
2002-01-09,884098.99
2002-01-10,800318.05
2002-01-11,538988.01
2002-01-14,580155.75
2002-01-15,425698.39
2002-01-16,464944.08
2002-01-17,549885.6
2002-01-18,479606.01
2002-01-21,334026.27
2002-01-22,361743.42
2002-01-23,439581.26
2002-01-24,417316.74
2002-01-25,248975.32
2002-01-28,280482.8
2002-01-29,341021.54
2002-01-30,423241.6
2002-01-31,610694.13
2002-02-01,638926.11
2002-02-04,314714.96
2002-02-05,404119.93
2002-02-06,383540.16
2002-02-07,425922.51
2002-02-08,859126.1
2002-02-09,123182.04
2002-02-10,188047.75
2002-02-11,335401.56
2002-02-12,431703.39
2002-02-13,385703.04
2002-02-14,272441.58
2002-02-15,310400.99
2002-02-18,182702.19
2002-02-19,252751.33
2002-02-20,257446.22
2002-02-21,77579.61
2002-02-22,
2002-02-25,
2002-02-26,227752.47
2002-02-27,190261.37
2002-02-28,263860.74
2002-03-01,692546.36
2002-03-04,411949.8
2002-03-05,312279.12
2002-03-06,210906.59
2002-03-07,434481.61
2002-03-08,227850.74
2002-03-09,220865.63
2002-03-10,138174.94
2002-03-11,235385.76
2002-03-12,366184.03
2002-03-13,274692.83
2002-03-14,224113.96
2002-03-15,249237.98
2002-03-18,159146.92
2002-03-19,156488.54
2002-03-20,437027.93
2002-03-21,563225.21
2002-03-22,798324.56
2002-03-25,568970.24
2002-03-26,508826.9
2002-03-27,447794.71
2002-03-28,688468.66
2002-03-29,226060.58
2002-04-01,
2002-04-02,319079.91
2002-04-03,458399.55
2002-04-04,509029.28
2002-04-05,478378.99
2002-04-06,164567.14
2002-04-07,195560.06
2002-04-08,626155.47
2002-04-09,198466.04
2002-04-10,184381.83
2002-04-11,1091426.01
2002-04-12,181229.8
2002-04-15,481707.48
2002-04-16,767927.1
2002-04-17,400648.18
2002-04-18,437159.09
2002-04-19,314426.45
2002-04-22,148660.35
2002-04-23,
2002-04-24,266597.44
2002-04-25,233697.58
2002-04-26,280513.25
2002-04-29,305369.12
2002-04-30,285271.81
2002-05-01,192456.33
2002-05-02,404119.93
2002-05-03,185995.24
2002-05-04,478378.99
2002-05-06,117777.41
2002-05-07,382968.68
2002-05-08,516846.88
2002-05-09,464177.75
2002-05-10,260964.79
2002-05-11,1707825.39
2002-05-12,
2002-05-13,167267.54
2002-05-14,234529.32
2002-05-15,235729.87
2002-05-16,321529.97
2002-05-17,401090.32
2002-05-20,203201.0
2002-05-21,209447.22
2002-05-22,179889.63
2002-05-23,154212.63
2002-05-24,178868.44
2002-05-27,219201.17
2002-05-28,246368.26
2002-05-29,140349.46
2002-05-30,237038.84
2002-05-31,207305.12
2002-06-02,383540.16
2002-06-03,210906.59
2002-06-04,164567.14
2002-06-05,152253.07
2002-06-06,217907.27
2002-06-07,213381.31
2002-06-08,346164.49
2002-06-09,258161.63
2002-06-10,133008.57
2002-06-11,1211572.01
2002-06-12,163859.48
2002-06-13,285889.58
2002-06-14,202802.36
2002-06-17,155153.93
2002-06-18,191871.34
2002-06-19,256495.1
2002-06-20,281120.97
2002-06-21,150441.12
2002-06-24,150324.67
2002-06-25,194113.28
2002-06-26,138748.44
2002-06-27,386941.41
2002-06-28,470665.39
2002-07-01,1154388.71
2002-07-02,202604.8
2002-07-03,434481.61
2002-07-04,195560.06
2002-07-05,268552.55
2002-07-06,213381.31
2002-07-08,373535.16
2002-07-09,304125.08
2002-07-10,113475.23
2002-07-11,2403423.2
2002-07-12,531722.39
2002-07-15,428784.83
2002-07-16,361509.79
2002-07-17,965172.04
2002-07-18,827438.44
2002-07-19,523499.86
2002-07-22,322534.64
2002-07-23,384772.02
2002-07-24,360610.59
2002-07-25,345987.46
2002-07-26,351725.69
2002-07-29,326038.54
2002-07-30,501633.46
2002-07-31,345524.15
2002-08-01,874371.7
2002-08-02,522799.14
2002-08-03,227850.74
2002-08-04,626155.47
2002-08-05,516846.88
2002-08-06,346164.49
2002-08-07,373535.16
2002-08-08,707491.85
2002-08-09,262314.05
2002-08-10,163680.21
2002-08-11,2609410.74
2002-08-12,244233.99
2002-08-13,216455.52
2002-08-14,260006.82
2002-08-15,409185.53
2002-08-16,282085.27
2002-08-19,204060.52
2002-08-20,220052.05
2002-08-21,228078.23
2002-08-22,266513.01
2002-08-23,201139.29
2002-08-26,168090.55
2002-08-27,170648.93
2002-08-28,184770.25
2002-08-29,350128.84
2002-08-30,
2002-09-01,884098.99
2002-09-02,123182.04
2002-09-03,220865.63
2002-09-04,198466.04
2002-09-05,186906.6
2002-09-06,258161.63
2002-09-07,304125.08
2002-09-08,262314.05
2002-09-09,222378.55
2002-09-10,312330.4
2002-09-11,260753.47
2002-09-12,248601.06
2002-09-13,172001.07
2002-09-16,111696.69
2002-09-17,155852.36
2002-09-18,196571.03
2002-09-19,171221.56
2002-09-20,162395.15
2002-09-23,189217.53
2002-09-24,199717.34
2002-09-25,181134.06
2002-09-26,156765.79
2002-09-27,145477.07
2002-09-30,125798.67
2002-10-01,245924.2
2002-10-02,188047.75
2002-10-03,138174.94
2002-10-04,606542.31
2002-10-05,260964.79
2002-10-06,133008.57
2002-10-07,113475.23
2002-10-08,163680.21
2002-10-09,312330.4
2002-10-10,397222.6
2002-10-11,326422.94
2002-10-12,457630.51
2002-10-14,193152.56
2002-10-15,193150.67
2002-10-16,258960.52
2002-10-17,555986.21
2002-10-18,595380.16
2002-10-21,694587.37
2002-10-22,653367.19
2002-10-23,340326.8
2002-10-24,607820.95
2002-10-25,438891.47
2002-10-28,280046.52
2002-10-29,
2002-10-30,483523.59
2002-10-31,493745.2
2002-11-01,212683.1
2002-11-02,335401.56
2002-11-03,235385.76
2002-11-04,1091426.01
2002-11-05,1707825.39
2002-11-06,1211572.01
2002-11-07,2403423.2
2002-11-08,2609410.74
2002-11-09,260753.47
2002-11-10,326422.94
2002-11-11,816706.54
2002-11-12,978361.95
2002-11-13,827261.69
2002-11-14,1678332.83
2002-11-15,1200445.96
2002-11-18,1585173.62
2002-11-19,960484.64
2002-11-20,746392.36
2002-11-21,1489348.56
2002-11-22,1275450.63
2002-11-25,742701.63
2002-11-26,665242.41
2002-11-27,906221.08
2002-11-28,703821.23
2002-11-29,749061.09
2002-12-02,431703.39
2002-12-03,297722.05
2002-12-04,181229.8
2002-12-05,
2002-12-06,
2002-12-07,531722.39
2002-12-08,244233.99
2002-12-09,391629.78
2002-12-10,457630.51
2002-12-11,978361.95
2002-12-12,622837.95
2002-12-13,691470.84
2002-12-16,670774.39
2002-12-17,674835.19
2002-12-18,643017.34
2002-12-19,555618.1
2002-12-20,368546.38
2002-12-23,399878.78
2002-12-24,520751.65
2002-12-25,466364.12
2002-12-26,566526.65
2002-12-27,444386.88
2002-12-30,203832.15
2002-12-31,192661.04
2003-01-01,
2003-01-02,381575.69
2003-01-03,385190.72
2003-01-04,251389.51
2003-01-05,561951.51
2003-01-06,274620.27
2003-01-07,339409.77
2003-01-08,200744.33
2003-01-09,350953.35
2003-01-10,406447.63
2003-01-12,774067.45
2003-01-13,298268.17
2003-01-14,396215.52
2003-01-15,258883.33
2003-01-16,243807.78
2003-01-17,226366.13
2003-01-20,296939.76
2003-01-21,301960.16
2003-01-22,291714.35
2003-01-23,362805.75
2003-01-24,306931.13
2003-01-27,477508.44
2003-01-28,391351.22
2003-01-29,327508.99
2003-01-30,522771.76
2003-01-31,361806.36
2003-02-01,381575.69
2003-02-03,347463.34
2003-02-04,424236.26
2003-02-05,270974.15
2003-02-06,613549.73
2003-02-07,191430.54
2003-02-09,324332.53
2003-02-10,
2003-02-11,
2003-02-12,
2003-02-13,
2003-02-14,
2003-02-17,359087.78
2003-02-18,719308.06
2003-02-19,754662.03
2003-02-20,917824.45
2003-02-21,567884.38
2003-02-24,599064.67
2003-02-25,336177.46
2003-02-26,498054.99
2003-02-27,367455.06
2003-02-28,322544.79
2003-03-01,385190.72
2003-03-02,347463.34
2003-03-03,457998.97
2003-03-04,486848.65
2003-03-05,738844.33
2003-03-06,375380.97
2003-03-07,208218.86
2003-03-09,236312.75
2003-03-10,296214.61
2003-03-11,1518343.16
2003-03-12,938823.04
2003-03-13,221331.14
2003-03-14,204835.66
2003-03-17,397917.44
2003-03-18,519651.31
2003-03-19,498874.3
2003-03-20,352929.81
2003-03-21,420669.54
2003-03-24,259370.49
2003-03-25,438835.27
2003-03-26,331149.96
2003-03-27,238584.38
2003-03-28,229928.64
2003-03-31,191439.05
2003-04-01,251389.51
2003-04-02,377047.06
2003-04-03,454154.07
2003-04-04,661186.2
2003-04-06,490329.96
2003-04-07,490757.71
2003-04-08,583297.8
2003-04-09,517301.92
2003-04-10,836737.79
2003-04-11,1324815.91
2003-04-12,1324906.6
2003-04-14,853480.69
2003-04-15,1244754.5
2003-04-16,848522.24
2003-04-17,761212.2
2003-04-18,424945.05
2003-04-21,765330.47
2003-04-22,686768.09
2003-04-23,
2003-04-24,684389.11
2003-04-25,609377.33
2003-04-28,513858.97
2003-04-29,413370.32
2003-04-30,654926.24
2003-05-01,561951.51
2003-05-02,270974.15
2003-05-03,738844.33
2003-05-05,354155.39
2003-05-06,351875.43
2003-05-07,471865.99
2003-05-08,1065516.62
2003-05-09,317745.44
2003-05-11,1214447.43
2003-05-12,408670.9
2003-05-13,478560.7
2003-05-14,321442.12
2003-05-15,338814.93
2003-05-16,233595.31
2003-05-19,
2003-05-20,303591.76
2003-05-21,580345.95
2003-05-22,475181.47
2003-05-23,787078.82
2003-05-26,859190.14
2003-05-27,547741.74
2003-05-28,989025.27
2003-05-29,966352.79
2003-05-30,575448.22
2003-06-01,274620.27
2003-06-02,613549.73
2003-06-03,375380.97
2003-06-04,490329.96
2003-06-05,478309.31
2003-06-06,415016.43
2003-06-08,653431.52
2003-06-09,299798.65
2003-06-10,2853478.32
2003-06-11,290063.7
2003-06-12,293046.3
2003-06-13,310744.58
2003-06-16,483851.103
2003-06-17,588710.972
2003-06-18,677885.752
2003-06-19,359950.376
2003-06-20,309645.275
2003-06-23,204948.37
2003-06-24,259760.929
2003-06-25,167281.3
2003-06-26,301659.53
2003-06-27,224092.92
2003-06-30,237994.26
2003-07-01,339409.77
2003-07-02,291957.25
2003-07-03,338544.48
2003-07-04,490757.71
2003-07-05,471865.99
2003-07-07,229131.48
2003-07-08,285691.52
2003-07-09,232019.04
2003-07-10,238573.6
2003-07-11,222504.83
2003-07-14,315582.85
2003-07-15,551888.62
2003-07-16,489324.76
2003-07-17,289899.8
2003-07-18,301876.56
2003-07-21,275145.3
2003-07-22,230507.91
2003-07-23,218000.37
2003-07-24,241308.63
2003-07-25,221223.66
2003-07-28,189837.33
2003-07-29,159022.46
2003-07-30,143001.71
2003-07-31,166323.19
2003-08-01,200744.33
2003-08-04,583297.8
2003-08-05,445123.78
2003-08-06,653431.52
2003-08-07,285691.52
2003-08-08,427977.64
2003-08-09,175360.08
2003-08-10,1494474.89
2003-08-11,376121.87
2003-08-12,1438650.58
2003-08-13,639460.42
2003-08-14,313201.76
2003-08-15,280657.75
2003-08-18,283003.32
2003-08-19,252527.68
2003-08-20,292817.53
2003-08-21,318182.7
2003-08-22,571789.21
2003-08-25,522150.13
2003-08-26,290400.23
2003-08-27,323999.67
2003-08-28,286826.2
2003-08-29,326482.58
2003-09-01,209424.46
2003-09-02,324332.53
2003-09-03,236312.75
2003-09-04,517301.92
2003-09-05,317745.44
2003-09-06,299798.65
2003-09-07,232019.04
2003-09-08,175360.08
2003-09-09,489988.39
2003-09-10,1228620.31
2003-09-11,724350.93
2003-09-12,1381723.42
2003-09-15,545044.94
2003-09-16,671344.73
2003-09-17,987878.27
2003-09-18,1195246.63
2003-09-19,1052103.08
2003-09-22,1395850.02
2003-09-23,933830.81
2003-09-24,791225.51
2003-09-25,821281.62
2003-09-26,502300.07
2003-09-29,535598.98
2003-09-30,579661.34
2003-10-01,585912.87
2003-10-02,955301.6
2003-10-03,1860501.2
2003-10-04,836737.79
2003-10-06,2853478.32
2003-10-07,238573.6
2003-10-08,1494474.89
2003-10-09,1228620.31
2003-10-10,1139057.82
2003-10-11,409439.13
2003-10-12,755422.75
2003-10-13,1187700.69
2003-10-14,1355316.34
2003-10-15,1009078.86
2003-10-16,1392316.69
2003-10-17,742739.96
2003-10-20,591889.9
2003-10-21,732902.06
2003-10-22,770732.84
2003-10-23,643848.54
2003-10-24,470998.74
2003-10-27,460204.88
2003-10-28,265686.08
2003-10-29,
2003-10-30,1124969.24
2003-10-31,1168765.93
2003-11-02,
2003-11-03,1518343.16
2003-11-04,467911.71
2003-11-05,1214447.43
2003-11-06,1117881.64
2003-11-07,222504.83
2003-11-08,376121.87
2003-11-09,724350.93
2003-11-10,409439.13
2003-11-11,877166.45
2003-11-12,933082.42
2003-11-13,1209125.65
2003-11-14,1082709.11
2003-11-17,846099.81
2003-11-18,590126.95
2003-11-19,625313.91
2003-11-20,470563.43
2003-11-21,
2003-11-24,
2003-11-25,
2003-11-26,
2003-11-27,
2003-11-28,
2003-12-01,774067.45
2003-12-02,
2003-12-03,224366.27
2003-12-04,1324906.6
2003-12-05,408670.9
2003-12-06,293046.3
2003-12-08,1438650.58
2003-12-09,1381723.42
2003-12-10,755422.75
2003-12-11,800101.48
2003-12-12,1695952.5
2003-12-15,1733150.37
2003-12-16,1046450.39
2003-12-17,756935.62
2003-12-18,1167463.65
2003-12-19,1665249.23
2003-12-22,1443950.96
2003-12-23,1381559.69
2003-12-24,912432.15
2003-12-25,1184585.08
2003-12-26,579841.21
2003-12-29,571812.51
2003-12-30,646774.23
2003-12-31,663320.85
2004-01-01,
2004-01-02,930206.13
2004-01-03,524647.6
2004-01-04,946800.13
2004-01-05,1435873.14
2004-01-06,1774942.51
2004-01-07,687077.56
2004-01-08,1213627.55
2004-01-09,1440611.11
2004-01-10,787353.52
2004-01-11,1091776.12
2004-01-12,701968.13
2004-01-13,914224.41
2004-01-14,1264983.29
2004-01-15,1013816.72
