Tarih,TP_MK_G_HIZMET
2001-04-25,68.64
2001-04-26,70.45
2001-04-27,79.25
2001-04-30,82.75
2001-05-01,79.8
2001-05-02,79.01
2001-05-03,
2001-05-04,83.83
2001-05-06,70.23
2001-05-07,70.33
2001-05-08,79.46
2001-05-09,58.5
2001-05-10,80.19
2001-05-11,73.61
2001-05-12,86.15
2001-05-14,76.36
2001-05-15,76.81
2001-05-16,77.67
2001-05-17,77.73
2001-05-18,76.48
2001-05-21,78.2
2001-05-22,80.21
2001-05-23,77.12
2001-05-24,74.88
2001-05-25,74.64
2001-05-28,73.93
2001-05-29,70.08
2001-05-30,69.24
2001-05-31,64.21
2001-06-01,69.58
2001-06-02,71.19
2001-06-03,
2001-06-04,60.78
2001-06-05,70.23
2001-06-06,68.85
2001-06-07,72.8
2001-06-08,60.67
2001-06-09,58.42
2001-06-11,72.32
2001-06-12,89.59
2001-06-13,71.67
2001-06-14,72.99
2001-06-15,74.43
2001-06-18,72.84
2001-06-19,70.15
2001-06-20,68.03
2001-06-21,67.85
2001-06-22,68.8
2001-06-25,69.0
2001-06-26,69.56
2001-06-27,71.11
2001-06-28,70.58
2001-06-29,71.13
2001-07-02,71.79
2001-07-03,69.66
2001-07-04,68.91
2001-07-05,81.43
2001-07-06,72.8
2001-07-08,57.74
2001-07-09,59.31
2001-07-10,62.9
2001-07-11,76.56
2001-07-12,57.11
2001-07-13,57.1
2001-07-16,54.21
2001-07-17,54.24
2001-07-18,55.25
2001-07-19,54.33
2001-07-20,56.64
2001-07-23,57.02
2001-07-24,60.9
2001-07-25,57.72
2001-07-26,56.1
2001-07-27,57.96
2001-07-30,58.43
2001-07-31,58.95
2001-08-01,60.2
2001-08-02,71.43
2001-08-03,59.52
2001-08-05,79.46
2001-08-06,72.68
2001-08-07,57.74
2001-08-08,56.61
2001-08-09,56.13
2001-08-10,55.2
2001-08-11,74.3
2001-08-13,53.95
2001-08-14,53.54
2001-08-15,52.92
2001-08-16,54.51
2001-08-17,56.48
2001-08-20,55.68
2001-08-21,57.81
2001-08-22,57.31
2001-08-23,57.35
2001-08-24,58.12
2001-08-27,61.32
2001-08-28,62.65
2001-08-29,60.79
2001-08-30,
2001-08-31,59.22
2001-09-01,82.4
2001-09-02,67.4
2001-09-03,
2001-09-04,60.72
2001-09-05,81.22
2001-09-06,58.42
2001-09-07,65.14
2001-09-08,56.13
2001-09-10,56.9
2001-09-11,57.18
2001-09-12,
2001-09-13,51.01
2001-09-14,47.35
2001-09-17,42.46
2001-09-18,46.39
2001-09-19,47.43
2001-09-20,46.68
2001-09-21,44.62
2001-09-24,45.21
2001-09-25,46.76
2001-09-26,46.66
2001-09-27,45.2
2001-09-28,46.78
2001-10-01,48.12
2001-10-02,48.2
2001-10-03,48.77
2001-10-04,50.01
2001-10-05,48.76
2001-10-07,62.9
2001-10-08,47.98
2001-10-09,56.9
2001-10-10,51.64
2001-10-11,56.89
2001-10-12,56.57
2001-10-15,58.91
2001-10-16,59.16
2001-10-17,62.17
2001-10-18,60.31
2001-10-19,59.63
2001-10-22,61.69
2001-10-23,66.66
2001-10-24,67.35
2001-10-25,65.99
2001-10-26,68.56
2001-10-29,
2001-10-30,67.93
2001-10-31,69.6
2001-11-01,91.2
2001-11-02,73.74
2001-11-04,59.46
2001-11-05,77.8
2001-11-06,74.6
2001-11-07,60.04
2001-11-08,74.3
2001-11-09,57.18
2001-11-10,56.89
2001-11-12,74.29
2001-11-13,76.15
2001-11-14,78.18
2001-11-15,79.35
2001-11-16,82.16
2001-11-19,83.52
2001-11-20,83.78
2001-11-21,80.96
2001-11-22,83.99
2001-11-23,82.57
2001-11-26,83.29
2001-11-27,84.64
2001-11-28,77.69
2001-11-29,79.32
2001-11-30,80.56
2001-12-01,86.61
2001-12-02,64.06
2001-12-03,68.91
2001-12-04,62.09
2001-12-05,86.15
2001-12-06,70.31
2001-12-07,93.53
2001-12-09,
2001-12-10,93.11
2001-12-11,90.72
2001-12-12,92.04
2001-12-13,95.09
2001-12-14,92.33
2001-12-17,
2001-12-18,
2001-12-19,92.53
2001-12-20,93.12
2001-12-21,92.46
2001-12-24,93.46
2001-12-25,94.64
2001-12-26,98.87
2001-12-27,99.85
2001-12-28,100.27
2001-12-31,
2002-01-01,
2002-01-02,99.76
2002-01-03,78.82
2002-01-04,76.88
2002-01-05,75.51
2002-01-07,104.66
2002-01-08,80.17
2002-01-09,101.86
2002-01-10,97.41
2002-01-11,95.98
2002-01-14,95.67
2002-01-15,91.82
2002-01-16,91.77
2002-01-17,91.97
2002-01-18,92.33
2002-01-21,89.56
2002-01-22,89.68
2002-01-23,91.61
2002-01-24,91.27
2002-01-25,89.7
2002-01-28,88.65
2002-01-29,87.64
2002-01-30,85.57
2002-01-31,89.37
2002-02-01,91.67
2002-02-04,92.41
2002-02-05,87.5
2002-02-06,84.51
2002-02-07,81.67
2002-02-08,82.48
2002-02-09,72.76
2002-02-10,70.44
2002-02-11,78.67
2002-02-12,78.41
2002-02-13,80.28
2002-02-14,79.69
2002-02-15,79.77
2002-02-18,76.42
2002-02-19,76.45
2002-02-20,77.12
2002-02-21,77.57
2002-02-22,
2002-02-25,
2002-02-26,77.14
2002-02-27,76.32
2002-02-28,75.71
2002-03-01,102.42
2002-03-04,82.09
2002-03-05,81.42
2002-03-06,79.98
2002-03-07,60.12
2002-03-08,80.84
2002-03-09,72.18
2002-03-10,69.26
2002-03-11,80.36
2002-03-12,92.25
2002-03-13,72.14
2002-03-14,70.96
2002-03-15,71.09
2002-03-18,70.43
2002-03-19,70.78
2002-03-20,71.13
2002-03-21,71.87
2002-03-22,75.3
2002-03-25,77.07
2002-03-26,79.36
2002-03-27,79.25
2002-03-28,81.57
2002-03-29,79.2
2002-04-01,
2002-04-02,78.29
2002-04-03,78.41
2002-04-04,77.03
2002-04-05,79.08
2002-04-06,67.6
2002-04-07,62.6
2002-04-08,78.85
2002-04-09,71.45
2002-04-10,69.09
2002-04-11,86.04
2002-04-12,93.55
2002-04-15,80.71
2002-04-16,81.45
2002-04-17,79.65
2002-04-18,80.03
2002-04-19,77.61
2002-04-22,77.35
2002-04-23,
2002-04-24,77.8
2002-04-25,78.65
2002-04-26,79.2
2002-04-29,77.72
2002-04-30,76.85
2002-05-01,75.51
2002-05-02,87.5
2002-05-03,74.55
2002-05-04,79.08
2002-05-06,69.79
2002-05-07,63.75
2002-05-08,81.53
2002-05-09,77.21
2002-05-10,75.79
2002-05-11,89.54
2002-05-12,
2002-05-13,75.1
2002-05-14,75.46
2002-05-15,74.42
2002-05-16,73.96
2002-05-17,72.87
2002-05-20,69.5
2002-05-21,70.34
2002-05-22,70.11
2002-05-23,70.08
2002-05-24,70.99
2002-05-27,71.79
2002-05-28,71.22
2002-05-29,70.1
2002-05-30,69.62
2002-05-31,67.37
2002-06-02,84.51
2002-06-03,79.98
2002-06-04,67.6
2002-06-05,73.7
2002-06-06,70.63
2002-06-07,68.38
2002-06-08,80.36
2002-06-09,72.69
2002-06-10,66.68
2002-06-11,91.69
2002-06-12,66.27
2002-06-13,68.02
2002-06-14,64.95
2002-06-17,64.21
2002-06-18,62.48
2002-06-19,62.91
2002-06-20,62.13
2002-06-21,59.59
2002-06-24,60.37
2002-06-25,60.96
2002-06-26,60.59
2002-06-27,63.16
2002-06-28,64.39
2002-07-01,104.66
2002-07-02,61.4
2002-07-03,60.12
2002-07-04,62.6
2002-07-05,74.85
2002-07-06,68.38
2002-07-08,81.28
2002-07-09,60.73
2002-07-10,68.15
2002-07-11,93.46
2002-07-12,66.28
2002-07-15,70.56
2002-07-16,70.85
2002-07-17,75.1
2002-07-18,77.57
2002-07-19,77.96
2002-07-22,75.57
2002-07-23,77.49
2002-07-24,74.75
2002-07-25,76.1
2002-07-26,74.42
2002-07-29,76.63
2002-07-30,80.3
2002-07-31,79.43
2002-08-01,107.37
2002-08-02,77.74
2002-08-03,80.84
2002-08-04,78.85
2002-08-05,81.53
2002-08-06,80.36
2002-08-07,81.28
2002-08-08,80.94
2002-08-09,81.14
2002-08-10,68.53
2002-08-11,95.64
2002-08-12,79.15
2002-08-13,79.08
2002-08-14,77.95
2002-08-15,75.78
2002-08-16,75.32
2002-08-19,75.09
2002-08-20,74.85
2002-08-21,73.75
2002-08-22,72.9
2002-08-23,73.36
2002-08-26,71.69
2002-08-27,73.15
2002-08-28,72.58
2002-08-29,74.17
2002-08-30,
2002-09-01,101.86
2002-09-02,72.76
2002-09-03,72.18
2002-09-04,71.45
2002-09-05,72.1
2002-09-06,72.69
2002-09-07,60.73
2002-09-08,81.14
2002-09-09,71.55
2002-09-10,69.32
2002-09-11,68.78
2002-09-12,71.09
2002-09-13,69.79
2002-09-16,69.65
2002-09-17,70.44
2002-09-18,71.22
2002-09-19,70.81
2002-09-20,71.35
2002-09-23,72.11
2002-09-24,70.53
2002-09-25,69.88
2002-09-26,69.7
2002-09-27,69.8
2002-09-30,69.29
2002-10-01,68.82
2002-10-02,70.44
2002-10-03,69.26
2002-10-04,77.17
2002-10-05,75.79
2002-10-06,66.68
2002-10-07,68.15
2002-10-08,68.53
2002-10-09,69.32
2002-10-10,70.66
2002-10-11,72.11
2002-10-12,91.16
2002-10-14,70.74
2002-10-15,70.81
2002-10-16,72.57
2002-10-17,75.34
2002-10-18,75.66
2002-10-21,78.36
2002-10-22,80.46
2002-10-23,79.29
2002-10-24,80.71
2002-10-25,81.86
2002-10-28,81.51
2002-10-29,
2002-10-30,79.15
2002-10-31,80.25
2002-11-01,78.5
2002-11-02,78.67
2002-11-03,80.36
2002-11-04,86.04
2002-11-05,89.54
2002-11-06,91.69
2002-11-07,93.46
2002-11-08,95.64
2002-11-09,68.78
2002-11-10,72.11
2002-11-11,91.64
2002-11-12,88.06
2002-11-13,86.2
2002-11-14,91.56
2002-11-15,87.96
2002-11-18,96.57
2002-11-19,93.06
2002-11-20,88.93
2002-11-21,92.06
2002-11-22,92.62
2002-11-25,88.75
2002-11-26,89.7
2002-11-27,87.43
2002-11-28,92.63
2002-11-29,92.89
2002-12-02,78.41
2002-12-03,74.7
2002-12-04,93.55
2002-12-05,
2002-12-06,
2002-12-07,66.28
2002-12-08,79.15
2002-12-09,91.01
2002-12-10,91.16
2002-12-11,88.06
2002-12-12,90.17
2002-12-13,90.78
2002-12-16,90.88
2002-12-17,85.91
2002-12-18,82.86
2002-12-19,82.06
2002-12-20,83.01
2002-12-23,80.19
2002-12-24,75.97
2002-12-25,78.54
2002-12-26,81.99
2002-12-27,79.05
2002-12-30,76.47
2002-12-31,76.33
2003-01-01,
2003-01-02,78.34
2003-01-03,78.1
2003-01-04,71.02
2003-01-05,81.66
2003-01-06,77.26
2003-01-07,73.62
2003-01-08,78.5
2003-01-09,74.29
2003-01-10,76.04
2003-01-12,98.71
2003-01-13,75.36
2003-01-14,77.34
2003-01-15,75.71
2003-01-16,75.79
2003-01-17,75.87
2003-01-20,75.24
2003-01-21,79.22
2003-01-22,77.94
2003-01-23,78.99
2003-01-24,79.3
2003-01-27,80.52
2003-01-28,79.27
2003-01-29,77.84
2003-01-30,79.49
2003-01-31,79.93
2003-02-01,78.34
2003-02-03,80.83
2003-02-04,72.79
2003-02-05,77.43
2003-02-06,83.52
2003-02-07,78.67
2003-02-09,83.38
2003-02-10,
2003-02-11,
2003-02-12,
2003-02-13,
2003-02-14,
2003-02-17,77.75
2003-02-18,80.91
2003-02-19,82.83
2003-02-20,82.32
2003-02-21,79.79
2003-02-24,80.96
2003-02-25,77.01
2003-02-26,78.27
2003-02-27,80.59
2003-02-28,79.86
2003-03-01,78.1
2003-03-02,80.83
2003-03-03,71.81
2003-03-04,73.5
2003-03-05,74.62
2003-03-06,75.03
2003-03-07,79.16
2003-03-09,82.15
2003-03-10,76.72
2003-03-11,97.05
2003-03-12,99.44
2003-03-13,74.95
2003-03-14,75.32
2003-03-17,69.55
2003-03-18,74.58
2003-03-19,70.21
2003-03-20,69.84
2003-03-21,67.22
2003-03-24,68.1
2003-03-25,68.23
2003-03-26,68.78
2003-03-27,69.81
2003-03-28,69.63
2003-03-31,70.49
2003-04-01,71.02
2003-04-02,79.25
2003-04-03,74.49
2003-04-04,77.3
2003-04-06,81.84
2003-04-07,78.77
2003-04-08,79.93
2003-04-09,77.12
2003-04-10,78.82
2003-04-11,98.08
2003-04-12,100.27
2003-04-14,81.78
2003-04-15,83.62
2003-04-16,82.81
2003-04-17,83.88
2003-04-18,82.91
2003-04-21,84.11
2003-04-22,82.99
2003-04-23,
2003-04-24,81.43
2003-04-25,81.44
2003-04-28,81.1
2003-04-29,80.57
2003-04-30,82.68
2003-05-01,81.66
2003-05-02,77.43
2003-05-03,74.62
2003-05-05,81.29
2003-05-06,80.84
2003-05-07,78.61
2003-05-08,81.39
2003-05-09,77.69
2003-05-11,99.66
2003-05-12,76.94
2003-05-13,76.54
2003-05-14,75.44
2003-05-15,74.45
2003-05-16,74.51
2003-05-19,
2003-05-20,74.88
2003-05-21,75.41
2003-05-22,75.94
2003-05-23,76.68
2003-05-26,78.24
2003-05-27,77.4
2003-05-28,79.14
2003-05-29,82.43
2003-05-30,81.83
2003-06-01,77.26
2003-06-02,83.52
2003-06-03,75.03
2003-06-04,81.84
2003-06-05,79.99
2003-06-06,80.22
2003-06-08,81.44
2003-06-09,77.24
2003-06-10,95.26
2003-06-11,75.16
2003-06-12,74.94
2003-06-13,75.46
2003-06-16,77.87
2003-06-17,80.16
2003-06-18,80.54
2003-06-19,79.59
2003-06-20,79.36
2003-06-23,77.93
2003-06-24,78.91
2003-06-25,78.34
2003-06-26,79.43
2003-06-27,80.47
2003-06-30,79.94
2003-07-01,73.62
2003-07-02,78.59
2003-07-03,76.53
2003-07-04,78.77
2003-07-05,78.61
2003-07-07,74.71
2003-07-08,74.81
2003-07-09,74.14
2003-07-10,74.44
2003-07-11,73.86
2003-07-14,74.74
2003-07-15,75.83
2003-07-16,75.77
2003-07-17,75.79
2003-07-18,76.19
2003-07-21,77.0
2003-07-22,76.58
2003-07-23,75.59
2003-07-24,75.55
2003-07-25,76.54
2003-07-28,77.53
2003-07-29,77.02
2003-07-30,77.55
2003-07-31,78.21
2003-08-01,78.5
2003-08-04,79.93
2003-08-05,79.19
2003-08-06,81.44
2003-08-07,74.81
2003-08-08,83.06
2003-08-09,80.37
2003-08-10,95.2
2003-08-11,82.9
2003-08-12,100.38
2003-08-13,85.75
2003-08-14,84.0
2003-08-15,83.39
2003-08-18,83.59
2003-08-19,81.42
2003-08-20,83.03
2003-08-21,82.89
2003-08-22,84.17
2003-08-25,83.68
2003-08-26,83.08
2003-08-27,82.35
2003-08-28,81.96
2003-08-29,83.11
2003-09-01,83.46
2003-09-02,83.38
2003-09-03,82.15
2003-09-04,77.12
2003-09-05,77.69
2003-09-06,77.24
2003-09-07,74.14
2003-09-08,80.37
2003-09-09,79.66
2003-09-10,81.91
2003-09-11,81.86
2003-09-12,100.65
2003-09-15,84.69
2003-09-16,85.08
2003-09-17,87.25
2003-09-18,87.06
2003-09-19,88.78
2003-09-22,92.14
2003-09-23,89.03
2003-09-24,88.95
2003-09-25,87.87
2003-09-26,87.49
2003-09-29,86.19
2003-09-30,84.35
2003-10-01,84.34
2003-10-02,86.6
2003-10-03,90.63
2003-10-04,78.82
2003-10-06,95.26
2003-10-07,74.44
2003-10-08,95.2
2003-10-09,81.91
2003-10-10,95.3
2003-10-11,96.54
2003-10-12,99.07
2003-10-13,95.02
2003-10-14,93.35
2003-10-15,94.6
2003-10-16,95.98
2003-10-17,95.82
2003-10-20,96.42
2003-10-21,95.86
2003-10-22,95.92
2003-10-23,94.07
2003-10-24,93.88
2003-10-27,91.59
2003-10-28,92.56
2003-10-29,
2003-10-30,92.56
2003-10-31,96.18
2003-11-02,
2003-11-03,97.05
2003-11-04,80.07
2003-11-05,99.66
2003-11-06,96.94
2003-11-07,73.86
2003-11-08,82.9
2003-11-09,81.86
2003-11-10,96.54
2003-11-11,96.21
2003-11-12,96.21
2003-11-13,98.16
2003-11-14,99.02
2003-11-17,100.44
2003-11-18,100.35
2003-11-19,99.36
2003-11-20,93.12
2003-11-21,
2003-11-24,
2003-11-25,
2003-11-26,
2003-11-27,
2003-11-28,
2003-12-01,98.71
2003-12-02,
2003-12-03,75.42
2003-12-04,100.27
2003-12-05,76.94
2003-12-06,74.94
2003-12-08,100.38
2003-12-09,100.65
2003-12-10,99.07
2003-12-11,98.52
2003-12-12,99.6
2003-12-15,102.32
2003-12-16,103.44
2003-12-17,103.78
2003-12-18,105.3
2003-12-19,107.56
2003-12-22,111.26
2003-12-23,113.27
2003-12-24,111.62
2003-12-25,110.17
2003-12-26,108.62
2003-12-29,109.96
2003-12-30,109.82
2003-12-31,111.56
2004-01-01,
2004-01-02,113.02
2004-01-03,116.12
2004-01-04,126.4
2004-01-05,114.82
2004-01-06,117.08
2004-01-07,117.88
2004-01-08,116.55
2004-01-09,117.43
2004-01-10,128.42
2004-01-11,151.67
2004-01-12,150.4
2004-01-13,116.67
2004-01-14,115.5
2004-01-15,113.77
2004-01-16,113.56
2004-01-19,109.73
2004-01-20,111.86
2004-01-21,113.63
2004-01-22,112.46
2004-01-23,
2004-01-26,111.89
2004-01-27,112.1
2004-01-28,108.0
2004-01-29,107.61
2004-01-30,106.77
2004-02-01,113.02
2004-02-02,
2004-02-03,116.82
2004-02-04,128.34
2004-02-05,106.22
2004-02-06,108.44
2004-02-07,119.77
2004-02-08,118.25
2004-02-09,117.38
2004-02-10,108.33
2004-02-11,109.19
2004-02-12,112.41
2004-02-13,113.23
2004-02-16,116.12
2004-02-17,116.83
2004-02-18,116.33
2004-02-19,118.42
2004-02-20,114.86
2004-02-23,114.03
2004-02-24,112.79
2004-02-25,114.47
2004-02-26,115.55
2004-02-27,115.54
2004-03-01,116.12
2004-03-02,116.82
2004-03-03,117.74
2004-03-04,117.27
2004-03-05,109.39
2004-03-06,110.05
2004-03-08,117.93
2004-03-09,119.27
2004-03-10,117.98
2004-03-11,118.34
2004-03-12,117.57
2004-03-15,118.6
2004-03-16,117.46
2004-03-17,117.31
2004-03-18,116.85
2004-03-19,119.32
2004-03-22,123.48
2004-03-23,122.83
2004-03-24,123.66
2004-03-25,122.72
2004-03-26,128.06
2004-03-29,129.28
2004-03-30,127.03
2004-03-31,125.18
2004-04-01,126.4
2004-04-02,
2004-04-03,117.27
2004-04-05,128.61
2004-04-06,126.9
2004-04-07,126.64
2004-04-08,123.13
2004-04-09,124.35
2004-04-10,129.51
2004-04-11,151.02
2004-04-12,122.07
2004-04-13,120.82
2004-04-14,121.4
2004-04-15,118.84
2004-04-16,120.23
2004-04-19,122.7
2004-04-20,122.86
2004-04-21,120.02
2004-04-22,118.47
2004-04-23,
2004-04-26,116.97
2004-04-27,109.06
2004-04-28,109.65
2004-04-29,107.73
2004-04-30,108.71
2004-05-01,114.82
2004-05-02,106.22
2004-05-03,117.23
2004-05-04,108.08
2004-05-05,108.83
2004-05-06,109.27
2004-05-07,106.22
2004-05-08,115.99
2004-05-10,130.06
2004-05-11,107.11
2004-05-12,108.61
2004-05-13,108.77
2004-05-14,107.19
2004-05-17,106.66
2004-05-18,105.11
2004-05-19,
2004-05-20,105.15
2004-05-21,106.33
2004-05-24,107.29
2004-05-25,109.51
2004-05-26,109.32
2004-05-27,108.4
2004-05-28,109.77
