Tarih,TP_TRYTAS_MT01,TP_TRYTAS_MT01
2019-01-18,2019-3,20.4
2019-01-25,2019-4,20.2
2019-02-01,2019-5,19.9
2019-02-08,2019-6,19.6
2019-02-15,2019-7,19.28
2019-02-22,2019-8,19.31
2019-03-01,2019-9,19.29
2019-03-08,2019-10,19.15
2019-03-15,2019-11,19.08
2019-03-22,2019-12,19.13
2019-03-29,2019-13,19.31
2019-04-05,2019-14,19.36
2019-04-12,2019-15,19.37
2019-04-19,2019-16,20.36
2019-04-26,2019-17,20.54
2019-05-03,2019-18,20.84
2019-05-10,2019-19,21.33
2019-05-17,2019-20,21.46
2019-05-24,2019-21,21.86
2019-05-31,2019-22,21.82
2019-06-07,2019-23,21.39
2019-06-14,2019-24,21.72
2019-06-21,2019-25,21.86
2019-06-28,2019-26,21.81
2019-07-05,2019-27,21.35
2019-07-12,2019-28,21.19
2019-07-19,2019-29,21.0
2019-07-26,2019-30,19.47
2019-08-02,2019-31,18.74
2019-08-09,2019-32,18.07
2019-08-16,2019-33,17.83
2019-08-23,2019-34,17.06
2019-08-30,2019-35,16.7
2019-09-06,2019-36,16.43
2019-09-13,2019-37,15.24
2019-09-20,2019-38,14.65
2019-09-27,2019-39,14.37
2019-10-04,2019-40,13.95
2019-10-11,2019-41,13.55
2019-10-18,2019-42,13.46
2019-10-25,2019-43,12.37
2019-11-01,2019-44,11.96
2019-11-08,2019-45,11.7
2019-11-15,2019-46,11.45
2019-11-22,2019-47,11.47
2019-11-29,2019-48,11.32
2019-12-06,2019-49,11.21
2019-12-13,2019-50,10.39
2019-12-20,2019-51,10.07
2019-12-27,2019-52,9.96
2020-01-03,2020-1,9.91
2020-01-10,2020-2,9.77
2020-01-17,2020-3,9.41
2020-01-24,2020-4,9.31
2020-01-31,2020-5,9.21
2020-02-07,2020-6,9.08
2020-02-14,2020-7,9.1
2020-02-21,2020-8,9.08
2020-02-28,2020-9,9.07
2020-03-06,2020-10,9.01
2020-03-13,2020-11,9.04
2020-03-20,2020-12,9.07
2020-03-27,2020-13,9.06
2020-04-03,2020-14,9.09
2020-04-10,2020-15,9.05
2020-04-17,2020-16,9.08
2020-04-24,2020-17,8.53
2020-05-01,2020-18,8.11
2020-05-08,2020-19,7.32
2020-05-15,2020-20,7.2
2020-05-22,2020-21,7.06
2020-05-29,2020-22,7.08
2020-06-05,2020-23,7.1
2020-06-12,2020-24,7.1
2020-06-19,2020-25,7.11
2020-06-26,2020-26,6.95
2020-07-03,2020-27,7.07
2020-07-10,2020-28,7.03
2020-07-17,2020-29,7.11
2020-07-24,2020-30,7.1
2020-07-31,2020-31,7.17
2020-08-07,2020-32,7.5
2020-08-14,2020-33,8.49
2020-08-21,2020-34,9.02
2020-08-28,2020-35,9.18
2020-09-04,2020-36,9.25
2020-09-11,2020-37,9.38
2020-09-18,2020-38,9.48
2020-09-25,2020-39,9.78
2020-10-02,2020-40,9.92
2020-10-09,2020-41,10.0
2020-10-16,2020-42,10.13
2020-10-23,2020-43,10.35
2020-10-30,2020-44,10.57
2020-11-06,2020-45,11.41
2020-11-13,2020-46,11.94
2020-11-20,2020-47,12.66
2020-11-27,2020-48,13.21
2020-12-04,2020-49,13.55
2020-12-11,2020-50,13.57
2020-12-18,2020-51,13.87
2020-12-25,2020-52,14.56
2021-01-01,2021-1,15.2
2021-01-08,2021-2,14.8
2021-01-15,2021-3,14.9
2021-01-22,2021-4,14.97
2021-01-29,2021-5,15.32
2021-02-05,2021-6,15.04
2021-02-12,2021-7,15.03
2021-02-19,2021-8,15.07
2021-02-26,2021-9,15.45
2021-03-05,2021-10,15.56
2021-03-12,2021-11,15.49
2021-03-19,2021-12,16.0
2021-03-26,2021-13,16.58
2021-04-02,2021-14,16.62
2021-04-09,2021-15,16.53
2021-04-16,2021-16,16.67
2021-04-23,2021-17,16.7
2021-04-30,2021-18,16.92
2021-05-07,2021-19,16.8
2021-05-14,2021-20,16.65
2021-05-21,2021-21,16.73
2021-05-28,2021-22,16.77
2021-06-04,2021-23,16.86
2021-06-11,2021-24,16.73
2021-06-18,2021-25,16.76
2021-06-25,2021-26,16.79
2021-07-02,2021-27,17.05
2021-07-09,2021-28,16.89
2021-07-16,2021-29,16.81
2021-07-23,2021-30,16.64
2021-07-30,2021-31,16.88
2021-08-06,2021-32,16.8
2021-08-13,2021-33,16.85
2021-08-20,2021-34,16.85
2021-08-27,2021-35,16.92
2021-09-03,2021-36,17.28
2021-09-10,2021-37,16.91
2021-09-17,2021-38,16.95
2021-09-24,2021-39,16.72
2021-10-01,2021-40,16.51
2021-10-08,2021-41,16.41
2021-10-15,2021-42,16.41
2021-10-22,2021-43,15.67
2021-10-29,2021-44,15.02
2021-11-05,2021-45,14.97
2021-11-12,2021-46,14.92
2021-11-19,2021-47,14.62
2021-11-26,2021-48,14.39
2021-12-03,2021-49,14.57
2021-12-10,2021-50,14.69
2021-12-17,2021-51,14.59
2021-12-24,2021-52,16.03
2021-12-31,2021-53,18.0
2022-01-07,2022-1,17.03
2022-01-14,2022-2,17.04
2022-01-21,2022-3,16.87
2022-01-28,2022-4,17.1
2022-02-04,2022-5,17.04
2022-02-11,2022-6,16.53
2022-02-18,2022-7,16.24
2022-02-25,2022-8,15.95
2022-03-04,2022-9,16.08
2022-03-11,2022-10,15.81
2022-03-18,2022-11,15.81
2022-03-25,2022-12,15.69
2022-04-01,2022-13,15.47
2022-04-08,2022-14,15.36
2022-04-15,2022-15,15.24
2022-04-22,2022-16,15.17
2022-04-29,2022-17,15.16
2022-05-06,2022-18,15.08
2022-05-13,2022-19,15.07
2022-05-20,2022-20,15.09
2022-05-27,2022-21,15.19
2022-06-03,2022-22,15.51
2022-06-10,2022-23,15.61
2022-06-17,2022-24,15.71
2022-06-24,2022-25,15.96
2022-07-01,2022-26,16.28
2022-07-08,2022-27,16.54
2022-07-15,2022-28,16.64
2022-07-22,2022-29,16.94
2022-07-29,2022-30,16.96
2022-08-05,2022-31,16.84
2022-08-12,2022-32,16.73
2022-08-19,2022-33,16.44
2022-08-26,2022-34,16.06
2022-09-02,2022-35,16.17
2022-09-09,2022-36,16.25
2022-09-16,2022-37,16.22
2022-09-23,2022-38,16.02
2022-09-30,2022-39,16.16
2022-10-07,2022-40,16.02
2022-10-14,2022-41,16.01
2022-10-21,2022-42,15.7
2022-10-28,2022-43,16.04
2022-11-04,2022-44,16.13
2022-11-11,2022-45,16.24
2022-11-18,2022-46,16.35
2022-11-25,2022-47,16.38
2022-12-02,2022-48,17.11
2022-12-09,2022-49,17.05
2022-12-16,2022-50,17.38
2022-12-23,2022-51,17.51
2022-12-30,2022-52,17.48
2023-01-06,2023-1,17.58
2023-01-13,2023-2,18.03
2023-01-20,2023-3,18.53
2023-01-27,2023-4,18.85
2023-02-03,2023-5,19.91
2023-02-10,2023-6,19.26
2023-02-17,2023-7,19.35
2023-02-24,2023-8,19.2
2023-03-03,2023-9,20.02
2023-03-10,2023-10,19.25
2023-03-17,2023-11,19.39
2023-03-24,2023-12,19.55
2023-03-31,2023-13,20.42
2023-04-07,2023-14,19.93
2023-04-14,2023-15,20.39
2023-04-21,2023-16,20.43
2023-04-28,2023-17,21.11
2023-05-05,2023-18,21.41
2023-05-12,2023-19,21.92
2023-05-19,2023-20,22.47
2023-05-26,2023-21,23.84
2023-06-02,2023-22,23.7
2023-06-09,2023-23,25.58
2023-06-16,2023-24,26.95
2023-06-23,2023-25,27.85
2023-06-30,2023-26,26.55
2023-07-07,2023-27,27.39
2023-07-14,2023-28,24.42
2023-07-21,2023-29,23.32
2023-07-28,2023-30,22.66
2023-08-04,2023-31,23.47
2023-08-11,2023-32,23.27
2023-08-18,2023-33,23.61
2023-08-25,2023-34,24.5
2023-09-01,2023-35,25.9
2023-09-08,2023-36,26.52
2023-09-15,2023-37,28.07
2023-09-22,2023-38,29.44
2023-09-29,2023-39,30.09
2023-10-06,2023-40,31.71
2023-10-13,2023-41,32.77
2023-10-20,2023-42,33.15
2023-10-27,2023-43,33.08
2023-11-03,2023-44,35.09
2023-11-10,2023-45,36.33
2023-11-17,2023-46,36.83
2023-11-24,2023-47,37.51
2023-12-01,2023-48,39.35
2023-12-08,2023-49,40.66
2023-12-15,2023-50,40.88
2023-12-22,2023-51,42.03
2023-12-29,2023-52,41.95
2024-01-05,2024-1,41.89
2024-01-12,2024-2,41.62
2024-01-19,2024-3,42.28
2024-01-26,2024-4,42.69
2024-02-02,2024-5,43.19
2024-02-09,2024-6,42.89
2024-02-16,2024-7,43.07
2024-02-23,2024-8,42.92
2024-03-01,2024-9,43.22
2024-03-08,2024-10,43.89
2024-03-15,2024-11,44.58
2024-03-22,2024-12,47.69
2024-03-29,2024-13,51.93
2024-04-05,2024-14,52.75
2024-04-12,2024-15,52.97
2024-04-19,2024-16,53.95
2024-04-26,2024-17,54.65
2024-05-03,2024-18,54.2
2024-05-10,2024-19,54.15
2024-05-17,2024-20,54.14
2024-05-24,2024-21,53.96
2024-05-31,2024-22,54.46
2024-06-07,2024-23,53.87
2024-06-14,2024-24,53.6
2024-06-21,2024-25,53.18
2024-06-28,2024-26,53.26
2024-07-05,2024-27,53.1
2024-07-12,2024-28,53.63
2024-07-19,2024-29,53.62
2024-07-26,2024-30,53.11
2024-08-02,2024-31,52.88
2024-08-09,2024-32,52.73
2024-08-16,2024-33,52.89
2024-08-23,2024-34,53.29
2024-08-30,2024-35,54.39
2024-09-06,2024-36,53.46
2024-09-13,2024-37,53.57
2024-09-20,2024-38,53.64
2024-09-27,2024-39,54.03
2024-10-04,2024-40,54.07
2024-10-11,2024-41,54.18
2024-10-18,2024-42,53.81
2024-10-25,2024-43,53.78
2024-11-01,2024-44,53.43
2024-11-08,2024-45,53.23
2024-11-15,2024-46,53.24
2024-11-22,2024-47,53.31
2024-11-29,2024-48,53.36
2024-12-06,2024-49,53.44
2024-12-13,2024-50,53.87
2024-12-20,2024-51,53.84
2024-12-27,2024-52,53.49
2025-01-03,2025-1,52.83
2025-01-10,2025-2,52.46
2025-01-17,2025-3,52.25
2025-01-24,2025-4,51.41
2025-01-31,2025-5,50.7
2025-02-07,2025-6,49.79
2025-02-14,2025-7,49.46
2025-02-21,2025-8,49.0
2025-02-28,2025-9,48.81
2025-03-07,2025-10,47.44
2025-03-14,2025-11,47.11
2025-03-21,2025-12,47.1
2025-03-28,2025-13,49.11
2025-04-04,2025-14,49.24
2025-04-11,2025-15,49.8
2025-04-18,2025-16,51.17
2025-04-25,2025-17,52.18
2025-05-02,2025-18,53.94
2025-05-09,2025-19,54.52
2025-05-16,2025-20,55.13
2025-05-23,2025-21,55.32
2025-05-30,2025-22,55.5
2025-06-06,2025-23,55.47
2025-06-13,2025-24,55.58
2025-06-20,2025-25,55.63
2025-06-27,2025-26,55.62
2025-07-04,2025-27,55.66
2025-07-11,2025-28,55.02
2025-07-18,2025-29,54.51
2025-07-25,2025-30,52.59
2025-08-01,2025-31,52.0
2025-08-08,2025-32,51.5
2025-08-15,2025-33,51.31
2025-08-22,2025-34,51.05
2025-08-29,2025-35,51.1
2025-09-05,2025-36,50.73
2025-09-12,2025-37,50.25
2025-09-19,2025-38,50.02
2025-09-26,2025-39,50.53
2025-10-03,2025-40,50.17
2025-10-10,2025-41,49.99
