Tarih,TP_TRYTIC_MT04,TP_TRYTIC_MT04
2019-01-18,2019-3,20.28
2019-01-25,2019-4,21.24
2019-02-01,2019-5,21.73
2019-02-08,2019-6,20.53
2019-02-15,2019-7,20.38
2019-02-22,2019-8,20.83
2019-03-01,2019-9,19.92
2019-03-08,2019-10,20.45
2019-03-15,2019-11,21.12
2019-03-22,2019-12,20.5
2019-03-29,2019-13,21.03
2019-04-05,2019-14,17.03
2019-04-12,2019-15,19.42
2019-04-19,2019-16,18.55
2019-04-26,2019-17,18.19
2019-05-03,2019-18,22.38
2019-05-10,2019-19,20.47
2019-05-17,2019-20,21.3
2019-05-24,2019-21,21.32
2019-05-31,2019-22,22.54
2019-06-07,2019-23,20.23
2019-06-14,2019-24,23.39
2019-06-21,2019-25,24.58
2019-06-28,2019-26,23.9
2019-07-05,2019-27,21.98
2019-07-12,2019-28,21.84
2019-07-19,2019-29,21.16
2019-07-26,2019-30,19.41
2019-08-02,2019-31,17.86
2019-08-09,2019-32,16.85
2019-08-16,2019-33,16.52
2019-08-23,2019-34,16.56
2019-08-30,2019-35,14.18
2019-09-06,2019-36,14.93
2019-09-13,2019-37,15.26
2019-09-20,2019-38,14.32
2019-09-27,2019-39,14.31
2019-10-04,2019-40,13.04
2019-10-11,2019-41,13.23
2019-10-18,2019-42,12.02
2019-10-25,2019-43,12.28
2019-11-01,2019-44,11.84
2019-11-08,2019-45,11.8
2019-11-15,2019-46,11.0
2019-11-22,2019-47,11.19
2019-11-29,2019-48,11.61
2019-12-06,2019-49,10.81
2019-12-13,2019-50,11.11
2019-12-20,2019-51,10.2
2019-12-27,2019-52,10.17
2020-01-03,2020-1,9.86
2020-01-10,2020-2,10.48
2020-01-17,2020-3,10.18
2020-01-24,2020-4,10.0
2020-01-31,2020-5,9.29
2020-02-07,2020-6,9.47
2020-02-14,2020-7,10.32
2020-02-21,2020-8,8.8
2020-02-28,2020-9,9.68
2020-03-06,2020-10,8.95
2020-03-13,2020-11,10.47
2020-03-20,2020-12,8.69
2020-03-27,2020-13,9.24
2020-04-03,2020-14,8.87
2020-04-10,2020-15,9.84
2020-04-17,2020-16,6.97
2020-04-24,2020-17,8.9
2020-05-01,2020-18,8.6
2020-05-08,2020-19,8.79
2020-05-15,2020-20,8.75
2020-05-22,2020-21,8.18
2020-05-29,2020-22,7.33
2020-06-05,2020-23,7.75
2020-06-12,2020-24,7.2
2020-06-19,2020-25,8.08
2020-06-26,2020-26,8.36
2020-07-03,2020-27,7.41
2020-07-10,2020-28,6.37
2020-07-17,2020-29,7.9
2020-07-24,2020-30,7.88
2020-07-31,2020-31,7.58
2020-08-07,2020-32,9.56
2020-08-14,2020-33,7.48
2020-08-21,2020-34,7.61
2020-08-28,2020-35,8.34
2020-09-04,2020-36,7.85
2020-09-11,2020-37,11.34
2020-09-18,2020-38,10.62
2020-09-25,2020-39,9.82
2020-10-02,2020-40,11.5
2020-10-09,2020-41,9.76
2020-10-16,2020-42,12.97
2020-10-23,2020-43,10.23
2020-10-30,2020-44,12.86
2020-11-06,2020-45,10.69
2020-11-13,2020-46,13.8
2020-11-20,2020-47,15.17
2020-11-27,2020-48,12.7
2020-12-04,2020-49,15.9
2020-12-11,2020-50,15.41
2020-12-18,2020-51,15.47
2020-12-25,2020-52,15.63
2021-01-01,2021-1,15.29
2021-01-08,2021-2,18.42
2021-01-15,2021-3,18.41
2021-01-22,2021-4,17.18
2021-01-29,2021-5,16.98
2021-02-05,2021-6,17.29
2021-02-12,2021-7,18.01
2021-02-19,2021-8,17.44
2021-02-26,2021-9,16.94
2021-03-05,2021-10,18.14
2021-03-12,2021-11,17.67
2021-03-19,2021-12,17.42
2021-03-26,2021-13,19.23
2021-04-02,2021-14,19.7
2021-04-09,2021-15,18.64
2021-04-16,2021-16,19.39
2021-04-23,2021-17,18.95
2021-04-30,2021-18,18.85
2021-05-07,2021-19,17.07
2021-05-14,2021-20,17.02
2021-05-21,2021-21,18.37
2021-05-28,2021-22,19.78
2021-06-04,2021-23,18.01
2021-06-11,2021-24,18.56
2021-06-18,2021-25,19.66
2021-06-25,2021-26,19.81
2021-07-02,2021-27,18.18
2021-07-09,2021-28,18.53
2021-07-16,2021-29,19.77
2021-07-23,2021-30,17.3
2021-07-30,2021-31,19.04
2021-08-06,2021-32,17.41
2021-08-13,2021-33,19.08
2021-08-20,2021-34,18.23
2021-08-27,2021-35,18.19
2021-09-03,2021-36,19.41
2021-09-10,2021-37,19.37
2021-09-17,2021-38,19.72
2021-09-24,2021-39,19.56
2021-10-01,2021-40,17.67
2021-10-08,2021-41,18.08
2021-10-15,2021-42,16.71
2021-10-22,2021-43,16.72
2021-10-29,2021-44,9.68
2021-11-05,2021-45,17.14
2021-11-12,2021-46,15.28
2021-11-19,2021-47,14.65
2021-11-26,2021-48,12.38
2021-12-03,2021-49,16.85
2021-12-10,2021-50,13.93
2021-12-17,2021-51,15.22
2021-12-24,2021-52,19.19
2021-12-31,2021-53,23.85
2022-01-07,2022-1,19.71
2022-01-14,2022-2,19.35
2022-01-21,2022-3,19.9
2022-01-28,2022-4,20.71
2022-02-04,2022-5,20.31
2022-02-11,2022-6,17.78
2022-02-18,2022-7,17.68
2022-02-25,2022-8,17.68
2022-03-04,2022-9,17.21
2022-03-11,2022-10,17.6
2022-03-18,2022-11,18.44
2022-03-25,2022-12,18.26
2022-04-01,2022-13,17.72
2022-04-08,2022-14,17.57
2022-04-15,2022-15,17.4
2022-04-22,2022-16,17.71
2022-04-29,2022-17,16.68
2022-05-06,2022-18,16.24
2022-05-13,2022-19,17.56
2022-05-20,2022-20,16.82
2022-05-27,2022-21,17.63
2022-06-03,2022-22,17.42
2022-06-10,2022-23,17.12
2022-06-17,2022-24,18.1
2022-06-24,2022-25,15.41
2022-07-01,2022-26,17.72
2022-07-08,2022-27,17.38
2022-07-15,2022-28,17.09
2022-07-22,2022-29,17.52
2022-07-29,2022-30,17.61
2022-08-05,2022-31,17.39
2022-08-12,2022-32,17.83
2022-08-19,2022-33,17.59
2022-08-26,2022-34,16.62
2022-09-02,2022-35,16.3
2022-09-09,2022-36,16.5
2022-09-16,2022-37,15.9
2022-09-23,2022-38,16.09
2022-09-30,2022-39,14.91
2022-10-07,2022-40,15.6
2022-10-14,2022-41,15.84
2022-10-21,2022-42,14.76
2022-10-28,2022-43,13.96
2022-11-04,2022-44,13.88
2022-11-11,2022-45,13.24
2022-11-18,2022-46,13.62
2022-11-25,2022-47,15.74
2022-12-02,2022-48,13.49
2022-12-09,2022-49,12.33
2022-12-16,2022-50,14.22
2022-12-23,2022-51,13.88
2022-12-30,2022-52,19.99
2023-01-06,2023-1,17.35
2023-01-13,2023-2,12.83
2023-01-20,2023-3,14.09
2023-01-27,2023-4,13.56
2023-02-03,2023-5,13.45
2023-02-10,2023-6,10.79
2023-02-17,2023-7,12.54
2023-02-24,2023-8,12.58
2023-03-03,2023-9,11.84
2023-03-10,2023-10,11.78
2023-03-17,2023-11,12.26
2023-03-24,2023-12,12.78
2023-03-31,2023-13,13.18
2023-04-07,2023-14,17.54
2023-04-14,2023-15,14.89
2023-04-21,2023-16,10.67
2023-04-28,2023-17,10.35
2023-05-05,2023-18,10.59
2023-05-12,2023-19,12.34
2023-05-19,2023-20,9.4
2023-05-26,2023-21,13.73
2023-06-02,2023-22,33.43
2023-06-09,2023-23,14.09
2023-06-16,2023-24,18.11
2023-06-23,2023-25,18.39
2023-06-30,2023-26,18.39
2023-07-07,2023-27,18.11
2023-07-14,2023-28,16.57
2023-07-21,2023-29,16.88
2023-07-28,2023-30,19.26
2023-08-04,2023-31,21.28
2023-08-11,2023-32,18.82
2023-08-18,2023-33,20.95
2023-08-25,2023-34,19.07
2023-09-01,2023-35,31.22
2023-09-08,2023-36,33.92
2023-09-15,2023-37,29.63
2023-09-22,2023-38,29.93
2023-09-29,2023-39,38.07
2023-10-06,2023-40,33.11
2023-10-13,2023-41,35.9
2023-10-20,2023-42,35.37
2023-10-27,2023-43,35.19
2023-11-03,2023-44,40.21
2023-11-10,2023-45,42.91
2023-11-17,2023-46,39.73
2023-11-24,2023-47,40.73
2023-12-01,2023-48,46.79
2023-12-08,2023-49,41.5
2023-12-15,2023-50,39.71
2023-12-22,2023-51,40.48
2023-12-29,2023-52,43.67
2024-01-05,2024-1,42.46
2024-01-12,2024-2,44.14
2024-01-19,2024-3,42.16
2024-01-26,2024-4,41.77
2024-02-02,2024-5,44.49
2024-02-09,2024-6,42.79
2024-02-16,2024-7,42.38
2024-02-23,2024-8,47.41
2024-03-01,2024-9,40.96
2024-03-08,2024-10,44.44
2024-03-15,2024-11,44.41
2024-03-22,2024-12,42.35
2024-03-29,2024-13,52.1
2024-04-05,2024-14,46.31
2024-04-12,2024-15,51.74
2024-04-19,2024-16,46.85
2024-04-26,2024-17,51.15
2024-05-03,2024-18,50.57
2024-05-10,2024-19,49.77
2024-05-17,2024-20,49.35
2024-05-24,2024-21,51.57
2024-05-31,2024-22,45.9
2024-06-07,2024-23,53.19
2024-06-14,2024-24,51.94
2024-06-21,2024-25,46.19
2024-06-28,2024-26,46.52
2024-07-05,2024-27,56.19
2024-07-12,2024-28,54.07
2024-07-19,2024-29,50.52
2024-07-26,2024-30,56.76
2024-08-02,2024-31,54.88
2024-08-09,2024-32,56.03
2024-08-16,2024-33,53.91
2024-08-23,2024-34,51.61
2024-08-30,2024-35,54.86
2024-09-06,2024-36,53.95
2024-09-13,2024-37,55.11
2024-09-20,2024-38,58.89
2024-09-27,2024-39,52.37
2024-10-04,2024-40,49.9
2024-10-11,2024-41,48.72
2024-10-18,2024-42,47.74
2024-10-25,2024-43,56.21
2024-11-01,2024-44,54.44
2024-11-08,2024-45,54.88
2024-11-15,2024-46,50.31
2024-11-22,2024-47,52.12
2024-11-29,2024-48,47.97
2024-12-06,2024-49,46.14
2024-12-13,2024-50,52.06
2024-12-20,2024-51,50.61
2024-12-27,2024-52,49.8
2025-01-03,2025-1,48.3
2025-01-10,2025-2,46.38
2025-01-17,2025-3,46.08
2025-01-24,2025-4,47.34
2025-01-31,2025-5,46.05
2025-02-07,2025-6,45.76
2025-02-14,2025-7,46.49
2025-02-21,2025-8,45.48
2025-02-28,2025-9,46.21
2025-03-07,2025-10,44.91
2025-03-14,2025-11,44.29
2025-03-21,2025-12,45.48
2025-03-28,2025-13,42.95
2025-04-04,2025-14,47.13
2025-04-11,2025-15,48.5
2025-04-18,2025-16,52.71
2025-04-25,2025-17,51.01
2025-05-02,2025-18,55.04
2025-05-09,2025-19,53.32
2025-05-16,2025-20,54.32
2025-05-23,2025-21,51.16
2025-05-30,2025-22,52.71
2025-06-06,2025-23,50.96
2025-06-13,2025-24,50.42
2025-06-20,2025-25,50.95
2025-06-27,2025-26,49.89
2025-07-04,2025-27,48.52
2025-07-11,2025-28,49.05
2025-07-18,2025-29,48.3
2025-07-25,2025-30,47.21
2025-08-01,2025-31,45.96
2025-08-08,2025-32,46.72
2025-08-15,2025-33,46.36
2025-08-22,2025-34,45.41
2025-08-29,2025-35,44.97
2025-09-05,2025-36,43.52
2025-09-12,2025-37,43.88
2025-09-19,2025-38,44.04
2025-09-26,2025-39,43.32
2025-10-03,2025-40,43.71
2025-10-10,2025-41,42.74
