Tarih,TP_EVDSSTATS_KAYITLI
2018-05-01,2281.0
2018-06-01,2595.0
2018-07-01,2978.0
2018-08-01,3523.0
2018-09-01,3996.0
2018-10-01,4618.0
2018-11-01,5067.0
2018-12-01,5500.0
2019-01-01,5870.0
2019-02-01,6268.0
2019-03-01,6827.0
2019-04-01,7557.0
2019-05-01,8152.0
2019-06-01,8498.0
2019-07-01,9099.0
2019-08-01,9504.0
2019-09-01,9922.0
2019-10-01,10446.0
2019-11-01,11150.0
2019-12-01,11892.0
2020-01-01,12302.0
2020-02-01,12789.0
2020-03-01,13273.0
2020-04-01,13958.0
2020-05-01,14789.0
2020-06-01,15339.0
2020-07-01,15692.0
2020-08-01,16173.0
2020-09-01,16574.0
2020-10-01,17092.0
2020-11-01,17725.0
2020-12-01,18278.0
2021-01-01,18828.0
2021-02-01,19241.0
2021-03-01,19779.0
2021-04-01,20472.0
2021-05-01,20911.0
2021-06-01,21300.0
2021-07-01,21553.0
2021-08-01,21832.0
2021-09-01,22137.0
2021-10-01,22637.0
2021-11-01,23346.0
2021-12-01,24291.0
2022-01-01,24844.0
2022-02-01,25296.0
2022-03-01,25770.0
2022-04-01,26244.0
2022-05-01,26707.0
2022-06-01,27170.0
2022-07-01,27540.0
2022-08-01,27974.0
2022-09-01,28378.0
2022-10-01,28952.0
2022-11-01,29424.0
2022-12-01,29942.0
2023-01-01,30519.0
2023-02-01,30845.0
2023-03-01,31419.0
2023-04-01,32029.0
2023-05-01,32626.0
2023-06-01,33168.0
2023-07-01,33585.0
2023-08-01,34047.0
2023-09-01,34388.0
2023-10-01,34949.0
2023-11-01,35498.0
2023-12-01,36011.0
2024-01-01,36508.0
2024-02-01,36968.0
2024-03-01,37533.0
2024-04-01,38008.0
2024-05-01,38730.0
2024-06-01,38977.0
2024-07-01,36999.0
2024-08-01,37253.0
2024-09-01,37528.0
2024-10-01,37793.0
2024-11-01,38098.0
2024-12-01,38450.0
2025-01-01,38821.0
2025-02-01,39179.0
2025-03-01,39741.0
2025-04-01,40409.0
2025-05-01,41084.0
2025-06-01,41557.0
2025-07-01,42150.0
2025-08-01,42755.0
2025-09-01,43287.0
