Tarih,TP_KAVRAMSAL_HAMM1_INDX,TP_KAVRAMSAL_HAMM1_INDX
2017-10-13,2017-41,685.41
2017-10-20,2017-42,691.5
2017-10-27,2017-43,694.21
2017-11-03,2017-44,685.96
2017-11-10,2017-45,689.61
2017-11-17,2017-46,700.45
2017-11-24,2017-47,705.95
2017-12-01,2017-48,697.13
2017-12-08,2017-49,689.27
2017-12-15,2017-50,703.36
2017-12-22,2017-51,708.17
2017-12-29,2017-52,725.95
2018-01-05,2018-1,681.19
2018-01-12,2018-2,686.45
2018-01-19,2018-3,696.72
2018-01-26,2018-4,691.4
2018-02-02,2018-5,682.57
2018-02-09,2018-6,684.5
2018-02-16,2018-7,699.44
2018-02-23,2018-8,700.24
2018-03-02,2018-9,695.07
2018-03-09,2018-10,697.74
2018-03-16,2018-11,719.05
2018-03-23,2018-12,721.95
2018-03-30,2018-13,729.13
2018-04-06,2018-14,714.76
2018-04-13,2018-15,730.76
2018-04-20,2018-16,741.68
2018-04-27,2018-17,747.74
2018-05-04,2018-18,737.67
2018-05-11,2018-19,751.11
2018-05-18,2018-20,771.44
2018-05-25,2018-21,801.47
2018-06-01,2018-22,786.95
2018-06-08,2018-23,823.81
2018-06-15,2018-24,866.08
2018-06-22,2018-25,834.66
2018-06-29,2018-26,829.46
2018-07-06,2018-27,806.36
2018-07-13,2018-28,815.81
2018-07-20,2018-29,824.62
2018-07-27,2018-30,822.83
2018-08-03,2018-31,826.5
2018-08-10,2018-32,867.56
2018-08-17,2018-33,945.79
2018-08-24,2018-34,949.35
2018-08-31,2018-35,949.7
2018-09-07,2018-36,931.31
2018-09-14,2018-37,925.72
2018-09-21,2018-38,917.32
2018-09-28,2018-39,902.83
2018-10-05,2018-40,868.22
2018-10-12,2018-41,863.3
2018-10-19,2018-42,846.31
2018-10-26,2018-43,844.42
2018-11-02,2018-44,821.41
2018-11-09,2018-45,814.09
2018-11-16,2018-46,822.44
2018-11-23,2018-47,806.26
2018-11-30,2018-48,788.0
2018-12-07,2018-49,792.02
2018-12-14,2018-50,801.45
2018-12-21,2018-51,817.76
2018-12-28,2018-52,827.49
2019-01-04,2019-1,791.15
2019-01-11,2019-2,793.22
2019-01-18,2019-3,805.11
2019-01-25,2019-4,816.82
2019-02-01,2019-5,813.54
2019-02-08,2019-6,809.02
2019-02-15,2019-7,833.38
2019-02-22,2019-8,835.25
2019-03-01,2019-9,836.02
2019-03-08,2019-10,839.41
2019-03-15,2019-11,874.7
2019-03-22,2019-12,885.26
2019-03-29,2019-13,919.46
2019-04-05,2019-14,881.99
2019-04-12,2019-15,894.46
2019-04-19,2019-16,911.81
2019-04-26,2019-17,916.53
2019-05-03,2019-18,913.7
2019-05-10,2019-19,933.49
2019-05-17,2019-20,939.9
2019-05-24,2019-21,953.03
2019-05-31,2019-22,988.53
2019-06-07,2019-23,965.01
2019-06-14,2019-24,949.9
2019-06-21,2019-25,961.76
2019-06-28,2019-26,982.06
2019-07-05,2019-27,936.41
2019-07-12,2019-28,954.83
2019-07-19,2019-29,971.43
2019-07-26,2019-30,973.28
2019-08-02,2019-31,963.89
2019-08-09,2019-32,1026.78
2019-08-16,2019-33,1018.5
2019-08-23,2019-34,1022.35
2019-08-30,2019-35,1035.7
2019-09-06,2019-36,1014.51
2019-09-13,2019-37,1023.27
2019-09-20,2019-38,1047.05
2019-09-27,2019-39,1058.33
2019-10-04,2019-40,1043.36
2019-10-11,2019-41,1060.32
2019-10-18,2019-42,1081.19
2019-10-25,2019-43,1076.57
2019-11-01,2019-44,1067.21
2019-11-08,2019-45,1066.64
2019-11-15,2019-46,1099.21
2019-11-22,2019-47,1086.92
2019-11-29,2019-48,1093.16
2019-12-06,2019-49,1080.54
2019-12-13,2019-50,1091.78
2019-12-20,2019-51,1134.3
2019-12-27,2019-52,1150.89
2020-01-03,2020-1,1131.51
2020-01-10,2020-2,1129.52
2020-01-17,2020-3,1156.27
2020-01-24,2020-4,1180.3
2020-01-31,2020-5,1189.52
2020-02-07,2020-6,1189.97
2020-02-14,2020-7,1205.99
2020-02-21,2020-8,1237.01
2020-02-28,2020-9,1271.35
2020-03-06,2020-10,1264.16
2020-03-13,2020-11,1297.87
2020-03-20,2020-12,1359.54
2020-03-27,2020-13,1367.58
2020-04-03,2020-14,1391.95
2020-04-10,2020-15,1439.37
2020-04-17,2020-16,1534.27
2020-04-24,2020-17,1606.2
2020-05-01,2020-18,1621.28
2020-05-08,2020-19,1674.5
2020-05-15,2020-20,1702.87
2020-05-22,2020-21,1693.19
2020-05-29,2020-22,1693.65
2020-06-05,2020-23,1689.55
2020-06-12,2020-24,1722.87
2020-06-19,2020-25,1761.2
2020-06-26,2020-26,1778.55
2020-07-03,2020-27,1780.5
2020-07-10,2020-28,1788.36
2020-07-17,2020-29,1827.49
2020-07-24,2020-30,1876.34
2020-07-31,2020-31,1930.11
2020-08-07,2020-32,1975.25
2020-08-14,2020-33,1970.4
2020-08-21,2020-34,1972.4
2020-08-28,2020-35,1957.09
2020-09-04,2020-36,1950.94
2020-09-11,2020-37,1964.37
2020-09-18,2020-38,1979.25
2020-09-25,2020-39,1987.39
2020-10-02,2020-40,1970.84
2020-10-09,2020-41,1996.05
2020-10-16,2020-42,2011.86
2020-10-23,2020-43,2009.61
2020-10-30,2020-44,2058.52
2020-11-06,2020-45,2104.95
2020-11-13,2020-46,2010.92
2020-11-20,2020-47,2014.92
2020-11-27,2020-48,2027.93
2020-12-04,2020-49,2012.69
2020-12-11,2020-50,2002.61
2020-12-18,2020-51,2018.5
2020-12-25,2020-52,1998.28
2021-01-01,2021-1,1969.51
2021-01-08,2021-2,1915.89
2021-01-15,2021-3,1941.32
2021-01-22,2021-4,1938.57
2021-01-29,2021-5,1932.33
2021-02-05,2021-6,1864.17
2021-02-12,2021-7,1862.62
2021-02-19,2021-8,1847.84
2021-02-26,2021-9,1896.3
2021-03-05,2021-10,1892.61
2021-03-12,2021-11,1895.3
2021-03-19,2021-12,1932.58
2021-03-26,2021-13,1972.52
2021-04-02,2021-14,1987.27
2021-04-09,2021-15,1996.31
2021-04-16,2021-16,2016.78
2021-04-23,2021-17,2038.14
2021-04-30,2021-18,2057.69
2021-05-07,2021-19,2102.22
2021-05-14,2021-20,2113.56
2021-05-21,2021-21,2143.57
2021-05-28,2021-22,2163.02
2021-06-04,2021-23,2185.1
2021-06-11,2021-24,2189.6
2021-06-18,2021-25,2204.19
2021-06-25,2021-26,2220.02
2021-07-02,2021-27,2211.7
2021-07-09,2021-28,2245.26
2021-07-16,2021-29,2332.59
2021-07-23,2021-30,2295.34
2021-07-30,2021-31,2282.99
2021-08-06,2021-32,2258.28
2021-08-13,2021-33,2267.19
2021-08-20,2021-34,2274.38
2021-08-27,2021-35,2282.63
2021-09-03,2021-36,2252.89
2021-09-10,2021-37,2292.57
2021-09-17,2021-38,2317.11
2021-09-24,2021-39,2358.87
2021-10-01,2021-40,2359.39
2021-10-08,2021-41,2368.05
2021-10-15,2021-42,2457.61
2021-10-22,2021-43,2496.01
2021-10-29,2021-44,2529.22
2021-11-05,2021-45,2552.06
2021-11-12,2021-46,2617.54
2021-11-19,2021-47,2789.56
2021-11-26,2021-48,3024.29
2021-12-03,2021-49,3264.13
2021-12-10,2021-50,3351.0
2021-12-17,2021-51,3748.27
2021-12-24,2021-52,3116.6
2021-12-31,2021-53,3386.04
2022-01-07,2022-1,3402.95
2022-01-14,2022-2,3415.82
2022-01-21,2022-3,3403.86
2022-01-28,2022-4,3419.37
2022-02-04,2022-5,3386.2
2022-02-11,2022-6,3391.75
2022-02-18,2022-7,3403.42
2022-02-25,2022-8,3526.83
2022-03-04,2022-9,3477.73
2022-03-11,2022-10,3632.32
2022-03-18,2022-11,3659.83
2022-03-25,2022-12,3725.98
2022-04-01,2022-13,3666.85
2022-04-08,2022-14,3682.15
2022-04-15,2022-15,3714.84
2022-04-22,2022-16,3760.19
2022-04-29,2022-17,3845.91
2022-05-06,2022-18,3804.63
2022-05-13,2022-19,3861.03
2022-05-20,2022-20,3999.52
2022-05-27,2022-21,4099.63
2022-06-03,2022-22,4106.53
2022-06-10,2022-23,4230.29
2022-06-17,2022-24,4249.21
2022-06-24,2022-25,4298.05
2022-07-01,2022-26,4128.04
2022-07-08,2022-27,4300.05
2022-07-15,2022-28,4271.56
2022-07-22,2022-29,4321.81
2022-07-29,2022-30,4423.68
2022-08-05,2022-31,4411.7
2022-08-12,2022-32,4443.8
2022-08-19,2022-33,4461.01
2022-08-26,2022-34,4481.1
2022-09-02,2022-35,4443.1
2022-09-09,2022-36,4486.82
2022-09-16,2022-37,4554.89
2022-09-23,2022-38,4562.2
2022-09-30,2022-39,4614.26
2022-10-07,2022-40,4635.16
2022-10-14,2022-41,4659.55
2022-10-21,2022-42,4719.55
2022-10-28,2022-43,4763.83
2022-11-04,2022-44,4737.58
2022-11-11,2022-45,4813.71
2022-11-18,2022-46,4834.01
2022-11-25,2022-47,4823.25
2022-12-02,2022-48,4817.37
2022-12-09,2022-49,4841.46
2022-12-16,2022-50,4929.44
2022-12-23,2022-51,4968.09
2022-12-30,2022-52,5055.28
2023-01-06,2023-1,4922.37
2023-01-13,2023-2,5014.28
2023-01-20,2023-3,5081.61
2023-01-27,2023-4,5124.14
2023-02-03,2023-5,5129.69
2023-02-10,2023-6,5170.03
2023-02-17,2023-7,5258.71
2023-02-24,2023-8,5247.29
2023-03-03,2023-9,5275.32
2023-03-10,2023-10,5332.88
2023-03-17,2023-11,5476.69
2023-03-24,2023-12,5575.46
2023-03-31,2023-13,5602.0
2023-04-07,2023-14,5712.35
2023-04-14,2023-15,5906.54
2023-04-21,2023-16,5955.67
2023-04-28,2023-17,5929.09
2023-05-05,2023-18,5883.51
2023-05-12,2023-19,5825.9
2023-05-19,2023-20,5832.0
2023-05-26,2023-21,5688.4
2023-06-02,2023-22,5742.11
2023-06-09,2023-23,6177.03
2023-06-16,2023-24,6428.52
2023-06-23,2023-25,6499.73
2023-06-30,2023-26,6749.62
2023-07-07,2023-27,6681.8
2023-07-14,2023-28,6819.23
2023-07-21,2023-29,7037.06
2023-07-28,2023-30,7088.02
2023-08-04,2023-31,7029.05
2023-08-11,2023-32,7090.41
2023-08-18,2023-33,7173.22
2023-08-25,2023-34,7339.28
2023-09-01,2023-35,7263.27
2023-09-08,2023-36,7211.55
2023-09-15,2023-37,7329.01
2023-09-22,2023-38,7323.01
2023-09-29,2023-39,7253.07
2023-10-06,2023-40,7108.15
2023-10-13,2023-41,7192.0
2023-10-20,2023-42,7355.07
2023-10-27,2023-43,7371.63
2023-11-03,2023-44,7330.92
2023-11-10,2023-45,7355.9
2023-11-17,2023-46,7463.3
2023-11-24,2023-47,7477.66
2023-12-01,2023-48,7448.22
2023-12-08,2023-49,7333.0
2023-12-15,2023-50,7477.8
2023-12-22,2023-51,7566.95
2023-12-29,2023-52,7681.17
2024-01-05,2024-1,7434.68
2024-01-12,2024-2,7513.0
2024-01-19,2024-3,7699.35
2024-01-26,2024-4,7809.87
2024-02-02,2024-5,7781.74
2024-02-09,2024-6,7833.66
2024-02-16,2024-7,8018.8
2024-02-23,2024-8,8152.8
2024-03-01,2024-9,8239.14
2024-03-08,2024-10,8461.39
2024-03-15,2024-11,8722.47
2024-03-22,2024-12,8874.37
2024-03-29,2024-13,8904.77
2024-04-05,2024-14,8800.88
2024-04-12,2024-15,8755.36
2024-04-19,2024-16,8923.59
2024-04-26,2024-17,8802.51
2024-05-03,2024-18,8634.42
2024-05-10,2024-19,8479.5
2024-05-17,2024-20,8656.67
2024-05-24,2024-21,8725.33
2024-05-31,2024-22,8708.48
2024-06-07,2024-23,8537.5
2024-06-14,2024-24,8783.3
2024-06-21,2024-25,8856.34
2024-06-28,2024-26,8886.584401
2024-07-05,2024-27,8538.777032
2024-07-12,2024-28,8686.338657
2024-07-19,2024-29,8911.811327
2024-07-26,2024-30,8896.588629
2024-08-02,2024-31,8994.710491
2024-08-09,2024-32,9051.979319
2024-08-16,2024-33,9309.789442
2024-08-23,2024-34,9601.242286
2024-08-30,2024-35,9629.621265
2024-09-06,2024-36,9496.750503
2024-09-13,2024-37,9429.797913
2024-09-20,2024-38,9710.006507
2024-09-27,2024-39,9805.876929
2024-10-04,2024-40,9601.417596
2024-10-11,2024-41,9546.768717
2024-10-18,2024-42,9802.690263
2024-10-25,2024-43,9802.925265
2024-11-01,2024-44,9833.740609
2024-11-08,2024-45,9647.046446
2024-11-15,2024-46,9856.516397
2024-11-22,2024-47,9821.509641
2024-11-29,2024-48,9809.498293
2024-12-06,2024-49,9657.639131
2024-12-13,2024-50,9739.691309
2024-12-20,2024-51,9923.117582
2024-12-27,2024-52,9957.334918
2025-01-03,2025-1,9792.137895
2025-01-10,2025-2,9689.919851
2025-01-17,2025-3,9962.071093
2025-01-24,2025-4,10148.101695
2025-01-31,2025-5,10190.356688
2025-02-07,2025-6,10203.801085
2025-02-14,2025-7,10394.10087
2025-02-21,2025-8,10697.690873
2025-02-28,2025-9,10745.102162
2025-03-07,2025-10,10610.700289
2025-03-14,2025-11,10803.135655
2025-03-21,2025-12,11519.442198
2025-03-28,2025-13,11769.596159
2025-04-04,2025-14,11514.564538
2025-04-11,2025-15,11653.529225
2025-04-18,2025-16,11934.671411
2025-04-25,2025-17,12011.302516
2025-05-02,2025-18,12045.460137
2025-05-09,2025-19,11902.468344
2025-05-16,2025-20,11987.227489
2025-05-23,2025-21,12207.711121
2025-05-30,2025-22,12302.966761
2025-06-06,2025-23,12280.775442
2025-06-13,2025-24,12359.119096
2025-06-20,2025-25,12432.15004
2025-06-27,2025-26,12528.872127
2025-07-04,2025-27,12275.799355
2025-07-11,2025-28,12312.713331
2025-07-18,2025-29,12822.850201
2025-07-25,2025-30,12847.162124
2025-08-01,2025-31,12846.235004
2025-08-08,2025-32,12846.304231
2025-08-15,2025-33,13101.427518
2025-08-22,2025-34,13167.801844
2025-08-29,2025-35,13244.278582
2025-09-05,2025-36,13261.086991
2025-09-12,2025-37,13444.530658
2025-09-19,2025-38,13741.788558
2025-09-26,2025-39,13923.841234
2025-10-03,2025-40,13913.995845
2025-10-10,2025-41,14000.920758
