Tarih,TP_KAVRAMSAL_HAMM2_INDX,TP_KAVRAMSAL_HAMM2_INDX
2017-10-13,2017-41,659.68
2017-10-20,2017-42,662.9
2017-10-27,2017-43,670.75
2017-11-03,2017-44,673.34
2017-11-10,2017-45,678.71
2017-11-17,2017-46,680.63
2017-11-24,2017-47,685.29
2017-12-01,2017-48,683.17
2017-12-08,2017-49,678.29
2017-12-15,2017-50,678.83
2017-12-22,2017-51,681.62
2017-12-29,2017-52,682.78
2018-01-05,2018-1,674.51
2018-01-12,2018-2,680.32
2018-01-19,2018-3,683.1
2018-01-26,2018-4,680.09
2018-02-02,2018-5,678.19
2018-02-09,2018-6,680.35
2018-02-16,2018-7,685.53
2018-02-23,2018-8,686.56
2018-03-02,2018-9,686.62
2018-03-09,2018-10,688.56
2018-03-16,2018-11,699.74
2018-03-23,2018-12,703.61
2018-03-30,2018-13,705.58
2018-04-06,2018-14,708.99
2018-04-13,2018-15,722.87
2018-04-20,2018-16,720.88
2018-04-27,2018-17,723.97
2018-05-04,2018-18,728.06
2018-05-11,2018-19,736.46
2018-05-18,2018-20,748.06
2018-05-25,2018-21,767.14
2018-06-01,2018-22,747.57
2018-06-08,2018-23,760.63
2018-06-15,2018-24,778.02
2018-06-22,2018-25,774.19
2018-06-29,2018-26,758.91
2018-07-06,2018-27,760.45
2018-07-13,2018-28,776.13
2018-07-20,2018-29,777.62
2018-07-27,2018-30,780.6
2018-08-03,2018-31,793.71
2018-08-10,2018-32,820.09
2018-08-17,2018-33,849.38
2018-08-24,2018-34,862.16
2018-08-31,2018-35,874.56
2018-09-07,2018-36,885.04
2018-09-14,2018-37,874.48
2018-09-21,2018-38,871.56
2018-09-28,2018-39,853.94
2018-10-05,2018-40,855.17
2018-10-12,2018-41,851.06
2018-10-19,2018-42,828.04
2018-10-26,2018-43,833.99
2018-11-02,2018-44,824.3
2018-11-09,2018-45,816.12
2018-11-16,2018-46,821.94
2018-11-23,2018-47,809.22
2018-11-30,2018-48,794.74
2018-12-07,2018-49,809.97
2018-12-14,2018-50,813.41
2018-12-21,2018-51,814.03
2018-12-28,2018-52,815.54
2019-01-04,2019-1,820.49
2019-01-11,2019-2,823.77
2019-01-18,2019-3,820.11
2019-01-25,2019-4,822.58
2019-02-01,2019-5,817.24
2019-02-08,2019-6,819.6
2019-02-15,2019-7,827.0
2019-02-22,2019-8,827.83
2019-03-01,2019-9,828.66
2019-03-08,2019-10,836.89
2019-03-15,2019-11,857.09
2019-03-22,2019-12,863.61
2019-03-29,2019-13,869.24
2019-04-05,2019-14,869.32
2019-04-12,2019-15,877.52
2019-04-19,2019-16,893.41
2019-04-26,2019-17,899.17
2019-05-03,2019-18,902.54
2019-05-10,2019-19,923.99
2019-05-17,2019-20,911.91
2019-05-24,2019-21,923.92
2019-05-31,2019-22,912.19
2019-06-07,2019-23,911.66
2019-06-14,2019-24,905.1
2019-06-21,2019-25,906.11
2019-06-28,2019-26,908.14
2019-07-05,2019-27,891.54
2019-07-12,2019-28,903.19
2019-07-19,2019-29,912.39
2019-07-26,2019-30,915.67
2019-08-02,2019-31,909.42
2019-08-09,2019-32,921.86
2019-08-16,2019-33,936.56
2019-08-23,2019-34,947.71
2019-08-30,2019-35,952.65
2019-09-06,2019-36,946.49
2019-09-13,2019-37,954.45
2019-09-20,2019-38,960.49
2019-09-27,2019-39,962.27
2019-10-04,2019-40,960.23
2019-10-11,2019-41,979.47
2019-10-18,2019-42,990.07
2019-10-25,2019-43,982.28
2019-11-01,2019-44,977.59
2019-11-08,2019-45,980.89
2019-11-15,2019-46,991.53
2019-11-22,2019-47,986.07
2019-11-29,2019-48,990.15
2019-12-06,2019-49,994.32
2019-12-13,2019-50,1003.29
2019-12-20,2019-51,1024.79
2019-12-27,2019-52,1032.78
2020-01-03,2020-1,1030.44
2020-01-10,2020-2,1024.82
2020-01-17,2020-3,1033.05
2020-01-24,2020-4,1041.29
2020-01-31,2020-5,1042.16
2020-02-07,2020-6,1048.12
2020-02-14,2020-7,1055.88
2020-02-21,2020-8,1063.55
2020-02-28,2020-9,1072.24
2020-03-06,2020-10,1072.9
2020-03-13,2020-11,1085.72
2020-03-20,2020-12,1114.09
2020-03-27,2020-13,1120.71
2020-04-03,2020-14,1145.88
2020-04-10,2020-15,1162.55
2020-04-17,2020-16,1199.63
2020-04-24,2020-17,1223.85
2020-05-01,2020-18,1226.86
2020-05-08,2020-19,1245.47
2020-05-15,2020-20,1239.38
2020-05-22,2020-21,1231.78
2020-05-29,2020-22,1226.28
2020-06-05,2020-23,1226.64
2020-06-12,2020-24,1240.18
2020-06-19,2020-25,1259.76
2020-06-26,2020-26,1266.07
2020-07-03,2020-27,1268.22
2020-07-10,2020-28,1274.14
2020-07-17,2020-29,1286.41
2020-07-24,2020-30,1303.26
2020-07-31,2020-31,1321.12
2020-08-07,2020-32,1344.32
2020-08-14,2020-33,1355.59
2020-08-21,2020-34,1349.16
2020-08-28,2020-35,1345.76
2020-09-04,2020-36,1354.7
2020-09-11,2020-37,1361.45
2020-09-18,2020-38,1370.97
2020-09-25,2020-39,1376.24
2020-10-02,2020-40,1376.58
2020-10-09,2020-41,1398.09
2020-10-16,2020-42,1400.95
2020-10-23,2020-43,1400.74
2020-10-30,2020-44,1421.29
2020-11-06,2020-45,1459.3
2020-11-13,2020-46,1398.11
2020-11-20,2020-47,1390.9
2020-11-27,2020-48,1409.64
2020-12-04,2020-49,1416.75
2020-12-11,2020-50,1420.73
2020-12-18,2020-51,1424.92
2020-12-25,2020-52,1418.29
2021-01-01,2021-1,1397.35
2021-01-08,2021-2,1388.11
2021-01-15,2021-3,1398.33
2021-01-22,2021-4,1402.02
2021-01-29,2021-5,1395.73
2021-02-05,2021-6,1366.94
2021-02-12,2021-7,1366.65
2021-02-19,2021-8,1359.67
2021-02-26,2021-9,1381.37
2021-03-05,2021-10,1399.14
2021-03-12,2021-11,1403.26
2021-03-19,2021-12,1413.29
2021-03-26,2021-13,1453.02
2021-04-02,2021-14,1474.93
2021-04-09,2021-15,1481.41
2021-04-16,2021-16,1481.88
2021-04-23,2021-17,1494.2
2021-04-30,2021-18,1496.4
2021-05-07,2021-19,1519.81
2021-05-14,2021-20,1526.1
2021-05-21,2021-21,1540.72
2021-05-28,2021-22,1550.99
2021-06-04,2021-23,1569.49
2021-06-11,2021-24,1568.9
2021-06-18,2021-25,1578.01
2021-06-25,2021-26,1587.59
2021-07-02,2021-27,1587.82
2021-07-09,2021-28,1603.54
2021-07-16,2021-29,1623.62
2021-07-23,2021-30,1615.24
2021-07-30,2021-31,1607.11
2021-08-06,2021-32,1612.11
2021-08-13,2021-33,1623.51
2021-08-20,2021-34,1611.98
2021-08-27,2021-35,1609.08
2021-09-03,2021-36,1611.4
2021-09-10,2021-37,1635.88
2021-09-17,2021-38,1641.89
2021-09-24,2021-39,1672.21
2021-10-01,2021-40,1684.59
2021-10-08,2021-41,1690.65
2021-10-15,2021-42,1734.59
2021-10-22,2021-43,1758.63
2021-10-29,2021-44,1775.29
2021-11-05,2021-45,1798.11
2021-11-12,2021-46,1833.7
2021-11-19,2021-47,1903.77
2021-11-26,2021-48,2023.26
2021-12-03,2021-49,2163.81
2021-12-10,2021-50,2202.31
2021-12-17,2021-51,2355.0
2021-12-24,2021-52,1972.08
2021-12-31,2021-53,2127.19
2022-01-07,2022-1,2179.05
2022-01-14,2022-2,2186.88
2022-01-21,2022-3,2186.08
2022-01-28,2022-4,2200.51
2022-02-04,2022-5,2199.28
2022-02-11,2022-6,2212.76
2022-02-18,2022-7,2232.77
2022-02-25,2022-8,2289.36
2022-03-04,2022-9,2274.45
2022-03-11,2022-10,2361.91
2022-03-18,2022-11,2386.89
2022-03-25,2022-12,2414.18
2022-04-01,2022-13,2403.54
2022-04-08,2022-14,2422.55
2022-04-15,2022-15,2439.83
2022-04-22,2022-16,2460.3
2022-04-29,2022-17,2480.3
2022-05-06,2022-18,2485.34
2022-05-13,2022-19,2537.83
2022-05-20,2022-20,2588.3
2022-05-27,2022-21,2646.67
2022-06-03,2022-22,2673.78
2022-06-10,2022-23,2748.86
2022-06-17,2022-24,2774.21
2022-06-24,2022-25,2804.22
2022-07-01,2022-26,2716.02
2022-07-08,2022-27,2808.21
2022-07-15,2022-28,2820.53
2022-07-22,2022-29,2866.31
2022-07-29,2022-30,2929.29
2022-08-05,2022-31,2994.75
2022-08-12,2022-32,3031.82
2022-08-19,2022-33,3037.99
2022-08-26,2022-34,3047.17
2022-09-02,2022-35,3061.8
2022-09-09,2022-36,3091.15
2022-09-16,2022-37,3123.56
2022-09-23,2022-38,3121.76
2022-09-30,2022-39,3146.63
2022-10-07,2022-40,3200.05
2022-10-14,2022-41,3220.76
2022-10-21,2022-42,3246.68
2022-10-28,2022-43,3267.47
2022-11-04,2022-44,3288.43
2022-11-11,2022-45,3332.87
2022-11-18,2022-46,3336.63
2022-11-25,2022-47,3333.13
2022-12-02,2022-48,3343.53
2022-12-09,2022-49,3353.29
2022-12-16,2022-50,3392.69
2022-12-23,2022-51,3416.44
2022-12-30,2022-52,3451.44
2023-01-06,2023-1,3442.44
2023-01-13,2023-2,3498.74
2023-01-20,2023-3,3534.73
2023-01-27,2023-4,3544.02
2023-02-03,2023-5,3569.75
2023-02-10,2023-6,3586.09
2023-02-17,2023-7,3624.97
2023-02-24,2023-8,3649.98
2023-03-03,2023-9,3677.48
2023-03-10,2023-10,3715.81
2023-03-17,2023-11,3765.6
2023-03-24,2023-12,3814.05
2023-03-31,2023-13,3807.17
2023-04-07,2023-14,3884.72
2023-04-14,2023-15,3953.76
2023-04-21,2023-16,4002.92
2023-04-28,2023-17,3994.91
2023-05-05,2023-18,3996.86
2023-05-12,2023-19,3994.43
2023-05-19,2023-20,3996.7
2023-05-26,2023-21,3954.28
2023-06-02,2023-22,4009.29
2023-06-09,2023-23,4209.73
2023-06-16,2023-24,4329.08
2023-06-23,2023-25,4396.27
2023-06-30,2023-26,4553.23
2023-07-07,2023-27,4586.46
2023-07-14,2023-28,4692.52
2023-07-21,2023-29,4802.68
2023-07-28,2023-30,4823.85
2023-08-04,2023-31,4886.74
2023-08-11,2023-32,4940.9
2023-08-18,2023-33,4993.55
2023-08-25,2023-34,5053.66
2023-09-01,2023-35,5034.57
2023-09-08,2023-36,5076.82
2023-09-15,2023-37,5125.67
2023-09-22,2023-38,5187.45
2023-09-29,2023-39,5189.82
2023-10-06,2023-40,5200.37
2023-10-13,2023-41,5239.05
2023-10-20,2023-42,5325.22
2023-10-27,2023-43,5364.0
2023-11-03,2023-44,5362.92
2023-11-10,2023-45,5400.12
2023-11-17,2023-46,5440.92
2023-11-24,2023-47,5484.48
2023-12-01,2023-48,5484.9
2023-12-08,2023-49,5492.65
2023-12-15,2023-50,5585.16
2023-12-22,2023-51,5670.95
2023-12-29,2023-52,5722.14
2024-01-05,2024-1,5648.85
2024-01-12,2024-2,5707.91
2024-01-19,2024-3,5776.91
2024-01-26,2024-4,5778.92
2024-02-02,2024-5,5721.47
2024-02-09,2024-6,5737.55
2024-02-16,2024-7,5814.68
2024-02-23,2024-8,5863.71
2024-03-01,2024-9,5856.38
2024-03-08,2024-10,5935.8
2024-03-15,2024-11,6012.25
2024-03-22,2024-12,6051.91
2024-03-29,2024-13,6004.24
2024-04-05,2024-14,5984.63
2024-04-12,2024-15,6018.27
2024-04-19,2024-16,6128.01
2024-04-26,2024-17,6123.26
2024-05-03,2024-18,6084.6
2024-05-10,2024-19,6069.32
2024-05-17,2024-20,6213.9
2024-05-24,2024-21,6237.79
2024-05-31,2024-22,6237.12
2024-06-07,2024-23,6215.27
2024-06-14,2024-24,6366.54
2024-06-21,2024-25,6431.69
2024-06-28,2024-26,6406.895835
2024-07-05,2024-27,6329.72889
2024-07-12,2024-28,6424.751907
2024-07-19,2024-29,6539.592406
2024-07-26,2024-30,6562.099269
2024-08-02,2024-31,6560.321671
2024-08-09,2024-32,6616.906286
2024-08-16,2024-33,6733.536096
2024-08-23,2024-34,6837.007576
2024-08-30,2024-35,6820.649035
2024-09-06,2024-36,6762.906377
2024-09-13,2024-37,6726.464678
2024-09-20,2024-38,6912.211193
2024-09-27,2024-39,6936.955712
2024-10-04,2024-40,6874.985199
2024-10-11,2024-41,6832.193187
2024-10-18,2024-42,6990.901774
2024-10-25,2024-43,6993.318851
2024-11-01,2024-44,7042.699833
2024-11-08,2024-45,6980.414361
2024-11-15,2024-46,7122.021578
2024-11-22,2024-47,7084.942764
2024-11-29,2024-48,7116.588427
2024-12-06,2024-49,7044.000782
2024-12-13,2024-50,7174.314
2024-12-20,2024-51,7240.564753
2024-12-27,2024-52,7341.001048
2025-01-03,2025-1,7274.174877
2025-01-10,2025-2,7301.389944
2025-01-17,2025-3,7402.046963
2025-01-24,2025-4,7540.816231
2025-01-31,2025-5,7418.900022
2025-02-07,2025-6,7514.596391
2025-02-14,2025-7,7611.470709
2025-02-21,2025-8,7756.316274
2025-02-28,2025-9,7715.545026
2025-03-07,2025-10,7812.827654
2025-03-14,2025-11,7906.99804
2025-03-21,2025-12,8217.397192
2025-03-28,2025-13,8331.350686
2025-04-04,2025-14,8284.13624
2025-04-11,2025-15,8282.930516
2025-04-18,2025-16,8475.657215
2025-04-25,2025-17,8448.156483
2025-05-02,2025-18,8487.917041
2025-05-09,2025-19,8448.442684
2025-05-16,2025-20,8584.485229
2025-05-23,2025-21,8643.096313
2025-05-30,2025-22,8688.337985
2025-06-06,2025-23,8691.146334
2025-06-13,2025-24,8812.886938
2025-06-20,2025-25,8906.033434
2025-06-27,2025-26,8994.689529
2025-07-04,2025-27,8814.229535
2025-07-11,2025-28,8903.632735
2025-07-18,2025-29,9057.582666
2025-07-25,2025-30,9196.477989
2025-08-01,2025-31,9127.625954
2025-08-08,2025-32,9175.550058
2025-08-15,2025-33,9293.859542
2025-08-22,2025-34,9332.596808
2025-08-29,2025-35,9313.272185
2025-09-05,2025-36,9332.054866
2025-09-12,2025-37,9330.248914
2025-09-19,2025-38,9526.875689
2025-09-26,2025-39,9549.087157
2025-10-03,2025-40,9529.819936
2025-10-10,2025-41,9513.152345
