Tarih,TP_AUIHRULKE_NEPA
2018-02-01,8532.796
2018-03-01,4259.97
2018-04-01,2141.24
2018-05-01,6299.929
2018-06-01,2088.62
2018-07-01,2019.065
2018-08-01,7778.034
2018-09-01,0.0
2018-10-01,0.0
2018-11-01,7791.336
2018-12-01,0.0
2019-01-01,4185.27
2019-02-01,4288.909
2019-03-01,4174.663
2019-04-01,0.0
2019-05-01,6217.11
2019-06-01,0.0
2019-07-01,2234.475
2019-08-01,0.0
2019-09-01,0.0
2019-10-01,0.0
2019-11-01,11796.723
2019-12-01,9456.615
2020-01-01,0.0
2020-02-01,7564.624
2020-03-01,5125.138
2020-04-01,0.0
2020-05-01,0.0
2020-06-01,0.0
2020-07-01,0.0
2020-08-01,0.0
2020-09-01,0.0
2020-10-01,0.0
2020-11-01,3025.734
2020-12-01,11863.191
2021-01-01,0.0
2021-02-01,0.0
2021-03-01,0.0
2021-04-01,0.0
2021-05-01,0.0
2021-06-01,5721.501
2021-07-01,23713.889
2021-08-01,8865.0
2021-09-01,11552.947
2021-10-01,14609.126
2021-11-01,0.0
2021-12-01,8647.5
2022-01-01,0.0
2022-02-01,2983.55
2022-03-01,0.0
2022-04-01,0.0
2022-05-01,0.0
2022-06-01,0.0
2022-07-01,0.0
2022-08-01,5684.907
2022-09-01,2754.083
2022-10-01,0.0
2022-11-01,0.0
2022-12-01,0.0
2023-01-01,0.0
2023-02-01,0.0
2023-03-01,6016.86
2023-04-01,0.0
2023-05-01,6544.199
2023-06-01,3183.865
2023-07-01,0.0
2023-08-01,0.0
2023-09-01,0.0
2023-10-01,0.0
2023-11-01,3285.63
2023-12-01,3357.466
2024-01-01,0.0
2024-02-01,0.0
2024-03-01,0.0
2024-04-01,0.0
2024-05-01,3791.465
2024-06-01,0.0
2024-07-01,7758.55
2024-08-01,0.0
2024-09-01,0.0
2024-10-01,0.0
2024-11-01,0.0
2024-12-01,0.0
2025-01-01,0.0
2025-02-01,0.0
2025-03-01,0.0
2025-04-01,0.0
2025-05-01,0.0
2025-06-01,0.0
2025-07-01,0.0
2025-08-01,0.0
