Tarih,TP_KTF17_EUR,TP_KTF17_EUR
2017-02-03,2017-5,3.7
2017-02-10,2017-6,3.5
2017-02-17,2017-7,3.16
2017-02-24,2017-8,3.28
2017-03-03,2017-9,2.52
2017-03-10,2017-10,2.93
2017-03-17,2017-11,3.43
2017-03-24,2017-12,3.15
2017-03-31,2017-13,3.07
2017-04-07,2017-14,3.76
2017-04-14,2017-15,3.35
2017-04-21,2017-16,3.34
2017-04-28,2017-17,3.51
2017-05-05,2017-18,2.7
2017-05-12,2017-19,3.26
2017-05-19,2017-20,3.65
2017-05-26,2017-21,3.37
2017-06-02,2017-22,2.84
2017-06-09,2017-23,3.04
2017-06-16,2017-24,3.63
2017-06-23,2017-25,3.57
2017-06-30,2017-26,3.04
2017-07-07,2017-27,3.03
2017-07-14,2017-28,2.87
2017-07-21,2017-29,2.74
2017-07-28,2017-30,2.94
2017-08-04,2017-31,3.47
2017-08-11,2017-32,3.54
2017-08-18,2017-33,3.43
2017-08-25,2017-34,3.36
2017-09-01,2017-35,2.61
2017-09-08,2017-36,2.81
2017-09-15,2017-37,2.97
2017-09-22,2017-38,2.59
2017-09-29,2017-39,3.65
2017-10-06,2017-40,3.28
2017-10-13,2017-41,2.54
2017-10-20,2017-42,2.98
2017-10-27,2017-43,2.93
2017-11-03,2017-44,3.08
2017-11-10,2017-45,3.2
2017-11-17,2017-46,3.22
2017-11-24,2017-47,3.73
2017-12-01,2017-48,3.58
2017-12-08,2017-49,3.27
2017-12-15,2017-50,2.95
2017-12-22,2017-51,3.03
2017-12-29,2017-52,3.51
2018-01-05,2018-1,3.4
2018-01-12,2018-2,2.88
2018-01-19,2018-3,3.08
2018-01-26,2018-4,3.41
2018-02-02,2018-5,3.05
2018-02-09,2018-6,2.71
2018-02-16,2018-7,3.28
2018-02-23,2018-8,3.38
2018-03-02,2018-9,3.85
2018-03-09,2018-10,4.18
2018-03-16,2018-11,3.28
2018-03-23,2018-12,3.15
2018-03-30,2018-13,3.39
2018-04-06,2018-14,3.76
2018-04-13,2018-15,3.79
2018-04-20,2018-16,3.11
2018-04-27,2018-17,3.63
2018-05-04,2018-18,4.24
2018-05-11,2018-19,3.81
2018-05-18,2018-20,4.01
2018-05-25,2018-21,3.64
2018-06-01,2018-22,4.01
2018-06-08,2018-23,3.8
2018-06-15,2018-24,3.95
2018-06-22,2018-25,3.66
2018-06-29,2018-26,3.5
2018-07-06,2018-27,3.53
2018-07-13,2018-28,3.69
2018-07-20,2018-29,4.09
2018-07-27,2018-30,3.8
2018-08-03,2018-31,4.46
2018-08-10,2018-32,3.79
2018-08-17,2018-33,4.68
2018-08-24,2018-34,4.28
2018-08-31,2018-35,4.28
2018-09-07,2018-36,4.14
2018-09-14,2018-37,4.57
2018-09-21,2018-38,4.96
2018-09-28,2018-39,5.31
2018-10-05,2018-40,4.74
2018-10-12,2018-41,5.07
2018-10-19,2018-42,4.35
2018-10-26,2018-43,5.51
2018-11-02,2018-44,4.76
2018-11-09,2018-45,4.15
2018-11-16,2018-46,4.15
2018-11-23,2018-47,4.65
2018-11-30,2018-48,4.88
2018-12-07,2018-49,3.56
2018-12-14,2018-50,4.4
2018-12-21,2018-51,4.35
2018-12-28,2018-52,4.3
2019-01-04,2019-1,5.23
2019-01-11,2019-2,4.26
2019-01-18,2019-3,5.02
2019-01-25,2019-4,3.77
2019-02-01,2019-5,4.21
2019-02-08,2019-6,3.75
2019-02-15,2019-7,4.65
2019-02-22,2019-8,3.5
2019-03-01,2019-9,3.84
2019-03-08,2019-10,3.89
2019-03-15,2019-11,3.48
2019-03-22,2019-12,4.8
2019-03-29,2019-13,4.65
2019-04-05,2019-14,4.16
2019-04-12,2019-15,4.3
2019-04-19,2019-16,3.55
2019-04-26,2019-17,4.21
2019-05-03,2019-18,5.3
2019-05-10,2019-19,4.01
2019-05-17,2019-20,3.66
2019-05-24,2019-21,4.24
2019-05-31,2019-22,5.63
2019-06-07,2019-23,2.01
2019-06-14,2019-24,3.36
2019-06-21,2019-25,3.59
2019-06-28,2019-26,3.78
2019-07-05,2019-27,3.47
2019-07-12,2019-28,3.51
2019-07-19,2019-29,3.43
2019-07-26,2019-30,3.72
2019-08-02,2019-31,3.94
2019-08-09,2019-32,3.31
2019-08-16,2019-33,3.23
2019-08-23,2019-34,3.3
2019-08-30,2019-35,3.45
2019-09-06,2019-36,3.67
2019-09-13,2019-37,2.99
2019-09-20,2019-38,2.86
2019-09-27,2019-39,2.8
2019-10-04,2019-40,3.19
2019-10-11,2019-41,2.57
2019-10-18,2019-42,2.72
2019-10-25,2019-43,2.4
2019-11-01,2019-44,2.96
2019-11-08,2019-45,2.52
2019-11-15,2019-46,2.94
2019-11-22,2019-47,3.59
2019-11-29,2019-48,3.07
2019-12-06,2019-49,3.1
2019-12-13,2019-50,3.2
2019-12-20,2019-51,2.73
2019-12-27,2019-52,3.2
2020-01-03,2020-1,2.96
2020-01-10,2020-2,3.05
2020-01-17,2020-3,2.91
2020-01-24,2020-4,2.54
2020-01-31,2020-5,2.62
2020-02-07,2020-6,2.22
2020-02-14,2020-7,1.86
2020-02-21,2020-8,2.6
2020-02-28,2020-9,2.44
2020-03-06,2020-10,2.63
2020-03-13,2020-11,2.68
2020-03-20,2020-12,1.76
2020-03-27,2020-13,1.76
2020-04-03,2020-14,2.3
2020-04-10,2020-15,2.14
2020-04-17,2020-16,1.76
2020-04-24,2020-17,1.95
2020-05-01,2020-18,2.44
2020-05-08,2020-19,2.32
2020-05-15,2020-20,2.49
2020-05-22,2020-21,2.07
2020-05-29,2020-22,3.34
2020-06-05,2020-23,1.62
2020-06-12,2020-24,1.85
2020-06-19,2020-25,2.23
2020-06-26,2020-26,2.48
2020-07-03,2020-27,2.61
2020-07-10,2020-28,2.17
2020-07-17,2020-29,2.06
2020-07-24,2020-30,2.25
2020-07-31,2020-31,2.86
2020-08-07,2020-32,4.04
2020-08-14,2020-33,2.99
2020-08-21,2020-34,3.7
2020-08-28,2020-35,2.93
2020-09-04,2020-36,2.55
2020-09-11,2020-37,3.49
2020-09-18,2020-38,2.73
2020-09-25,2020-39,2.69
2020-10-02,2020-40,3.18
2020-10-09,2020-41,3.95
2020-10-16,2020-42,2.95
2020-10-23,2020-43,2.59
2020-10-30,2020-44,3.0
2020-11-06,2020-45,3.29
2020-11-13,2020-46,2.42
2020-11-20,2020-47,2.15
2020-11-27,2020-48,3.31
2020-12-04,2020-49,2.71
2020-12-11,2020-50,3.15
2020-12-18,2020-51,3.4
2020-12-25,2020-52,3.53
2021-01-01,2021-1,3.77
2021-01-08,2021-2,4.01
2021-01-15,2021-3,3.45
2021-01-22,2021-4,3.2
2021-01-29,2021-5,2.71
2021-02-05,2021-6,3.05
2021-02-12,2021-7,2.74
2021-02-19,2021-8,2.38
2021-02-26,2021-9,3.19
2021-03-05,2021-10,2.83
2021-03-12,2021-11,2.35
2021-03-19,2021-12,3.05
2021-03-26,2021-13,3.17
2021-04-02,2021-14,3.74
2021-04-09,2021-15,3.03
2021-04-16,2021-16,3.1
2021-04-23,2021-17,2.99
2021-04-30,2021-18,3.56
2021-05-07,2021-19,2.9
2021-05-14,2021-20,3.07
2021-05-21,2021-21,3.12
2021-05-28,2021-22,5.32
2021-06-04,2021-23,2.83
2021-06-11,2021-24,2.96
2021-06-18,2021-25,3.9
2021-06-25,2021-26,2.9
2021-07-02,2021-27,3.03
2021-07-09,2021-28,2.67
2021-07-16,2021-29,2.71
2021-07-23,2021-30,2.32
2021-07-30,2021-31,2.36
2021-08-06,2021-32,2.29
2021-08-13,2021-33,2.33
2021-08-20,2021-34,2.56
2021-08-27,2021-35,3.02
2021-09-03,2021-36,2.83
2021-09-10,2021-37,2.53
2021-09-17,2021-38,2.31
2021-09-24,2021-39,2.52
2021-10-01,2021-40,2.58
2021-10-08,2021-41,2.62
2021-10-15,2021-42,2.57
2021-10-22,2021-43,2.61
2021-10-29,2021-44,3.1
2021-11-05,2021-45,2.54
2021-11-12,2021-46,2.33
2021-11-19,2021-47,2.81
2021-11-26,2021-48,2.46
2021-12-03,2021-49,2.79
2021-12-10,2021-50,2.8
2021-12-17,2021-51,3.69
2021-12-24,2021-52,3.51
2021-12-31,2021-53,3.63
2022-01-07,2022-1,4.5
2022-01-14,2022-2,4.19
2022-01-21,2022-3,3.75
2022-01-28,2022-4,3.38
2022-02-04,2022-5,3.73
2022-02-11,2022-6,3.34
2022-02-18,2022-7,3.58
2022-02-25,2022-8,3.17
2022-03-04,2022-9,3.3
2022-03-11,2022-10,3.96
2022-03-18,2022-11,3.62
2022-03-25,2022-12,4.69
2022-04-01,2022-13,3.97
2022-04-08,2022-14,3.48
2022-04-15,2022-15,2.71
2022-04-22,2022-16,3.45
2022-04-29,2022-17,3.95
2022-05-06,2022-18,3.27
2022-05-13,2022-19,3.18
2022-05-20,2022-20,4.32
2022-05-27,2022-21,3.6
2022-06-03,2022-22,4.47
2022-06-10,2022-23,5.85
2022-06-17,2022-24,5.21
2022-06-24,2022-25,5.09
2022-07-01,2022-26,5.97
2022-07-08,2022-27,6.24
2022-07-15,2022-28,7.03
2022-07-22,2022-29,4.61
2022-07-29,2022-30,6.52
2022-08-05,2022-31,5.85
2022-08-12,2022-32,4.56
2022-08-19,2022-33,7.0
2022-08-26,2022-34,7.37
2022-09-02,2022-35,6.24
2022-09-09,2022-36,6.99
2022-09-16,2022-37,7.09
2022-09-23,2022-38,7.09
2022-09-30,2022-39,7.12
2022-10-07,2022-40,7.47
2022-10-14,2022-41,8.54
2022-10-21,2022-42,8.63
2022-10-28,2022-43,7.37
2022-11-04,2022-44,7.0
2022-11-11,2022-45,7.93
2022-11-18,2022-46,8.07
2022-11-25,2022-47,7.09
2022-12-02,2022-48,6.55
2022-12-09,2022-49,6.34
2022-12-16,2022-50,7.23
2022-12-23,2022-51,7.33
2022-12-30,2022-52,6.92
2023-01-06,2023-1,6.57
2023-01-13,2023-2,7.38
2023-01-20,2023-3,7.36
2023-01-27,2023-4,7.19
2023-02-03,2023-5,7.27
2023-02-10,2023-6,7.46
2023-02-17,2023-7,7.25
2023-02-24,2023-8,6.92
2023-03-03,2023-9,7.45
2023-03-10,2023-10,8.01
2023-03-17,2023-11,7.52
2023-03-24,2023-12,7.3
2023-03-31,2023-13,6.5
2023-04-07,2023-14,8.23
2023-04-14,2023-15,7.55
2023-04-21,2023-16,7.9
2023-04-28,2023-17,8.03
2023-05-05,2023-18,7.24
2023-05-12,2023-19,7.7
2023-05-19,2023-20,7.93
2023-05-26,2023-21,7.61
2023-06-02,2023-22,7.22
2023-06-09,2023-23,8.69
2023-06-16,2023-24,9.04
2023-06-23,2023-25,8.67
2023-06-30,2023-26,8.69
2023-07-07,2023-27,8.98
2023-07-14,2023-28,8.28
2023-07-21,2023-29,8.43
2023-07-28,2023-30,8.91
2023-08-04,2023-31,8.82
2023-08-11,2023-32,8.95
2023-08-18,2023-33,9.01
2023-08-25,2023-34,8.36
2023-09-01,2023-35,8.75
2023-09-08,2023-36,8.54
2023-09-15,2023-37,8.57
2023-09-22,2023-38,8.53
2023-09-29,2023-39,8.09
2023-10-06,2023-40,8.62
2023-10-13,2023-41,8.93
2023-10-20,2023-42,9.03
2023-10-27,2023-43,8.91
2023-11-03,2023-44,8.4
2023-11-10,2023-45,8.77
2023-11-17,2023-46,8.68
2023-11-24,2023-47,8.34
2023-12-01,2023-48,8.38
2023-12-08,2023-49,8.6
2023-12-15,2023-50,8.06
2023-12-22,2023-51,7.43
2023-12-29,2023-52,8.61
2024-01-05,2024-1,8.16
2024-01-12,2024-2,8.18
2024-01-19,2024-3,7.64
2024-01-26,2024-4,7.38
2024-02-02,2024-5,7.91
2024-02-09,2024-6,7.56
2024-02-16,2024-7,7.74
2024-02-23,2024-8,7.42
2024-03-01,2024-9,7.28
2024-03-08,2024-10,7.41
2024-03-15,2024-11,7.8
2024-03-22,2024-12,7.65
2024-03-29,2024-13,7.53
2024-04-05,2024-14,7.89
2024-04-12,2024-15,7.54
2024-04-19,2024-16,7.7
2024-04-26,2024-17,6.98
2024-05-03,2024-18,6.49
2024-05-10,2024-19,7.02
2024-05-17,2024-20,7.14
2024-05-24,2024-21,6.83
2024-05-31,2024-22,7.99
2024-06-07,2024-23,7.39
2024-06-14,2024-24,7.32
2024-06-21,2024-25,5.73
2024-06-28,2024-26,6.99
2024-07-05,2024-27,6.67
2024-07-12,2024-28,7.0
2024-07-19,2024-29,7.14
2024-07-26,2024-30,7.06
2024-08-02,2024-31,6.57
2024-08-09,2024-32,7.26
2024-08-16,2024-33,6.8
2024-08-23,2024-34,6.74
2024-08-30,2024-35,6.45
2024-09-06,2024-36,6.81
2024-09-13,2024-37,6.99
2024-09-20,2024-38,6.6
2024-09-27,2024-39,6.54
2024-10-04,2024-40,6.93
2024-10-11,2024-41,6.47
2024-10-18,2024-42,6.07
2024-10-25,2024-43,6.46
2024-11-01,2024-44,6.17
2024-11-08,2024-45,6.27
2024-11-15,2024-46,6.26
2024-11-22,2024-47,6.32
2024-11-29,2024-48,6.18
2024-12-06,2024-49,5.81
2024-12-13,2024-50,6.3
2024-12-20,2024-51,5.43
2024-12-27,2024-52,6.27
2025-01-03,2025-1,6.33
2025-01-10,2025-2,6.25
2025-01-17,2025-3,6.33
2025-01-24,2025-4,6.27
2025-01-31,2025-5,6.49
2025-02-07,2025-6,6.18
2025-02-14,2025-7,6.24
2025-02-21,2025-8,6.25
2025-02-28,2025-9,6.02
2025-03-07,2025-10,6.55
2025-03-14,2025-11,6.43
2025-03-21,2025-12,6.9
2025-03-28,2025-13,6.78
2025-04-04,2025-14,6.92
2025-04-11,2025-15,6.97
2025-04-18,2025-16,6.94
2025-04-25,2025-17,7.21
2025-05-02,2025-18,6.33
2025-05-09,2025-19,7.48
2025-05-16,2025-20,7.55
2025-05-23,2025-21,7.26
2025-05-30,2025-22,7.17
2025-06-06,2025-23,7.31
2025-06-13,2025-24,7.03
2025-06-20,2025-25,7.12
2025-06-27,2025-26,7.5
2025-07-04,2025-27,6.37
2025-07-11,2025-28,7.24
2025-07-18,2025-29,6.67
2025-07-25,2025-30,7.17
2025-08-01,2025-31,6.46
2025-08-08,2025-32,6.12
2025-08-15,2025-33,6.3
2025-08-22,2025-34,5.72
2025-08-29,2025-35,6.45
2025-09-05,2025-36,6.24
2025-09-12,2025-37,6.31
2025-09-19,2025-38,6.48
2025-09-26,2025-39,5.88
2025-10-03,2025-40,5.59
2025-10-10,2025-41,5.87
